date,open,high,low,close,volume
2013-08-07,29.8661,29.8661,29.3599,29.501,2412461
2013-08-08,29.5839,29.7914,29.4387,29.7416,916590
2013-08-09,29.7416,29.8412,29.3516,29.3848,1468838
2013-08-12,29.2686,29.3599,29.1607,29.2022,1385458
2013-08-13,29.2852,29.2852,28.9948,29.086,990112
2013-08-14,29.0528,29.1275,28.613,28.7707,863654
2013-08-15,28.6047,28.6462,28.2479,28.2728,1124629
2013-08-16,28.223,28.2977,27.7749,27.9077,1129236
2013-08-19,27.8828,28.0321,27.6255,27.667,908106
2013-08-20,27.6255,28.2064,27.6255,28.0072,1167286
2013-08-21,27.9492,28.2147,27.584,27.7417,1347859
2013-08-22,27.7251,27.9409,27.6338,27.8911,1010229
2013-08-23,27.9243,28.2312,27.7666,28.0985,1132398
2013-08-26,28.0653,28.14,27.8828,27.9077,1243703
2013-08-27,27.7002,28.0238,27.6836,27.8247,1136732
2013-08-28,27.8247,27.974,27.6836,27.8496,1246546
2013-08-29,27.7666,27.974,27.7002,27.8911,2510027
2013-08-30,27.9989,28.2105,27.8994,28.057,2953420
2013-09-03,28.2562,28.4388,27.5674,27.5757,2710670
2013-09-04,27.584,27.6006,27.2355,27.4098,1518583
2013-09-05,27.36,27.4678,27.1774,27.2521,1067788
2013-09-06,27.36,27.6836,27.3517,27.5093,1785760
2013-09-09,27.6017,27.9041,27.4253,27.7865,1537346
2013-09-10,27.8789,28.0469,27.7109,27.9461,1059793
2013-09-11,27.8873,27.8915,27.3917,27.6521,1519534
2013-09-12,27.6857,27.8537,27.4253,27.5009,996307
2013-09-13,27.5681,27.6857,27.4589,27.6017,932622
2013-09-16,28.0217,28.3241,27.8537,28.0553,2281671
2013-09-17,28.0385,28.3829,28.0385,28.2401,1643910
2013-09-18,28.2233,29.4035,28.1393,29.2649,2520963
2013-09-19,29.3069,29.5128,29.1683,29.2061,2465741
2013-09-20,29.3741,29.7605,29.0297,29.0633,3830416
2013-09-23,29.0045,29.5547,28.9205,29.4245,1367889
2013-09-24,29.4581,29.8865,29.4245,29.7269,2898777
2013-09-25,29.7353,30.2141,29.7101,29.7689,4381307
2013-09-26,29.7689,29.8949,29.3867,29.5337,1677290
