date,open,high,low,close,volume
2013-08-07,10.7574,10.9271,10.681,10.9186,4572709
2013-08-08,10.9355,11.3512,10.838,11.1391,5706230
2013-08-09,11.1222,11.3088,11.0967,11.1052,3605600
2013-08-12,11.0798,11.1264,11.0289,11.0967,3170663
2013-08-13,11.1222,11.1222,10.9355,11.0034,4810234
2013-08-14,10.9864,11.0882,10.9186,11.0204,3424313
2013-08-15,10.944,10.978,10.8083,10.8677,3644496
2013-08-16,10.8422,10.8422,10.6513,10.7404,2732973
2013-08-19,10.681,10.7234,10.5029,10.5962,4392225
2013-08-20,10.6301,10.7956,10.5113,10.7659,3770140
2013-08-21,10.7319,10.7913,10.6216,10.7065,3547346
2013-08-22,10.7319,10.978,10.6895,10.9271,3461029
2013-08-23,10.9864,11.0034,10.8507,10.9525,2044564
2013-08-26,10.9695,11.0798,10.8846,10.9864,5002654
2013-08-27,10.8507,10.9652,10.7828,10.7998,5698014
2013-08-28,10.7913,10.961,10.7489,10.9101,3171555
2013-08-29,10.9101,10.9907,10.7913,10.8422,1931209
2013-08-30,10.8592,10.9058,10.7319,10.7828,3229588
2013-09-03,10.9186,10.978,10.7277,10.7743,3430625
2013-09-04,10.7913,10.8168,10.6471,10.7234,2562295
2013-09-05,10.681,10.7998,10.681,10.7828,2394332
2013-09-06,10.8168,11.3343,10.8168,11.1052,10308759
2013-09-09,11.1137,11.3003,11.0967,11.2749,4154207
2013-09-10,11.3597,11.5124,11.3258,11.5124,5811612
2013-09-11,11.5209,11.5209,11.3428,11.3937,4062119
2013-09-12,11.4191,11.4446,11.2664,11.3512,3657520
2013-09-13,11.3428,11.4021,11.2282,11.2579,3764244
2013-09-16,11.369,11.4933,11.2494,11.3258,4880250
2013-09-17,11.3512,11.4191,11.2834,11.3003,5708178
2013-09-18,11.2749,11.6651,11.207,11.5811,4670806
2013-09-19,11.6227,11.6821,11.4615,11.5294,2635856
2013-09-20,11.5209,11.5379,11.3258,11.3512,4231996
2013-09-23,11.2919,11.5209,11.2919,11.4615,5136153
2013-09-24,11.4785,11.5379,11.3852,11.47,4649548
2013-09-25,11.487,11.5888,11.2664,11.4615,3453121
2013-09-26,11.47,11.5803,11.4446,11.5294,2705524
2013-09-27,11.5039,11.5549,11.3428,11.4276,2771266
2013-09-30,11.3597,11.3937,11.2325,11.2749,3764048
2013-10-01,11.3088,11.4106,11.2494,11.3512,2272713
2013-10-02,11.3258,11.3767,11.2155,11.3258,3229540
2013-10-03,11.2919,11.3173,11.1646,11.2409,2856870
2013-10-04,11.2579,11.4276,11.1985,11.3512,2664869
2013-10-07,11.2749,11.3512,11.2409,11.2749,2716182
2013-10-08,11.3428,11.5209,11.2579,11.2834,3388346
2013-10-09,11.3003,11.3428,11.19,11.2155,4135661
2013-10-10,11.2919,11.5124,11.207,11.4955,4400219
2013-10-11,11.5039,11.6482,11.453,11.6142,2375347
2013-10-14,11.5633,11.7245,11.4191,11.716,3896285
2013-10-15,11.6567,11.716,11.4615,11.487,2888152
2013-10-16,11.5464,11.7033,11.5124,11.6651,3028292
2013-10-17,11.6482,12.0554,11.6058,11.9281,6067912
2013-10-18,11.9621,12.1487,11.9112,12.0554,3790160
2013-10-21,12.0384,12.1869,11.996,12.0639,3700780
2013-10-22,12.1148,12.2335,12.0893,12.1317,4098146
2013-10-23,12.0978,12.1826,11.8857,11.9196,4324581
2013-10-24,11.9366,12.0384,11.8475,11.9366,3740404
2013-10-25,11.9621,12.1657,11.8984,12.1402,2273824
2013-10-28,12.1402,12.2166,12.0554,12.1742,4282962
2013-10-29,12.2081,12.2675,12.1063,12.1317,2169311
2013-10-30,12.1913,12.3274,12.0211,12.1147,3010246
2013-10-31,12.0977,12.1573,11.8808,11.9871,4648569
2013-11-01,11.9786,12.0552,11.8425,11.902,5283554
2013-11-04,11.9531,12.0807,11.8595,12.0126,6881719
2013-11-05,11.9446,11.9871,11.851,11.8765,4566565
2013-11-06,11.8765,11.9871,11.851,11.9531,3828464
2013-11-07,11.9871,12.2168,11.5873,11.6553,6617149
2013-11-08,11.6893,12.1147,11.5788,12.0892,6265772
2013-11-11,12.0722,12.387,12.0382,12.387,6251629
2013-11-12,12.3614,12.7017,12.3444,12.6422,11397759
2013-11-13,12.5741,12.8634,12.4635,12.8549,7122333
2013-11-14,12.8974,12.974,12.7698,12.9314,7375375
2013-11-15,12.9059,13.0165,12.7698,12.9995,6125666
2013-11-18,12.9995,13.0165,12.7103,12.7273,5661714
2013-11-19,12.7358,12.7868,12.4635,12.5061,7229035
2013-11-20,12.5486,12.6167,12.3955,12.4125,4933706
2013-11-21,12.5061,12.5656,12.421,12.4465,3720302
2013-11-22,12.421,12.5316,12.3742,12.438,3777081
2013-11-25,12.4805,12.5316,12.3359,12.3614,3494531
2013-11-26,12.3359,12.3785,12.1488,12.2764,3802277
2013-11-27,12.3359,12.3785,12.1743,12.3104,3496620
2013-11-29,12.2934,12.472,12.2508,12.3955,2144890
2013-12-02,12.3955,12.5018,12.2891,12.3104,3855946
2013-12-03,12.2594,12.6677,12.2083,12.6592,7908641
2013-12-04,12.6167,13.2207,12.533,13.025,13164773
2013-12-05,12.9825,13.008,12.4891,12.5401,11045760
2013-12-06,12.6592,12.8804,12.5741,12.7783,7457258
2013-12-09,12.7953,12.8123,12.4805,12.5146,4751094
2013-12-10,12.4976,12.5478,12.2849,12.3274,5185541
2013-12-11,12.3104,12.3955,12.1488,12.1828,5386456
2013-12-12,11.9276,12.1402,11.7149,11.7829,14114456
2013-12-13,11.5107,11.868,11.4767,11.6383,37696948
2013-12-16,11.7574,12.0041,11.6979,11.8765,9762734
2013-12-17,11.902,11.9616,11.7744,11.8595,6806987
2013-12-18,11.9531,12.1402,11.7489,12.0892,7681118
2013-12-19,12.0296,12.1147,11.9361,12.0126,5851439
2013-12-20,12.0552,12.2594,12.0296,12.1828,9718660
2013-12-23,12.2253,12.3274,12.1955,12.2423,4802964
2013-12-24,12.2168,12.3614,12.1062,12.3104,1851881
2013-12-26,12.3104,12.455,12.2934,12.3019,2892072
2013-12-27,12.3444,12.421,12.2168,12.2934,2515092
2013-12-30,12.3189,12.3529,12.1488,12.3019,4131762
2013-12-31,12.2934,12.3785,12.2423,12.3444,2330792
2014-01-02,12.3444,12.387,12.0722,12.1402,3987216
2014-01-03,12.1488,12.2083,12.0041,12.0807,4104721
2014-01-06,12.1998,12.2891,12.0211,12.1998,5066996
2014-01-07,12.2168,12.5911,12.2168,12.4125,10596937
2014-01-08,12.37,12.4295,12.0892,12.1658,6992503
2014-01-09,12.2168,12.37,12.1402,12.3019,5359464
2014-01-10,12.3359,12.5061,12.3189,12.3614,4807694
2014-01-13,12.2934,12.3444,12.0892,12.1317,4807218
2014-01-14,12.1402,12.2934,12.0637,12.2849,4268264
2014-01-15,12.2891,12.3104,12.1062,12.1658,5268524
2014-01-16,12.1488,12.2253,12.0637,12.1743,4247117
2014-01-17,12.2168,12.2849,12.1402,12.1658,3437874
2014-01-21,12.3019,12.3785,12.1488,12.2764,4683758
2014-01-22,12.2764,12.4125,12.2423,12.3104,3384088
2014-01-23,12.2083,12.2508,11.9616,12.0722,5266322
2014-01-24,12.0211,12.0211,11.5192,11.6723,12327830
2014-01-27,11.6723,11.6979,11.4171,11.6043,8703468
2014-01-28,11.6128,11.885,11.5873,11.885,5337019
2014-01-29,11.7404,11.8765,11.6383,11.6979,7127289
2014-01-30,11.7832,11.9284,11.7235,11.9113,3184882
2014-01-31,11.7662,12.0394,11.7064,12.0052,7542430
