date,open,high,low,close,volume
2013-08-07,57.9172,58.3967,57.6959,58.203,1039798
2013-08-08,58.4243,58.6456,58.0002,58.2491,696014
2013-08-09,58.0832,58.5442,57.8434,58.0094,589019
2013-08-12,57.8157,58.6825,57.8157,58.4612,438365
2013-08-13,58.369,58.5626,57.9725,58.3413,415921
2013-08-14,58.3229,58.6825,57.7696,58.0186,556682
2013-08-15,57.5668,57.7881,57.1703,57.5944,788246
2013-08-16,57.4008,57.5944,57.0504,57.4469,494257
2013-08-19,57.2625,57.7512,57.1334,57.5391,485440
2013-08-20,57.4746,58.1293,57.3639,57.5576,339899
2013-08-21,57.4377,57.8618,57.0873,57.1979,311829
2013-08-22,57.3916,58.0739,57.1933,57.7604,253871
2013-08-23,58.0278,58.1661,57.5207,57.9448,486761
2013-08-26,57.9725,58.6549,57.9264,58.0186,587716
2013-08-27,57.493,58.1293,57.1703,57.7143,636849
2013-08-28,57.6313,57.9725,57.5115,57.6774,467677
2013-08-29,57.5391,58.3045,57.5115,57.8711,407463
2013-08-30,57.8618,58.2768,57.2348,57.5115,578129
2013-09-03,58.1385,58.3506,56.8936,57.2901,1022273
2013-09-04,57.244,57.908,56.9582,57.41,793526
2013-09-05,57.5483,58.0647,57.2533,57.4838,560329
2013-09-06,57.7051,57.9863,56.8107,57.1334,674490
2013-09-09,57.561,58.0423,57.3111,57.5703,488279
2013-09-10,58.0701,59.3289,58.0238,59.3196,1054851
2013-09-11,59.1623,59.2456,58.0794,58.8013,602621
2013-09-12,58.6625,58.8839,57.9868,58.4773,678267
2013-09-13,58.4126,58.9124,58.0423,58.4033,432453
2013-09-16,58.9679,58.9957,58.283,58.792,839679
2013-09-17,58.6995,59.0049,58.1997,58.6347,640965
2013-09-18,58.6625,58.7828,58.0608,58.5421,1035511
2013-09-19,58.7087,59.6019,58.6162,58.8476,652965
2013-09-20,58.9124,59.3844,58.283,58.4681,1176369
2013-09-23,58.3107,58.6995,58.0423,58.3293,695999
2013-09-24,57.6351,58.0701,56.3578,57.8202,966061
2013-09-25,57.7276,58.1256,57.4222,57.6351,501753
2013-09-26,57.7924,58.681,57.7924,58.2645,737958
2013-09-27,58.1071,58.3755,57.7647,58.0979,352708
2013-09-30,57.4777,58.3478,57.4037,58.2552,643187
2013-10-01,57.9868,59.4584,57.848,58.9494,884619
2013-10-02,58.5884,59.0697,58.3015,59.0234,799777
2013-10-03,58.8568,59.5232,58.5699,59.19,841642
2013-10-04,59.1252,59.9212,58.9494,59.8379,909858
2013-10-07,59.4122,59.9675,58.246,59.3659,559601
2013-10-08,59.2456,59.3474,58.5792,58.6162,937166
2013-10-09,58.644,58.8846,58.0932,58.3478,860029
2013-10-10,58.6625,59.0813,58.6347,59.0142,559523
2013-10-11,58.6069,58.9124,58.3107,58.8013,1220437
2013-10-14,58.681,59.4122,58.5884,59.2271,654423
2013-10-15,59.2363,59.7546,58.8939,59.4584,769603
2013-10-16,59.7639,60.0138,59.3844,59.6251,1072725
2013-10-17,59.8379,62.4295,59.2548,62.4295,2281391
2013-10-18,61.9112,62.3925,61.4947,62.2907,931643
2013-10-21,62.4203,62.4619,61.5965,61.8186,850622
2013-10-22,62.0223,62.4203,61.9158,62.1889,559515
2013-10-23,62.013,62.4203,61.8279,62.374,407768
2013-10-24,62.2907,62.7257,62.1704,62.5684,417507
2013-10-25,62.5498,62.9201,61.7168,62.5684,377974
2013-10-28,62.448,62.735,61.8094,62.1241,457693
2013-10-29,62.1056,62.411,61.3188,61.8649,564409
2013-10-30,61.939,62.1333,61.0689,61.3281,527270
2013-10-31,61.4114,61.6983,61.0088,61.2633,654149
2013-11-01,61.1985,62.0223,61.1893,61.8001,412726
2013-11-04,61.8186,62.3555,61.8186,62.1611,484948
2013-11-05,61.939,62.2537,61.3188,61.7261,296636
2013-11-06,61.9112,62.4294,61.7539,62.0871,210437
2013-11-07,62.1796,62.4943,61.4947,61.6243,328373
2013-11-08,61.5132,62.3277,61.5132,62.3277,513112
2013-11-11,62.1981,62.5128,61.9112,62.337,317229
2013-11-12,62.2259,62.8275,61.9297,62.2351,620852
2013-11-13,62.0315,62.5591,61.8927,62.3925,432062
2013-11-14,62.5406,62.8553,62.2814,62.5221,328061
2013-11-15,62.4851,62.6424,62.3092,62.5498,371984
2013-11-18,62.7257,62.772,62.2444,62.5036,357325
2013-11-19,62.448,62.6517,61.9297,62.2351,381302
2013-11-20,62.3185,62.5498,62.0685,62.2722,374666
2013-11-21,62.3925,63.244,62.0963,63.0589,468663
2013-11-22,63.0311,63.2996,62.6702,63.207,305556
2013-11-25,63.17,63.5772,63.0497,63.4014,395453
2013-11-26,63.4014,63.5402,62.8645,62.9293,678310
2013-11-27,62.9663,63.8919,62.7177,63.8642,522900
2013-11-29,64.04,64.3269,63.568,63.5957,267039
2013-12-02,63.7438,64.6324,63.4106,63.7623,643508
2013-12-03,63.5217,63.9382,62.6887,63.1792,503281
2013-12-04,62.9663,63.5772,62.2999,62.8645,407249
2013-12-05,62.7164,63.605,62.3925,63.2163,532707
2013-12-06,63.7994,64.4935,63.7161,64.3454,348955
2013-12-09,64.364,64.5953,64.1141,64.3732,393378
2013-12-10,64.2159,64.7897,64.1835,64.3177,418948
2013-12-11,64.457,64.8703,63.1382,63.3053,462910
2013-12-12,63.1289,63.5375,62.6366,62.7295,584550
2013-12-13,62.9245,63.1382,62.7109,63.0917,281287
2013-12-16,63.4075,64.3874,63.0917,63.2125,320575
2013-12-17,63.2682,63.909,62.9895,63.8719,519873
2013-12-18,61.2992,61.6057,59.098,59.2652,2349100
2013-12-19,58.9122,59.1491,58.0299,58.6336,1333553
