date,open,high,low,close,volume
2013-11-18,48.1415,48.3835,45.9546,46.9078,587184
2013-11-19,47.4061,47.4158,43.8354,44.3193,1682041
2013-11-20,44.4934,44.5128,42.5678,43.2064,1106908
2013-11-21,43.0613,43.6903,41.6485,42.3742,730214
2013-11-22,42.4807,42.6742,41.8517,42.5678,947693
2013-11-25,42.8484,44.1451,42.2871,42.7516,727314
2013-11-26,43.5451,43.5451,41.6485,41.8033,873717
2013-11-27,42.142,42.142,41.1259,41.842,1153343
2013-11-29,41.3679,42.4323,41.3679,41.842,949924
2013-12-02,42.4807,43.2935,40.1776,41.7453,5130708
2013-12-03,41.4162,43.4484,41.3195,41.513,3239252
2013-12-04,41.0582,41.2276,40.3035,40.4776,2777748
2013-12-05,40.9131,40.9131,39.3164,39.7228,3380502
2013-12-06,39.4325,39.7325,39.3261,39.3841,4662340
2013-12-09,39.3841,39.9357,38.939,39.8486,3073953
2013-12-10,39.7422,41.455,39.7131,41.184,3289354
2013-12-11,40.9518,41.6243,40.6421,41.0872,3367890
2013-12-12,40.6518,41.7065,40.6421,41.5807,1770490
2013-12-13,41.5324,42.3839,41.5324,41.8517,683791
2013-12-16,41.6195,42.5678,40.7486,42.2775,1953878
2013-12-17,42.0259,42.5774,41.7646,42.3355,1396938
2013-12-18,42.2388,43.0613,41.7065,42.8387,1225195
2013-12-19,42.5387,43.0613,42.4033,43.0129,593011
2013-12-20,42.8678,43.0129,42.4904,42.829,2878557
2013-12-23,42.742,43.4,42.142,43.2064,773646
2013-12-24,43.3129,43.5645,42.8194,43.1387,304706
2013-12-26,43.4096,43.5548,43.0032,43.2548,513177
2013-12-27,43.3226,43.5161,42.6645,43.1968,393256
2013-12-30,43.0129,43.429,42.5774,42.6936,381478
2013-12-31,42.8,43.0613,42.3452,42.7613,874161
2014-01-02,42.6549,42.7516,41.871,42.2388,992872
2014-01-03,42.1614,42.8871,41.7743,42.5387,378396
2014-01-06,42.5484,42.5581,41.9678,42.2678,597834
2014-01-07,40.7969,42.5581,40.7969,42.4517,1371252
2014-01-08,42.5968,42.9258,41.9968,42.4613,1407140
2014-01-09,42.471,42.8194,42.4226,42.7032,1093527
2014-01-10,42.742,44.5902,42.5968,44.2515,2008621
2014-01-13,44.2225,45.9062,43.7387,45.5192,2278501
2014-01-14,45.6353,46.3456,45.3934,46.2546,2338221
2014-01-15,46.4191,47.5997,45.7321,45.9643,1732951
2014-01-16,45.7514,46.1385,45.5192,45.8675,1178666
2014-01-17,45.9836,46.6804,45.4805,46.4481,1572137
2014-01-21,47.7835,47.7835,46.3901,46.6126,1570433
2014-01-22,46.5546,47.5706,46.5255,46.9416,682208
2014-01-23,47.1061,47.1061,46.0417,46.1772,867599
2014-01-24,46.0804,46.1675,44.3459,45.3256,1417529
2014-01-27,43.7387,46.4481,43.7387,45.0934,717829
2014-01-28,45.2579,46.332,45.2579,46.1869,721686
2014-01-29,45.8191,46.9126,45.6064,46.2352,800899
