date,open,high,low,close,volume
2013-08-07,70.0974,70.3268,69.5307,69.8001,3083919
2013-08-08,70.4039,71.7788,70.116,70.7755,3293582
2013-08-09,70.7662,70.9334,69.6794,70.1345,3963605
2013-08-12,69.7723,70.2367,69.5679,70.1253,2292606
2013-08-13,70.1253,71.0077,69.5679,70.8127,2964929
2013-08-14,70.6362,70.9985,70.3668,70.4875,2945521
2013-08-15,69.9209,70.0695,69.3171,69.5586,3834357
2013-08-16,69.54,69.9952,69.345,69.828,4248237
2013-08-19,69.7816,69.8652,69.0198,69.057,3478903
2013-08-20,69.122,69.3635,68.5554,68.992,2900821
2013-08-21,68.7504,69.0477,68.0444,68.2209,2983131
2013-08-22,68.4253,68.7411,68.1838,68.6111,2354898
2013-08-23,68.6204,68.7411,67.933,68.416,2521379
2013-08-26,68.5182,69.1777,68.2117,68.3789,2372305
2013-08-27,67.6264,67.7472,66.665,66.7997,3712581
2013-08-28,66.6046,67.1991,66.456,66.8926,2963188
2013-08-29,66.7068,67.4592,66.4931,67.0876,2957050
2013-08-30,67.0226,67.1062,66.3909,66.7997,3779472
2013-09-03,67.4313,68.1931,67.0133,67.2827,3994061
2013-09-04,67.3663,68.272,67.0969,67.9423,2913296
2013-09-05,67.9608,68.9548,67.71,68.5554,3605800
2013-09-06,68.6668,68.7597,67.2549,68.1373,3369196
2013-09-09,68.3603,68.5646,67.9515,68.4253,3189517
2013-09-10,68.9455,69.3542,68.7411,69.2985,3269145
2013-09-11,69.3914,69.8744,69.1127,69.8373,3297931
2013-09-12,69.9395,70.2367,69.6422,69.9395,2502216
2013-09-13,70.2089,70.3668,69.7351,69.9488,2664414
2013-09-16,70.9149,70.9985,70.0788,70.2274,4541649
2013-09-17,70.2274,71.5279,70.2274,71.4536,4013790
2013-09-18,71.5187,72.2804,71.1006,72.1225,4135979
2013-09-19,72.2804,72.364,71.6673,72.0574,3998910
2013-09-20,72.1039,72.3547,71.6673,71.8252,10114953
2013-09-23,71.7973,72.141,70.7198,71.0077,4079381
2013-09-24,70.9613,71.4722,70.5619,70.664,2955212
2013-09-25,70.7198,71.1192,70.246,70.5897,3090317
2013-09-26,70.599,71.5279,70.3946,70.8963,2926950
2013-09-27,70.6548,70.6826,70.0695,70.4968,2522523
2013-09-30,69.6422,70.4597,69.3357,70.1531,3330490
2013-10-01,70.2646,70.6083,70.0881,70.534,2969556
2013-10-02,70.0029,70.152,69.1084,69.4904,4363410
2013-10-03,69.0525,69.2202,68.2978,68.9686,4364503
2013-10-04,68.8382,69.2529,68.5866,69.2388,2883534
2013-10-07,68.4841,68.5121,67.9251,67.9623,3320317
2013-10-08,68.0462,68.1114,67.2076,67.2915,3958903
2013-10-09,67.4406,67.748,67.161,67.2915,4701450
2013-10-10,68.1953,69.5743,68.0276,69.565,3769850
2013-10-11,69.5743,70.2964,69.332,70.2545,3913859
2013-10-14,70.1892,70.916,69.9749,70.8787,3015244
2013-10-15,70.4688,71.148,70.0961,70.1147,4114134
2013-10-16,70.4781,71.5123,70.301,71.1117,6438354
2013-10-17,72.6211,74.9132,72.4907,74.7548,10366788
2013-10-18,74.643,75.1741,73.8976,75.025,7598175
2013-10-21,74.9785,75.463,74.8294,74.9132,3665497
2013-10-22,75.258,75.6307,74.9412,75.3512,3300010
2013-10-23,75.0623,75.3046,74.5499,75.1275,2895056
2013-10-24,75.258,75.4723,74.9598,75.3791,3181810
2013-10-25,75.2487,77.0283,75.2487,76.9724,6291115
2013-10-28,77.0749,77.4663,76.432,77.1122,4502945
2013-10-29,77.4476,78.0253,77.2706,77.9508,3485204
2013-10-30,77.988,78.1092,77.1495,77.429,3747903
2013-10-31,77.1401,77.3265,76.1152,76.2177,5637802
2013-11-01,76.5159,77.0004,76.2084,76.5531,3358873
2013-11-04,76.7861,77.0004,76.1711,76.3388,2643625
2013-11-05,76.0593,76.5252,75.5562,76.3109,2597832
2013-11-06,76.9165,76.9631,76.2405,76.5159,2636880
2013-11-07,76.7115,76.9631,75.3605,75.3978,3485763
2013-11-08,75.7611,76.3575,75.5468,76.1991,4369510
2013-11-11,76.022,76.1059,75.6493,75.845,2224187
2013-11-12,75.6866,75.7984,75.081,75.5002,2237273
2013-11-13,75.0716,75.9102,74.7455,75.8823,2828191
2013-11-14,76.0407,76.3202,75.7984,76.3016,2284072
2013-11-15,77.3638,77.5734,76.7488,77.1495,4439659
2013-11-18,77.196,77.3172,76.5531,76.7208,3104783
2013-11-19,76.7581,77.224,76.6519,76.8327,2775011
2013-11-20,77.2985,77.7271,76.3668,76.637,3511744
2013-11-21,76.9911,78.2676,76.9352,78.221,4355359
2013-11-22,78.193,78.2023,77.6806,78.1278,2690261
2013-11-25,78.5657,78.9758,78.3421,78.8173,3657829
2013-11-26,78.9664,79.7491,78.9198,79.2832,4897289
2013-11-27,79.4416,79.8096,79.1807,79.7491,2520022
2013-11-29,80.0193,80.3081,79.6745,79.9447,2144567
2013-12-02,80.1497,80.6249,79.3484,79.4695,3623462
2013-12-03,79.0968,79.5068,78.4539,78.8359,3546119
2013-12-04,78.4632,79.4229,78.0439,78.7334,3588807
2013-12-05,78.5191,79.19,78.4073,78.7707,3677829
