date,open,high,low,close,volume
2013-08-07,26.324,26.4234,26.0709,26.1884,743834
2013-08-08,27.1102,28.0138,27.1102,27.6253,1657127
2013-08-09,27.571,28.4205,27.571,28.2307,818297
2013-08-12,28.1042,28.5199,28.1042,28.2669,631057
2013-08-13,28.4024,28.8723,28.2669,28.6916,584238
2013-08-14,27.9596,28.303,27.5765,27.7247,766897
2013-08-15,27.562,27.6704,27.2819,27.5891,695334
2013-08-16,27.562,27.7518,27.4987,27.6253,386847
2013-08-19,27.6704,27.9506,27.5349,27.7427,306873
2013-08-20,27.7789,27.8828,27.6343,27.7427,1135881
2013-08-21,27.6976,27.9958,27.5349,27.7337,680808
2013-08-22,27.8331,28.1223,27.815,28.059,226717
2013-08-23,28.1223,28.2217,27.9235,27.9596,542737
2013-08-26,27.9687,28.1855,27.8964,27.9687,302696
2013-08-27,27.7608,27.8602,27.2548,27.2638,411813
2013-08-28,27.327,27.3993,27.074,27.0831,679691
2013-08-29,27.0921,27.3496,26.9294,27.2909,752962
2013-08-30,27.327,27.3542,26.812,26.8933,464215
2013-09-03,27.1373,27.2999,26.4053,26.7487,1367885
2013-09-04,26.7758,27.0017,26.7306,27.0017,819480
2013-09-05,26.9656,27.2819,26.9656,27.1825,384560
2013-09-06,27.2005,27.3813,26.8391,27.1734,535459
2013-09-09,27.4326,27.6146,27.3053,27.56,541094
2013-09-10,27.7238,27.9695,27.5873,27.9604,394169
2013-09-11,27.9058,28.1241,27.651,28.0423,458352
2013-09-12,27.9604,27.9604,27.1233,27.833,394128
2013-09-13,27.8876,28.0605,27.6601,27.8967,562769
2013-09-16,28.0332,28.2515,27.833,27.9968,456895
2013-09-17,27.9695,28.2333,27.7595,28.2151,304536
2013-09-18,28.2515,28.5336,28.1514,28.4244,443042
2013-09-19,28.5154,28.5791,28.4244,28.4335,243648
2013-09-20,28.5245,28.7065,28.3289,28.3516,936252
2013-09-23,28.2333,28.5973,28.0786,28.5427,775206
2013-09-24,28.6064,28.8293,28.3607,28.6519,347003
2013-09-25,28.752,28.7883,28.4335,28.57,416496
2013-09-26,28.5882,28.8065,28.3789,28.6883,396052
