date,open,high,low,close,volume
2013-08-07,62.8279,62.8279,61.7722,61.8268,3996146
2013-08-08,62.3273,62.6277,62.0406,62.2727,2734222
2013-08-09,62.2636,62.6459,62.0452,62.0998,2402022
2013-08-12,61.8905,62.3456,61.6538,62.2727,1890158
2013-08-13,62.2363,62.6914,61.8086,62.4002,1386259
2013-08-14,62.3,62.5822,62.2,62.2181,1487851
2013-08-15,61.9633,62.118,60.8165,60.9894,2639913
2013-08-16,60.8802,61.6083,60.8347,61.1259,2403786
2013-08-19,60.862,61.1806,59.97,59.9883,2155278
2013-08-20,60.0338,61.0167,59.7698,60.6072,1990794
2013-08-21,60.416,60.8165,59.9336,60.2158,1853427
2013-08-22,60.5981,61.0076,60.2431,60.6891,1462711
2013-08-23,61.0349,61.0349,60.1585,60.68,1149142
2013-08-26,60.5981,60.8074,60.0702,60.0702,1352487
2013-08-27,59.515,59.7334,58.3864,58.532,2850243
2013-08-28,58.5684,58.7686,57.9313,58.2863,3039336
2013-08-29,58.1679,59.0144,57.9677,58.5957,1685494
2013-08-30,58.6685,58.887,58.4683,58.7504,2026143
2013-09-03,59.4422,59.7061,58.2408,58.6139,1833975
2013-09-04,58.5593,59.342,58.441,59.1873,1782382
2013-09-05,59.16,60.052,59.0872,59.6879,1814974
2013-09-06,59.7425,59.8244,58.5593,59.5059,1699711
2013-09-09,59.606,60.507,59.4695,60.4888,1885814
2013-09-10,60.9803,61.9125,60.8074,61.754,2572858
2013-09-11,61.7904,61.9815,61.2807,61.5446,2218480
2013-09-12,61.4991,62.068,61.4809,61.845,2912050
2013-09-13,61.8541,62.0543,61.2716,61.4263,1950389
2013-09-16,62.0634,62.5276,61.4126,61.5719,3060920
2013-09-17,61.8086,63.0191,61.7448,62.9098,3308770
2013-09-18,62.7642,63.3922,62.5185,63.0555,2644874
2013-09-19,63.3012,63.4923,62.6641,62.837,1911665
2013-09-20,62.8825,63.3103,62.7551,62.8916,3306575
2013-09-23,62.5731,62.655,61.8632,62.3,2590813
2013-09-24,62.1999,63.1419,61.754,62.3364,3221588
2013-09-25,62.5458,63.4365,62.2272,62.9736,3167970
2013-09-26,62.8643,63.5652,62.6914,62.9098,1821780
2013-09-27,62.564,62.9007,62.4366,62.7278,2162840
2013-09-30,62.3273,62.8461,61.9542,62.564,2940505
2013-10-01,62.837,63.7108,62.7551,63.5197,2768678
2013-10-02,63.2011,63.3012,62.6869,63.3012,2480479
2013-10-03,62.9463,63.4377,62.2363,62.6004,2289223
2013-10-04,62.6914,64.1567,62.5549,64.002,3046395
2013-10-07,63.374,63.3922,62.6322,62.6914,2586962
2013-10-08,62.6914,62.9235,61.5264,61.7357,3575567
2013-10-09,61.7995,62.2363,61.308,61.9815,2626331
2013-10-10,62.8916,64.539,62.8734,64.4025,3158555
2013-10-11,64.3934,65.4765,64.2751,65.4492,2294942
2013-10-14,65.1852,65.8496,64.6892,65.6221,3674382
2013-10-15,65.4674,65.6858,64.8849,65.1579,4403047
2013-10-16,65.431,66.1181,65.3764,65.7586,3925276
2013-10-17,65.6221,66.0226,65.1952,65.6676,4604176
2013-10-18,66.2592,66.4321,64.5754,65.167,6241689
2013-10-21,65.3491,65.4856,64.7666,64.8667,3603299
2013-10-22,65.0305,65.1852,64.1841,64.6209,4767440
2013-10-23,64.4935,64.4935,63.8473,64.2023,3294024
2013-10-24,64.4571,64.4799,63.82,64.3024,3095400
2013-10-25,64.2478,64.4526,63.7745,64.0566,3311229
2013-10-28,64.0475,64.7393,63.7244,64.4116,2306707
2013-10-29,64.5026,64.9668,64.4753,64.5572,2659136
2013-10-30,64.4571,64.6209,63.4195,63.5288,3201740
2013-10-31,63.3285,63.4104,62.5003,62.5003,4563348
2013-11-01,62.6095,63.2102,62.4639,63.1556,2470595
2013-11-04,63.2739,63.4286,62.9463,63.3558,2578598
2013-11-05,63.2557,63.8428,62.9098,63.6744,2748453
2013-11-06,64.4239,64.4239,62.998,63.3362,3264665
2013-11-07,63.6104,63.8947,62.902,62.934,2946493
2013-11-08,62.9797,63.9852,62.934,63.6104,3932290
2013-11-11,63.6469,63.9394,63.4915,63.6926,2086093
2013-11-12,63.6744,63.8755,63.3636,63.5373,2515281
2013-11-13,63.327,64.0491,62.8883,64.04,3378884
2013-11-14,64.104,64.7895,64.0857,64.6159,2640987
2013-11-15,64.3508,64.8352,64.2045,64.3234,2738845
2013-11-18,64.3873,64.5153,63.3636,63.455,3286812
2013-11-19,63.455,63.6104,63.0894,63.2996,2335746
2013-11-20,63.8846,63.9029,62.8334,62.8883,2884729
2013-11-21,63.2996,63.848,63.1259,63.6469,2755034
2013-11-22,63.9486,63.9486,63.1076,63.6287,3018442
2013-11-25,63.7384,64.6981,63.6195,64.3599,2474472
2013-11-26,64.4788,65.0089,64.3416,64.7256,2322660
2013-11-27,64.9815,65.4477,64.7516,65.3654,1967343
2013-11-29,65.5299,65.9746,65.1917,65.4751,1699734
2013-12-02,66.4074,66.7274,65.6808,65.9047,3869144
2013-12-03,65.7402,65.9504,65.2146,65.4751,4238745
2013-12-04,65.1552,66.3983,65.0363,66.1332,3459587
2013-12-05,66.0418,66.1972,65.4477,65.7585,3508490
2013-12-06,66.5171,66.901,66.1149,66.3617,4134504
2013-12-09,66.7457,67.0336,66.5446,66.7274,2612361
2013-12-10,66.4623,66.9285,66.1424,66.5628,1858024
2013-12-11,66.7274,66.9285,65.5299,65.6853,3254589
2013-12-12,65.5299,65.7128,64.9175,65.338,2558488
2013-12-13,65.5299,65.6396,64.9815,65.3288,1837791
2013-12-16,65.5939,66.2749,65.402,65.9778,2232728
2013-12-17,66.4714,66.6817,65.3288,65.6213,2014410
2013-12-18,65.7036,67.1935,65.1003,67.1387,3311900
2013-12-19,67.0564,67.4404,66.5172,67.3124,2984489
2013-12-20,67.5866,68.3818,67.285,68.3087,4705197
2013-12-23,68.5098,68.8572,68.0985,68.5647,1910873
2013-12-24,68.6195,68.9851,68.5327,68.9029,666687
2013-12-26,69.1222,69.4696,68.9211,69.3599,1615343
2013-12-27,69.3508,69.433,69.0217,69.2685,693491
2013-12-30,69.4422,69.6158,69.0491,69.3051,1429309
