date,open,high,low,close,volume
2013-08-07,22.3912,22.541,22.2295,22.2295,33478728
2013-08-08,22.3572,22.3955,22.2806,22.3487,20512120
2013-08-09,22.3827,22.4253,22.0082,22.1725,27310804
2013-08-12,22.0082,22.5104,21.9997,22.4167,32066451
2013-08-13,22.5061,22.5359,22.187,22.4001,36436484
2013-08-14,22.5104,22.5104,22.1018,22.4482,75846836
2013-08-15,20.7572,21.1316,20.6636,20.838,130061126
2013-08-16,20.8763,20.987,20.638,20.6551,42416239
2013-08-19,20.6976,20.9827,20.638,20.6551,39630358
2013-08-20,20.6636,20.9019,20.6125,20.6976,43645574
2013-08-21,20.7317,20.8338,20.4678,20.4848,33395415
2013-08-22,20.4891,20.6125,20.3912,20.4338,24324964
2013-08-23,20.4848,20.5657,20.2891,20.3061,41259792
2013-08-26,20.2891,20.4678,20.221,20.2806,35704401
2013-08-27,20.187,20.2466,19.9487,19.987,39760852
2013-08-28,20.0423,20.0678,19.8976,19.9529,28036394
2013-08-29,19.9742,20.2125,19.9572,19.9572,26605534
2013-08-30,19.9657,20.0423,19.7615,19.838,35248490
2013-09-03,20.0678,20.2295,19.9657,19.9827,31874984
2013-09-04,20.0169,20.3572,19.9997,20.2295,27432272
2013-09-05,20.2636,20.2891,20.0295,20.1614,23926042
2013-09-06,20.2721,20.2891,19.9061,20.0423,28616025
2013-09-09,20.0934,20.4083,20.0678,20.3572,22724511
2013-09-10,20.4508,20.638,20.4253,20.5572,29302583
2013-09-11,20.5955,20.7742,20.5785,20.7444,25154097
2013-09-12,20.7827,20.8083,20.6295,20.6721,22339950
2013-09-13,20.7061,20.7742,20.5955,20.6976,18510774
2013-09-16,20.7912,20.8253,20.5359,20.7487,32663750
2013-09-17,20.7572,20.8891,20.6806,20.7402,19982797
2013-09-18,20.7061,21.1061,20.6806,21.1019,29522940
2013-09-19,20.8508,21.0636,20.7784,20.9487,40090998
2013-09-20,21.0465,21.0636,20.7912,20.8593,37394993
2013-09-23,20.7487,20.8083,20.5189,20.6593,26910350
2013-09-24,20.5444,20.6976,20.3742,20.5444,29446694
2013-09-25,20.587,20.8934,20.5274,20.7912,26485666
2013-09-26,20.6806,20.7317,20.1614,20.2295,54578710
2013-09-27,19.8721,20.0423,19.6168,19.8551,82437170
2013-09-30,19.6763,20.0253,19.5912,19.941,40334031
2013-10-01,20.0002,20.1288,19.8887,19.923,30123512
2013-10-02,19.803,20.0259,19.7216,19.9916,39612469
2013-10-03,19.923,20.0173,19.6658,19.7216,38147014
2013-10-04,19.683,19.7944,19.5887,19.7344,33607771
2013-10-07,19.5115,19.7516,19.4001,19.623,29576021
2013-10-08,19.6916,19.6916,19.3915,19.4044,31986356
2013-10-09,19.4258,19.5115,19.1086,19.2886,45362459
2013-10-10,19.4601,19.7816,19.3744,19.7258,38826052
2013-10-11,19.7344,20.043,19.6916,19.9573,27773822
2013-10-14,19.8544,20.0259,19.7773,20.0087,29103136
2013-10-15,20.0259,20.0773,19.863,19.8716,26205212
2013-10-16,19.9059,19.9745,19.5544,19.713,40483038
2013-10-17,19.5458,19.6144,19.2201,19.5295,69374311
2013-10-18,19.5973,19.8373,19.5115,19.6838,44486609
2013-10-21,19.8116,19.8116,19.5544,19.6573,34594575
2013-10-22,19.7087,19.7173,19.2201,19.4172,64559921
2013-10-23,19.3829,19.4087,19.0315,19.0786,49021438
2013-10-24,19.1515,19.2286,18.9457,19.181,50130329
2013-10-25,19.3658,19.4001,19.16,19.2501,34253447
2013-10-28,19.2029,19.3315,19.1258,19.3315,24072140
2013-10-29,19.4258,19.6573,19.3401,19.5673,30080623
2013-10-30,19.6058,19.6657,19.4258,19.4644,30467844
2013-10-31,19.4087,19.4687,19.2372,19.3401,34498901
2013-11-01,19.4258,19.4429,19.2029,19.3444,33332149
2013-11-04,19.3315,19.4087,19.2213,19.3572,28616959
2013-11-05,19.3829,19.9273,19.2201,19.773,46343551
2013-11-06,19.8973,20.0345,19.7344,19.9573,48257796
2013-11-07,20.0688,20.1973,19.7773,19.8116,35504442
2013-11-08,19.9573,20.1631,19.7901,20.1545,30893268
2013-11-11,20.1459,20.2145,20.0602,20.0988,22696520
2013-11-12,20.0859,20.4374,20.0859,20.3431,38031125
2013-11-13,20.2316,20.5745,20.1545,20.5703,75234897
2013-11-14,17.947,18.3799,17.8056,18.3156,243255407
2013-11-15,18.3971,18.5942,18.2256,18.4614,85505962
2013-11-18,18.5171,18.62,18.1742,18.2513,66008941
2013-11-19,18.2685,18.4614,18.1056,18.3628,57309745
