date,open,high,low,close,volume
2013-08-07,44.0284,44.494,43.8215,44.2831,1765134
2013-08-08,44.4343,44.5378,43.8056,44.108,809270
2013-08-09,43.9727,45.0551,43.8692,44.7845,1001895
2013-08-12,44.7845,44.8641,43.8692,43.9329,1138075
2013-08-13,43.8533,43.9966,42.8266,43.4395,1868694
2013-08-14,43.0733,43.3121,42.7709,43.1768,1665966
2013-08-15,42.9778,42.9778,42.365,42.4844,1320510
2013-08-16,42.3013,42.357,41.4004,41.6248,1341986
2013-08-19,41.3144,41.6248,40.5703,40.6379,1805215
2013-08-20,40.9404,41.9726,40.8369,41.9352,1460526
2013-08-21,41.9671,42.5958,41.3861,41.8477,1104027
2013-08-22,41.9909,42.5242,41.8318,42.4207,1086299
2013-08-23,42.5003,43.5748,42.4685,43.5588,1085762
2013-08-26,43.5986,43.5986,43.0335,43.4792,848330
2013-08-27,43.1211,44.116,43.0256,44.1,1177773
2013-08-28,44.0204,44.1876,43.0176,43.9886,1938552
2013-08-29,43.6543,44.5935,43.6145,44.3149,1277035
2013-08-30,44.4264,44.9516,44.0364,44.2513,1238960
2013-09-03,44.6572,44.7925,42.9221,43.0574,1421108
2013-09-04,42.8346,43.0654,41.983,42.0069,1294253
2013-09-05,42.174,42.174,40.5981,41.0518,2742283
2013-09-06,41.4497,41.6885,41.004,41.2906,2235361
2013-09-09,42.1049,42.6864,41.9797,42.541,1600252
2013-09-10,42.7672,43.1307,42.5087,43.1064,1847070
2013-09-11,42.7914,44.0676,42.6622,44.0676,1814448
2013-09-12,44.3018,44.641,43.4457,43.8253,2731862
2013-09-13,43.7768,44.4149,43.696,44.0272,968463
2013-09-16,44.5926,44.7816,44.0329,44.116,1035914
2013-09-17,44.221,44.7299,44.0918,44.4633,1213930
2013-09-18,44.2776,46.8703,44.0837,46.5553,1180324
2013-09-19,46.4422,46.7249,45.8768,45.9899,986349
2013-09-20,45.9737,46.0303,44.4795,44.528,1312464
2013-09-23,44.423,45.3316,44.3428,45.0207,1623553
2013-09-24,44.9076,45.4164,44.5037,45.0449,1565278
2013-09-25,44.8349,45.2307,44.4149,44.843,1205729
2013-09-26,44.8672,45.5053,44.8672,45.2549,1093288
2013-09-27,45.0772,45.1943,43.8737,44.1403,1379028
2013-09-30,43.9787,44.0272,42.8762,42.8884,1622251
2013-10-01,42.9853,44.1241,42.0887,43.9545,1756982
2013-10-02,44.0191,44.5037,43.7526,44.0676,1303992
2013-10-03,44.1726,44.5199,42.5491,42.6622,1969383
2013-10-04,42.848,43.3164,42.1534,42.4037,1877082
2013-10-07,42.1534,43.6786,42.0887,43.5668,1595876
2013-10-08,43.4618,43.6395,42.4037,42.4037,1153477
2013-10-09,42.5087,43.0531,42.3472,42.6541,876720
2013-10-10,42.9449,43.696,42.9449,43.5264,826767
2013-10-11,44.2695,44.9157,43.6072,44.6249,1436284
2013-10-14,44.2695,44.6007,43.8172,44.116,944096
2013-10-15,43.906,44.3583,43.8899,43.9303,1091867
2013-10-16,43.8576,44.4553,43.6678,44.4149,789670
2013-10-17,44.5441,46.418,44.2776,46.2645,1627617
2013-10-18,46.313,46.313,45.1499,45.4245,1216286
