date,open,high,low,close,volume
2013-08-07,59.1771,59.6899,59.051,59.3789,659712
2013-08-08,59.4882,59.9253,59.2107,59.7488,533265
2013-08-09,59.7488,59.7572,59.1351,59.5218,1001539
2013-08-12,59.1435,59.2696,58.8913,59.2275,597161
2013-08-13,59.2275,59.3537,58.5886,58.782,780012
2013-08-14,58.7315,58.8576,58.1514,58.3196,744632
2013-08-15,58.0253,58.0842,57.42,57.5545,847822
2013-08-16,57.42,57.4873,56.4868,56.8231,840193
2013-08-19,56.6214,57.109,56.1085,56.4616,797368
2013-08-20,56.4448,57.1846,56.1674,56.8231,734920
2013-08-21,56.6298,56.7054,55.8773,56.1422,995657
2013-08-22,56.2262,56.5121,56.003,56.2683,422503
2013-08-23,56.3019,56.7559,56.0917,56.6466,584002
2013-08-26,56.613,56.8778,56.1926,56.3607,709501
2013-08-27,55.8815,56.7474,55.8815,56.4953,863298
2013-08-28,56.5709,56.8357,56.2851,56.5793,913623
2013-08-29,56.5583,56.7054,56.1002,56.3439,706266
2013-08-30,56.3355,56.6214,55.974,56.2178,669255
2013-09-03,56.5625,56.8568,55.2092,55.3687,853957
2013-09-04,55.3603,55.3939,54.6709,55.2678,1082515
2013-09-05,55.2678,55.4864,54.5785,54.6457,1117067
2013-09-06,54.8895,55.478,54.8391,55.1165,2880590
2013-09-09,55.6618,56.2392,55.4156,56.1203,2468690
2013-09-10,56.2392,56.6382,56.0184,56.6382,2901803
2013-09-11,56.6382,56.7995,55.8231,56.7655,1521638
2013-09-12,56.375,56.9014,55.6958,55.7722,771934
2013-09-13,55.9335,56.3241,55.7892,55.8826,516551
2013-09-16,56.5363,56.9184,55.8231,55.959,1105257
2013-09-17,56.1203,56.4259,55.9845,56.2222,736722
2013-09-18,56.341,58.0985,56.0609,57.9032,1046722
2013-09-19,57.8183,58.2853,57.3938,57.657,843099
2013-09-20,57.657,57.8183,56.8547,57.0372,1464698
2013-09-23,56.9948,57.8608,56.6042,57.3938,1393089
2013-09-24,57.4702,57.6316,56.9778,57.0372,1470255
2013-09-25,57.1221,57.2919,56.3326,56.5024,1229865
2013-09-26,56.6212,56.9354,56.2986,56.5108,760620
2013-09-27,56.2052,56.572,55.8656,56.0863,794665
2013-09-30,55.7467,56.0948,55.6406,56.0184,955103
2013-10-01,56.1712,56.375,55.942,56.1458,568010
2013-10-02,56.0014,56.3326,55.6109,56.3071,941848
2013-10-03,56.0948,56.0948,55.1694,55.3477,767248
2013-10-04,55.3392,55.6279,55.1694,55.2458,570642
2013-10-07,54.9741,55.3222,54.7203,54.7873,953476
2013-10-08,54.9741,55.6533,54.8213,55.2458,1911682
2013-10-09,55.4156,56.2561,55.1609,55.7128,1238393
2013-10-10,56.0354,56.5024,55.3137,56.4769,875525
2013-10-11,56.5108,56.8545,56.3326,56.7401,567441
2013-10-14,56.4344,56.6212,55.6618,56.4514,923044
2013-10-15,56.358,56.5618,55.7722,55.7892,1414927
2013-10-16,55.9845,56.3665,55.7892,56.2561,971718
2013-10-17,56.1033,57.1731,55.7892,57.0712,1286927
2013-10-18,57.224,57.4957,56.9311,57.0627,966986
2013-10-21,57.0203,57.2028,56.5533,56.7486,732188
2013-10-22,56.808,57.4363,56.6807,57.241,889047
2013-10-23,57.224,58.4891,57.0882,57.9542,1815854
2013-10-24,57.9627,58.0051,57.1391,57.3938,1174949
2013-10-25,56.9948,58.9815,56.5321,58.956,1816316
2013-10-28,59.0579,59.5928,58.8287,59.1258,1557099
2013-10-29,59.6098,59.6183,58.8287,59.2532,1251060
2013-10-30,59.3805,59.6947,58.7777,58.8711,1080904
2013-10-31,58.7947,58.99,57.8947,58.7013,1178552
2013-11-01,58.8032,59.1555,58.5655,58.956,842749
2013-11-04,59.1598,59.5758,58.7438,59.5164,1513276
2013-11-05,59.389,59.9579,59.1377,59.2277,1498626
2013-11-06,59.3041,59.8135,59.3041,59.5928,1107115
2013-11-07,59.7032,59.9749,58.8626,58.8881,1440876
2013-11-08,58.5655,58.8966,57.7419,58.8711,1495415
2013-11-11,58.956,59.1428,58.4636,58.7353,684939
2013-11-12,58.4636,58.7353,57.691,57.9797,1108662
2013-11-13,57.5636,57.8863,57.2325,57.8693,1509114
2013-11-14,58.1325,58.9306,58.09,58.7098,705777
2013-11-15,58.5825,59.007,58.3872,58.9985,824728
2013-11-18,59.2107,59.2532,58.7225,58.8966,699715
2013-11-19,58.8032,58.8457,58.3362,58.4042,932442
2013-11-20,58.5825,58.7692,58.2089,58.3872,1473407
2013-11-21,58.4976,58.8117,58.2513,58.5145,962389
2013-11-22,58.4127,58.7353,58.2344,58.4636,1042817
2013-11-25,58.4636,58.5909,57.8098,57.8778,796569
2013-11-26,57.8098,57.9712,56.9608,57.0457,1012272
2013-11-27,57.1052,57.1179,56.7061,56.8165,881426
2013-11-29,56.7146,56.9693,56.5957,56.6637,451081
2013-12-02,56.7655,56.8589,56.0778,56.6976,876493
2013-12-03,56.4854,56.842,56.358,56.7571,846731
2013-12-04,56.4599,56.8335,56.1712,56.7401,816573
2013-12-05,56.6382,56.7401,56.2816,56.358,951615
2013-12-06,56.5788,57.432,56.5703,57.4023,1014456
2013-12-09,57.3429,57.3853,56.7825,57.0712,1021717
2013-12-10,56.9863,57.0033,56.5448,56.5703,1398411
2013-12-11,56.5873,56.5957,55.7467,56.0354,1640804
2013-12-12,56.0397,56.6657,55.9196,56.0482,1079199
2013-12-13,56.2112,56.357,55.9368,56.0482,509033
2013-12-16,56.1683,56.88,56.0997,56.6399,921615
2013-12-17,56.5542,56.5885,55.7695,55.9796,1903253
2013-12-18,55.9539,56.8372,55.3279,56.7257,1446038
2013-12-19,56.5542,56.5799,55.731,56.2541,1210184
2013-12-20,56.3484,57.8148,56.3398,57.1202,2240326
2013-12-23,57.3088,57.4717,56.9058,57.0687,836589
2013-12-24,56.9915,57.3174,56.6142,57.1802,374049
2013-12-26,57.1116,57.1716,56.5285,56.7343,619347
2013-12-27,56.7,57.043,56.4984,56.9058,740837
2013-12-30,56.8372,57.1545,56.5799,56.8715,866622
2013-12-31,56.8715,57.0258,56.4942,56.9315,1902737
2014-01-02,56.9401,56.9744,55.9282,55.9625,1415319
2014-01-03,56.6228,56.6399,55.6023,55.851,1281392
2014-01-06,55.8682,56.1854,55.7052,55.9025,1067645
2014-01-07,55.911,56.4768,55.8424,56.3913,1100026
2014-01-08,56.3827,56.3827,55.6709,55.8253,1297158
2014-01-09,56.074,56.4427,55.8939,56.3227,1135255
2014-01-10,56.7514,57.7462,56.6485,57.1716,1132125
2014-01-13,57.0087,57.1716,56.5285,56.6399,733578
2014-01-14,56.7343,56.983,56.4513,56.7428,579887
2014-01-15,56.9315,56.9315,56.1426,56.3141,960059
2014-01-16,56.3312,56.5199,56.0139,56.5199,847185
2014-01-17,56.5713,56.8286,56.2798,56.4684,842838
2014-01-21,56.8543,57.163,56.7085,57.1202,649928
