date,open,high,low,close,volume
2013-08-07,53.7235,53.817,51.5279,52.9574,7142806
2013-08-08,52.9761,55.4987,52.9761,54.8167,5247510
2013-08-09,54.826,55.0783,54.499,54.6578,2604060
2013-08-12,54.4523,54.7963,54.0599,54.0879,2278477
2013-08-13,54.2374,54.2421,53.4339,53.7702,1881577
2013-08-14,53.8917,54.6018,53.7983,54.144,3254305
2013-08-15,53.8076,54.2981,53.6394,54.2094,2038016
2013-08-16,54.0132,54.0874,53.1489,53.6114,2501469
2013-08-19,53.6768,53.7235,52.6771,52.7331,2849804
2013-08-20,53.2096,53.8076,52.8079,52.8172,2751852
2013-08-21,52.6958,53.219,52.3501,52.3968,3354885
2013-08-22,52.5463,53.9197,52.4622,53.5647,1776049
2013-08-23,53.6021,54.4897,53.4993,54.3121,2220292
2013-08-26,54.3589,54.7326,54.2234,54.2561,2352545
2013-08-27,53.7796,54.1906,53.0975,53.219,3145644
2013-08-28,53.275,54.5457,53.2377,53.7235,2818010
2013-08-29,53.6301,53.8637,52.9293,53.0415,1936989
2013-08-30,53.1442,53.7516,53.1162,53.3404,2037635
2013-09-03,53.9851,54.0786,53.247,53.4713,2229573
2013-09-04,53.4432,54.0505,53.4059,53.7235,2160559
2013-09-05,53.7235,54.9288,53.7142,54.8727,3291498
2013-09-06,54.9568,55.3399,54.499,54.5457,2422151
2013-09-09,54.9948,55.4262,54.8635,55.3511,2112322
2013-09-10,55.5012,55.5012,54.7322,55.051,2388348
2013-09-11,54.7884,55.4543,54.7416,55.4543,2996315
2013-09-12,55.4824,55.9607,55.0698,55.2386,1869365
2013-09-13,55.4356,55.5106,54.629,54.7603,1780810
2013-09-16,55.2855,55.3324,54.3946,54.4977,2061445
2013-09-17,54.5165,55.398,54.4414,55.2011,2027397
2013-09-18,55.0417,56.6313,55.0042,56.1014,4457849
2013-09-19,56.2984,56.4578,55.6184,55.9701,2459550
2013-09-20,56.0076,56.4953,55.6888,55.8388,3796478
2013-09-23,55.7826,55.942,55.4262,55.8763,2918341
2013-09-24,55.8482,56.3593,55.5668,56.017,2606107
2013-09-25,56.0451,56.3547,55.745,55.8013,2289345
2013-09-26,55.8294,56.0264,55.3793,55.7732,2038942
2013-09-27,55.5575,55.8201,54.6571,55.0604,3262206
2013-09-30,54.3664,54.3758,53.6443,54.1695,3530724
2013-10-01,54.2633,55.2761,54.2164,54.9573,2260656
2013-10-02,54.7697,55.0135,54.0007,54.6665,1930286
2013-10-03,54.5165,54.8166,54.2164,54.3664,2166083
2013-10-04,54.4883,55.4637,54.3852,55.2574,2075349
2013-10-07,54.8541,55.5012,54.6854,54.7322,1732311
2013-10-08,54.9666,55.323,54.5212,54.5821,2884121
2013-10-09,54.6103,55.0792,54.3477,54.6759,3133081
2013-10-10,55.1448,56.6547,55.1354,56.5328,4366223
2013-10-11,56.2608,57.555,56.0639,57.0205,3305858
2013-10-14,56.5516,57.3956,56.4015,57.1518,2246665
2013-10-15,56.9642,57.6676,56.7391,57.1799,2869109
2013-10-16,57.6582,59.1681,57.4988,58.6054,4179729
2013-10-17,58.5398,59.2057,58.1553,59.0556,2647464
2013-10-18,59.4964,59.6277,58.6898,59.2807,3229186
2013-10-21,60.8844,62.6663,60.4999,61.2595,8475724
2013-10-22,61.9629,62.7601,61.1564,61.4471,5281143
2013-10-23,60.9875,60.9875,59.7308,60.1154,3223467
2013-10-24,60.1435,60.7718,59.9934,60.4905,2349393
2013-10-25,60.6874,60.9594,59.9185,60.528,1924109
2013-10-28,60.7156,60.7531,59.8059,60.0497,2508305
2013-10-29,60.2842,60.7062,60.0872,60.5186,2278365
2013-10-30,60.6124,60.9407,58.9431,59.4683,2390977
2013-10-31,59.412,59.8528,58.8868,59.2901,2407396
2013-11-01,59.2619,59.97,58.8118,59.7027,2345920
2013-11-04,59.8434,60.6499,59.7965,60.453,2408190
2013-11-05,60.2748,60.4342,59.5059,59.8246,2663420
2013-11-06,60.4717,60.4717,55.7075,57.5832,9580632
2013-11-07,57.5082,57.6676,55.8294,56.0451,6373986
2013-11-08,56.0545,56.7954,56.017,56.3734,3538851
2013-11-11,57.6864,57.6864,56.6829,56.9361,4171608
2013-11-12,56.8798,56.9267,55.7638,56.1108,3234551
2013-11-13,56.0076,56.8329,55.8013,56.8329,2674759
2013-11-14,56.8142,57.2362,56.4297,57.0393,2350840
2013-11-15,57.1424,57.3111,56.4859,56.7204,2666623
2013-11-18,56.8517,57.0205,55.8951,56.0733,2724273
2013-11-19,56.0639,59.2713,55.7263,58.868,11442648
2013-11-20,61.0157,61.5221,58.2022,58.8493,14575647
2013-11-21,59.2901,59.5714,58.582,58.7086,5586919
2013-11-22,59.1213,59.1775,58.3991,58.6805,4494472
2013-11-25,58.4835,58.6148,57.0111,57.7708,3523617
2013-11-26,57.6301,58.5117,57.4238,57.4613,3302041
2013-11-27,57.4613,57.6864,56.6829,56.8048,2278641
2013-11-29,56.8423,57.4238,56.4578,56.8517,2250204
2013-12-02,57.1049,57.1237,56.5516,56.7767,3362668
2013-12-03,56.9642,58.0803,56.7016,57.6301,3588767
2013-12-04,57.4519,57.9583,56.9924,57.0299,3597287
2013-12-05,56.8423,58.0521,56.6735,57.5457,3845857
2013-12-06,57.9958,58.0521,56.439,56.7204,3129169
2013-12-09,56.908,57.1987,56.3921,56.9267,2435287
2013-12-10,56.7204,57.6854,56.6923,57.0393,3210338
2013-12-11,56.851,56.9922,55.8156,56.0698,3354601
2013-12-12,56.2862,56.7569,55.9003,55.9286,2967016
2013-12-13,55.938,56.3503,55.5333,55.7403,3039884
2013-12-16,56.1168,57.0016,56.0415,56.851,2800613
2013-12-17,56.7192,56.738,56.098,56.1451,3027127
2013-12-18,56.1921,56.3615,54.6202,55.8533,4353754
2013-12-19,55.8627,57.5287,55.6744,57.1804,3619996
2013-12-20,57.3593,57.5193,56.5969,57.3593,3954395
2013-12-23,57.7075,58.2158,57.1428,57.2369,1942694
2013-12-24,57.171,57.8393,57.0298,57.6605,847762
2013-12-26,57.5663,57.8487,57.0392,57.5287,2125290
2013-12-27,57.8111,58.244,57.5381,58.0652,1473304
2013-12-30,58.1217,58.7335,57.9428,58.1687,2724262
2013-12-31,58.2064,58.5358,57.7734,58.2346,2336589
2014-01-02,58.0652,58.2064,57.3404,57.5663,2061600
2014-01-03,57.6981,58.0558,57.2275,57.444,1735556
2014-01-06,56.9451,57.0863,56.5404,56.7098,2566422
2014-01-07,57.3404,58.3476,57.2087,57.8675,3499660
2014-01-08,57.8675,58.1593,57.3593,57.7075,3503762
2014-01-09,57.6793,57.9052,56.4651,57.2087,2831453
2014-01-10,57.3781,57.4722,56.7192,56.9734,2296904
2014-01-13,56.9357,57.2181,55.5521,55.7027,3198772
2014-01-14,55.6744,56.5686,55.6462,56.2674,2414382
2014-01-15,56.3898,56.7568,55.6462,55.7309,3032792
2014-01-16,55.6368,56.0792,55.4862,55.8815,3042150
2014-01-17,55.9568,56.0792,55.2509,55.5427,3311997
2014-01-21,56.1168,56.6064,55.5333,56.1733,2750908
2014-01-22,56.5592,57.1522,56.0886,56.8604,3092742
2014-01-23,56.7757,57.0298,56.3239,56.5874,2484479
2014-01-24,56.1074,56.371,55.6707,56.0227,3823785
2014-01-27,55.9756,56.0039,55.0269,55.2226,3576159
2014-01-28,55.4485,56.0227,55.2979,55.8062,2483435
2014-01-29,55.2603,56.0698,54.7897,55.5427,3097642
2014-01-30,55.6368,56.9451,55.2791,56.1639,4712022
2014-01-31,55.4485,56.2415,55.345,55.7403,3442144
2014-02-03,55.7121,56.1262,54.2841,54.4508,4388693
2014-02-04,55.2791,56.2768,55.185,55.8345,4608803
2014-02-05,55.9286,56.1356,55.1662,55.6086,3927610
2014-02-06,55.985,57.1051,55.5709,56.8981,3738308
2014-02-07,56.9357,57.5193,56.6627,57.4346,3020933
2014-02-10,57.284,57.3593,56.7569,57.2275,2284646
2014-02-11,57.2087,58.164,57.0016,57.924,2033453
2014-02-12,58.2346,58.2346,57.4054,57.5852,2341868
2014-02-13,57.3122,58.7899,57.1522,58.6111,3316279
2014-02-14,58.6111,58.7617,57.9522,58.404,2318562
2014-02-18,58.6864,59.6465,58.4793,59.2135,5137014
2014-02-19,60.2112,61.7831,59.59,60.4748,9710989
2014-02-20,60.4371,61.1148,60.2865,60.7666,3788188
2014-02-21,60.8701,61.0113,59.8724,59.9289,4596629
2014-02-24,60.1453,61.096,60.1453,60.5877,3368476
2014-02-25,60.3053,60.3806,59.4771,60.1548,3765449
2014-02-26,60.0606,60.2771,59.5994,59.9853,3244520
2014-02-27,59.7406,60.6348,59.6747,60.5312,3066489
2014-02-28,60.5595,60.9454,60.3148,60.6348,2457261
2014-03-03,60.2395,61.2184,59.9665,60.0324,3815468
2014-03-04,60.503,61.0395,60.023,60.8419,3990299
2014-03-05,60.7571,61.1619,60.5124,60.6818,2749667
2014-03-06,60.7477,60.9454,60.3035,60.7289,1684744
2014-03-07,60.7007,61.416,60.503,61.3031,2935738
2014-03-10,61.1807,61.2372,60.0512,60.7383,3192162
2014-03-11,60.6724,60.9736,59.6747,59.8159,2331425
2014-03-12,59.4192,59.7781,59.0603,59.5798,2251875
2014-03-13,59.712,59.8536,59.0178,59.117,2182942
2014-03-14,59.0036,59.3342,58.9092,59.2586,3086092
2014-03-17,59.4476,59.8915,58.9611,59.3153,2178930
2014-03-18,59.5231,60.1087,59.4759,59.967,2154779
2014-03-19,59.9198,60.3354,59.5987,59.9387,2667865
2014-03-20,59.4759,60.0331,59.2398,59.7781,2870351
2014-03-21,60.2787,60.7793,59.8726,60.5337,3314000
2014-03-24,60.836,61.091,60.2362,60.3637,1560247
2014-03-25,60.5999,60.751,60.2598,60.411,2780263
2014-03-26,60.8927,61.0343,60.2976,60.4487,3440884
2014-03-27,60.581,61.7616,60.4487,61.1004,3939558
2014-03-28,61.4594,62.1772,61.2799,62.1394,5840502
2014-03-31,62.3378,63.235,61.9788,63.2162,5353409
2014-04-01,63.1973,63.934,63.0461,63.9245,4251660
2014-04-02,63.7073,64.4535,63.5562,64.1229,3481003
2014-04-03,64.6046,65.7191,64.3307,64.7085,4800670
2014-04-04,64.9824,65.2374,64.0379,64.2362,3033368
2014-04-07,64.0757,64.4156,63.5184,63.8018,2344849
2014-04-08,63.9907,64.3401,63.8112,64.0851,3109015
2014-04-09,64.3685,64.6518,64.0568,64.5857,4998450
2014-04-10,64.4251,65.6247,64.1418,64.8029,5158542
2014-04-11,64.3496,64.947,63.7829,63.8018,3824591
2014-04-14,64.3779,64.3779,63.4051,64.0284,4506316
2014-04-15,64.019,65.0768,63.8395,64.869,3481288
2014-04-16,65.2091,66.3708,65.2091,65.9836,3777898
2014-04-17,66.0875,67.0981,65.7758,66.777,4003523
2014-04-21,66.947,67.032,66.1819,66.5881,3156826
2014-04-22,66.3708,66.9942,66.078,66.7108,2246650
2014-04-23,67.0131,67.6365,66.7959,67.3531,2540210
2014-04-24,67.6459,68.3921,67.4192,67.9198,3872625
2014-04-25,67.5231,67.7687,66.4086,66.4936,4243664
2014-04-28,66.7108,66.9941,65.7852,66.3803,2843717
2014-04-29,66.8525,67.5231,66.4983,66.5692,2153660
2014-04-30,66.2669,66.3803,65.5963,66.1158,4350614
2014-05-01,66.0591,66.3614,65.7852,66.0119,3104819
2014-05-02,66.3141,66.7628,65.9552,66.3803,4054867
2014-05-05,65.9647,66.7581,65.738,66.4464,2054182
2014-05-06,66.4369,66.9092,66.078,66.2953,2746995
2014-05-07,66.9564,69.6955,65.3602,69.006,8860707
2014-05-08,68.8832,69.157,66.862,67.0509,5886559
2014-05-09,67.1264,67.1548,66.1347,66.8053,3053719
2014-05-12,67.0981,67.2539,66.7203,67.0981,2026406
2014-05-13,67.3531,68.7982,67.1831,68.411,4720872
2014-05-14,68.4299,68.5621,67.712,67.7687,2694825
2014-05-15,67.7026,67.7309,66.1252,66.8147,4221501
2014-05-16,66.8525,67.1548,66.2008,66.7486,2497860
2014-05-19,66.7581,67.6648,66.5503,67.3248,2452582
2014-05-20,67.8065,68.9021,67.7215,68.5243,5440674
2014-05-21,68.7793,69.5538,68.6093,69.4594,3382846
2014-05-22,69.5349,69.6011,68.666,68.6754,2571328
2014-05-23,68.7699,69.0721,68.3921,68.6188,2157342
2014-05-27,68.7604,69.1099,68.3732,69.0721,2698457
2014-05-28,69.1005,69.4735,68.666,69.3649,3439231
2014-05-29,69.5633,69.875,69.0721,69.79,2233671
2014-05-30,69.7427,69.8844,69.1194,69.7994,2119220
2014-06-02,69.7522,70.2055,69.4783,69.6011,2125725
2014-06-03,70.1583,70.8384,70.0261,70.555,3320149
2014-06-04,70.7439,70.8761,70.3944,70.7156,2139624
2014-06-05,70.6589,70.93,70.3661,70.64,2026918
2014-06-06,70.7628,70.8384,70.3944,70.5267,2091107
2014-06-09,70.6495,70.8856,70.0544,70.3189,2253564
2014-06-10,70.6684,71.7356,70.6117,70.7817,3388670
2014-06-11,70.7154,73.1411,70.469,72.4115,5787386
2014-06-12,72.8379,73.9086,72.7621,72.9611,3781626
2014-06-13,73.1695,74.0034,72.7242,73.9465,3314847
2014-06-16,74.0792,74.2118,73.5817,74.1266,4048033
2014-06-17,73.6907,74.213,73.4159,74.0223,2043375
2014-06-18,73.776,74.6477,73.3117,74.0223,2798559
2014-06-19,74.0508,74.3824,73.5296,74.3729,2055276
2014-06-20,74.6761,75.0931,74.5814,74.8088,3133630
2014-06-23,75.0836,75.0836,74.4866,74.733,2518322
2014-06-24,74.7804,75.3205,73.2927,73.5012,3652913
2014-06-25,73.4822,75.3299,73.4822,75.292,2627824
2014-06-26,75.0741,75.292,74.0602,74.4772,1943698
2014-06-27,74.3445,75.4057,74.2071,75.3299,1972694
2014-06-30,75.0457,76.4007,74.8751,75.2352,2669349
2014-07-01,75.6616,75.8132,74.8941,74.932,2157143
2014-07-02,74.9225,75.4721,74.155,74.4582,3311337
2014-07-03,74.7993,75.1025,74.0792,75.0552,1413704
2014-07-07,75.6711,75.6711,74.0034,74.1739,3289059
2014-07-08,74.3161,74.9888,73.8328,74.0413,3641038
2014-07-09,74.3066,75.2447,74.0981,75.2352,2215096
2014-07-10,74.0602,74.6098,73.2751,74.0034,3014217
2014-07-11,73.9276,74.0413,73.0558,73.0843,2920235
2014-07-14,73.2927,73.9655,73.1222,73.7286,2107623
2014-07-15,73.6433,73.8139,72.0135,72.4873,3398131
2014-07-16,72.9611,73.8707,72.7526,73.8044,2340138
2014-07-17,73.8518,74.5056,71.6345,71.7672,3876940
2014-07-18,72.5063,73.2832,72.1367,72.9706,2548510
2014-07-21,72.8758,73.1601,72.3167,73.0748,1915725
2014-07-22,73.577,74.3255,73.2738,74.0508,3234607
2014-07-23,73.9181,74.4203,73.5107,74.3824,2044378
2014-07-24,74.3729,75.1499,74.2024,74.8846,2921698
2014-07-25,74.4108,74.5321,73.8328,74.2308,1194493
2014-07-28,74.0981,74.553,73.359,73.7381,1588946
2014-07-29,73.6812,74.1266,73.2359,73.3401,2180185
2014-07-30,73.9465,74.354,73.1127,73.2548,2356256
2014-07-31,72.9611,72.999,71.4734,71.5398,2800958
2014-08-01,71.1702,71.843,70.3364,71.1513,2913848
2014-08-04,71.3597,72.9706,70.9096,72.781,3236255
2014-08-05,72.2315,72.6673,70.2227,70.6775,3892630
2014-08-06,70.1374,71.6914,67.7262,70.4785,4806262
2014-08-07,70.6585,70.7533,69.1804,69.6162,2505740
2014-08-08,69.6541,70.5354,69.2656,70.4785,2153528
2014-08-11,70.9618,71.1702,70.2416,70.3079,1624660
2014-08-12,70.1184,70.1563,68.6971,69.1804,3239236
2014-08-13,69.4267,69.7963,68.6024,68.8203,2978904
2014-08-14,69.1046,69.4267,68.6355,68.8487,2744129
2014-08-15,69.0667,69.7489,68.8961,69.4931,2793189
2014-08-18,69.6447,69.8342,69.133,69.6826,1883724
2014-08-19,69.9005,70.8101,69.7513,70.3838,1733705
2014-08-20,70.4501,70.4501,69.5973,69.9763,2637426
2014-08-21,70.0237,71.0565,70.0237,70.9712,1788377
2014-08-22,70.7059,70.8101,70.1279,70.2606,1487019
2014-08-25,70.687,71.047,70.4975,70.7817,1880779
2014-08-26,71.047,71.6629,70.5922,70.6491,1937346
2014-08-27,70.8575,70.8765,70.1469,70.3838,1676594
2014-08-28,70.1374,70.9239,70.0521,70.7154,1314046
2014-08-29,70.8196,71.4924,70.5638,71.464,1624161
2014-09-02,71.3502,71.3882,69.692,70.1942,1947861
2014-09-03,70.7722,71.066,70.2037,70.289,1582699
2014-09-04,69.9005,70.1563,68.1665,68.5171,3207500
2014-09-05,68.4223,68.9718,68.1002,68.9245,2509547
2014-09-08,68.4129,68.4129,66.7831,67.4843,3205135
2014-09-09,67.2,67.6738,66.4941,67.0389,3135054
2014-09-10,67.2956,67.2956,65.9075,67.191,3478997
2014-09-11,66.6206,67.4858,66.2688,67.153,2234759
2014-09-12,66.8868,67.2386,66.2593,66.5065,3610639
2014-09-15,66.4779,67.115,65.9265,66.8107,2136822
2014-09-16,66.8963,68.7502,66.554,68.3129,4246660
2014-09-17,68.6077,68.6742,67.771,68.0467,2300490
2014-09-18,68.4746,68.6457,67.4667,68.0372,4937488
2014-09-19,68.4365,68.6457,67.3336,67.4763,4105446
2014-09-22,67.191,67.3051,65.8599,66.535,3970831
2014-09-23,66.2498,67.1055,66.1737,66.4684,2449045
2014-09-24,66.5825,67.2718,65.7839,66.6301,3788737
2014-09-25,66.3258,66.8012,65.261,65.318,2555784
2014-09-26,65.3085,66.2212,64.8806,65.8695,2407586
2014-09-29,65.2514,66.2878,65.0042,66.1547,2519916
2014-09-30,65.974,66.1071,64.2531,64.8236,4124076
2014-10-01,64.3577,65.4131,63.4165,63.7682,3039608
2014-10-02,63.2929,63.7587,61.9237,63.2833,3325538
2014-10-03,63.4925,63.5591,62.0473,62.2185,3619994
2014-10-06,62.5513,62.7193,61.3723,61.629,3878866
2014-10-07,61.3343,61.8381,60.4405,60.4786,3245926
2014-10-08,60.1078,60.9159,58.9954,60.8018,4571794
2014-10-09,60.1743,60.2504,58.2252,58.2823,5182510
2014-10-10,58.0161,58.3108,56.2429,56.4948,6457055
2014-10-13,56.4853,56.9417,53.6425,53.7756,5774372
2014-10-14,54.1274,54.6694,52.2164,52.5301,7618203
2014-10-15,51.4272,52.8058,50.7142,52.4255,8333264
2014-10-16,51.741,54.3841,51.2656,53.7566,7999396
2014-10-17,55.0877,55.7818,54.7835,55.3064,8139501
2014-10-20,55.4585,56.2381,54.5267,55.1257,3820519
2014-10-21,55.9909,57.1651,55.8388,57.1033,5052705
2014-10-22,57.322,58.1397,55.7247,55.7532,6715697
2014-10-23,56.8276,57.6738,56.3237,57.0558,3964771
2014-10-24,56.7801,57.341,56.0955,56.9607,3196542
2014-10-27,55.5726,55.6011,54.0514,54.5077,4785904
2014-10-28,54.8975,56.704,54.4222,56.647,3230408
2014-10-29,58.558,58.558,56.1716,56.7896,3248745
2014-10-30,56.2762,56.6375,55.1828,55.43,3562386
2014-10-31,55.4015,57.0843,54.6014,57.0463,4012109
2014-11-03,57.246,58.0921,55.506,55.6582,4689913
2014-11-04,54.2225,54.7169,52.7108,53.2622,6075728
2014-11-05,56.8561,59.0049,56.7516,58.5865,8913810
2014-11-06,58.3013,59.4898,57.978,59.4803,5122889
2014-11-07,60.1363,61.8572,60.0317,61.8287,6779337
2014-11-10,62.7129,63.1502,60.4976,61.049,6151411
2014-11-11,61.0015,61.667,60.0412,61.3818,2718254
2014-11-12,61.0205,61.7906,60.5356,60.9159,3733740
2014-11-13,60.3169,60.8494,59.195,60.1648,4072333
2014-11-14,60.2028,61.1156,59.8796,61.0205,2703419
2014-11-17,60.6592,61.2392,59.9271,60.7068,2843249
2014-11-18,60.4596,61.6861,60.1648,61.3153,3649541
2014-11-19,61.629,62.0378,60.6307,61.6385,2778826
2014-11-20,61.7146,63.5686,61.4674,63.4735,3741944
2014-11-21,64.7285,65.0993,63.3594,63.8918,4342990
2014-11-24,63.7397,63.8918,62.3516,63.0266,3394684
2014-11-25,63.5686,63.5971,61.2677,61.591,4136211
2014-11-26,61.1821,61.3248,60.2352,60.8684,2699642
2014-11-28,57.0083,57.2269,55.7295,56.067,5443883
2014-12-01,55.8008,57.1889,54.7454,56.9892,7586887
2014-12-02,56.048,58.1872,55.5251,56.9417,4325535
2014-12-03,57.341,59.176,57.322,57.921,3800473
2014-12-04,57.3695,57.3695,56.3522,56.5899,3995592
2014-12-05,56.3332,57.5692,55.5251,56.9512,4474206
2014-12-08,56.2381,56.2381,53.6663,53.8137,6298135
2014-12-09,54.3366,55.5155,53.2622,54.3841,6007448
2014-12-10,53.2193,53.2193,51.5485,52.0067,6895963
2014-12-11,51.9113,53.0284,51.2143,51.4052,4907950
2014-12-12,50.4314,52.1786,49.9349,50.6128,5612414
2014-12-15,51.0997,51.9113,50.0017,50.2786,5007324
2014-12-16,49.5148,53.0952,49.4193,51.6535,7297098
2014-12-17,52.2454,56.6279,52.0067,55.8259,7364029
2014-12-18,57.6113,57.9741,55.2052,57.5635,6041360
2014-12-19,57.8882,58.6806,57.0098,58.5374,7956574
2014-12-22,57.7927,57.9073,56.4369,57.4681,4689849
2014-12-23,58.2032,59.0435,57.4967,58.6902,3510624
2014-12-24,58.2414,58.4038,57.0957,57.4872,2185905
2014-12-26,58.0887,58.6615,57.5445,58.0791,2270405
2014-12-29,58.3178,58.9766,57.8599,58.3847,2503464
2014-12-30,57.9359,58.6711,57.3535,58.2987,3254999
2014-12-31,57.6495,59.2344,57.1912,58.4419,3720317
2015-01-02,57.8882,58.843,56.9048,58.2032,3019780
2015-01-05,56.9907,56.9907,55.1862,56.0455,3867318
2015-01-06,55.95,56.5133,54.2027,54.8997,4685851
2015-01-07,55.463,56.2746,54.7851,55.1575,4208724
2015-01-08,56.0932,57.7163,55.3867,57.1148,4551836
2015-01-09,57.2867,57.9741,56.3987,57.6781,3556300
2015-01-12,56.5324,56.8952,55.3007,56.456,4333086
2015-01-13,56.5992,57.0862,55.8259,56.2269,4911764
2015-01-14,55.6444,56.6947,54.7183,55.8545,5974009
2015-01-15,57.2103,57.449,55.1671,55.2434,3758886
2015-01-16,55.7304,58.06,55.654,57.955,5251960
2015-01-20,56.9048,57.2867,55.759,56.9429,4769510
2015-01-21,57.6686,58.8811,57.2389,58.8143,4001528
2015-01-22,59.1771,59.3681,57.2103,58.4801,3888384
2015-01-23,58.1937,58.8334,57.4203,57.4394,3998287
2015-01-26,57.6686,59.3491,57.3058,58.9289,3336860
2015-01-27,58.461,59.7404,57.8882,59.2917,2737509
2015-01-28,58.7188,58.7551,55.6922,55.7877,4752952
2015-01-29,56.2651,56.5324,54.3364,56.0645,3087218
2015-01-30,55.4917,58.1746,55.0717,57.5445,3792560
2015-02-02,58.5661,60.0078,58.0982,59.9982,4579567
