date,open,high,low,close,volume
2017-04-03,59.337,61.4855,58.0017,58.1643,34496800
2017-04-04,58.7036,60.4541,58.3013,59.4055,6992294
2017-04-05,59.8934,62.1789,59.5852,61.4513,5244219
2017-04-06,62.2473,64.276,62.1018,63.9251,9425095
2017-04-07,63.6854,65.2604,63.6768,64.9437,3981631
2017-04-10,64.9694,65.1919,63.2061,63.9508,3184751
2017-04-11,63.4372,64.3531,62.9493,63.5827,2928972
2017-04-12,63.3773,65.697,63.343,65.1663,3587192
2017-04-13,64.7896,66.202,64.6441,65.4915,2960952
2017-04-17,65.7398,66.7584,65.7398,65.911,2065550
2017-04-18,65.6542,65.774,64.0021,64.5328,3131160
2017-04-19,65.1919,65.1919,63.9422,64.413,3219498
2017-04-20,64.6441,64.8667,64.0963,64.6184,2624505
2017-04-21,64.8153,65.5001,64.2076,65.3289,2727860
2017-04-24,65.8853,65.9367,64.5671,64.7896,2156462
2017-04-25,64.55,65.4145,64.276,65.1663,2329355
2017-04-26,65.3375,65.697,64.7554,65.1748,1566573
2017-04-27,65.3375,65.4573,64.4986,64.9523,1185210
2017-04-28,64.9523,64.9523,64.1648,64.49,2007802
2017-05-01,64.5243,65.7398,64.1562,65.3974,2962259
2017-05-02,65.4231,66.707,65.269,65.8939,2209133
2017-05-03,65.774,67.2806,65.3375,66.1421,3073638
2017-05-04,66.6642,67.0323,66.3561,66.3903,2271897
2017-05-05,66.5872,67.1778,65.9538,67.1008,1005264
2017-05-08,66.8868,67.135,66.3475,67.1179,1162570
2017-05-09,68.419,68.5046,67.486,67.6229,3522470
2017-05-10,67.6743,68.3591,67.6743,68.1451,2693431
2017-05-11,67.8113,68.0681,67.5973,67.9825,1775586
2017-05-12,68.0081,68.1622,67.7257,68.1537,1044019
2017-05-15,68.1708,68.9925,68.1708,68.9326,1858039
2017-05-16,69.0696,69.1894,68.7272,68.984,1717816
2017-05-17,68.5046,68.633,67.2078,67.4346,2145461
2017-05-18,67.3662,67.5288,66.5444,66.8697,3752918
2017-05-19,66.8354,67.6486,66.7156,66.8269,1731802
2017-05-22,66.8526,67.2634,66.4589,67.1778,1527982
2017-05-23,67.1522,67.5202,66.8954,66.9981,1091391
2017-05-24,67.2378,67.3884,66.2534,66.7242,1178954
2017-05-25,67.2292,68.0937,66.7841,67.3148,1700205
2017-05-26,68.0595,68.7614,66.0565,67.3319,2372728
2017-05-30,66.8526,67.2806,66.1421,67.058,1997347
2017-05-31,66.9638,67.3148,66.1866,66.3561,2395551
2017-06-01,66.1678,66.6129,65.7055,66.0308,1719613
2017-06-02,65.911,66.9724,65.3032,66.416,2123220
