date,open,high,low,close,volume
2013-08-07,72.2525,72.6463,71.5544,72.4404,1249344
2013-08-08,72.7984,73.3891,71.975,72.0198,1379256
2013-08-09,72.2256,73.3354,71.5544,71.6618,1344135
2013-08-12,71.1695,71.6618,70.8205,70.9637,1146687
2013-08-13,71.1516,72.3867,70.8742,72.163,1260021
2013-08-14,71.975,72.4225,71.4828,71.6528,863253
2013-08-15,71.1785,71.1874,69.0305,70.0866,1542456
2013-08-16,69.5138,70.2387,68.7889,69.6749,1635233
2013-08-19,69.6928,70.9972,69.4556,69.7913,1091980
2013-08-20,69.8449,70.7892,69.6211,70.2387,603244
2013-08-21,70.0239,70.9726,69.8897,70.1134,826004
2013-08-22,70.2566,71.3485,70.1134,71.1069,500215
2013-08-23,71.1874,71.4201,70.4804,71.3038,479958
2013-08-26,71.3396,71.6797,70.0239,70.0508,1439300
2013-08-27,68.9231,69.299,67.8133,67.9118,1860926
2013-08-28,68.0013,68.0908,67.0347,67.3479,2298118
2013-08-29,67.2853,68.9589,66.9004,68.4219,1309168
2013-08-30,68.5025,68.7173,67.8133,68.0192,1183003
2013-09-03,69.0932,70.1224,68.046,68.7799,1555675
2013-09-04,68.6904,69.0484,67.7865,68.8068,1160843
2013-09-05,68.9142,69.0305,68.6009,68.7262,623328
2013-09-06,68.8873,69.2453,67.8044,68.8068,1376481
2013-09-09,69.3518,69.9808,68.9565,69.4417,1118907
2013-09-10,70.1245,70.439,69.28,69.855,1591478
2013-09-11,69.8101,70.5737,69.6933,70.4569,1365877
2013-09-12,70.5558,70.6456,69.2889,69.7741,1030353
2013-09-13,69.8819,69.9628,68.5163,68.7319,1606148
2013-09-16,69.9179,70.0616,68.2827,68.5522,5203157
2013-09-17,68.6061,69.5315,68.4624,69.5136,1970410
2013-09-18,69.3429,71.005,68.8577,70.7804,1518982
2013-09-19,71.1667,71.9484,70.9151,71.1577,1342753
2013-09-20,71.1488,71.6699,70.5288,70.5558,1560632
2013-09-23,70.5288,70.5648,69.4597,69.6753,1125516
2013-09-24,69.4956,69.9628,68.651,69.3249,1241666
2013-09-25,69.235,69.6034,68.3006,68.9475,992462
2013-09-26,68.9565,70.4569,68.8936,70.2772,1286565
2013-09-27,70.0886,70.3401,69.7022,69.8101,1110948
2013-09-30,68.9925,70.3312,68.8397,69.9897,984334
2013-10-01,69.9448,71.3823,69.8999,71.3644,1846819
2013-10-02,70.6636,70.8433,69.4057,70.8253,1937120
2013-10-03,70.4929,70.6816,68.7678,70.1155,1323623
2013-10-04,70.0347,71.9663,69.6214,71.8855,1504784
2013-10-07,71.023,71.1847,69.8011,69.855,1484711
2013-10-08,69.6933,69.6933,68.1659,68.2557,2175533
2013-10-09,68.4713,69.4237,67.528,68.6421,1789472
2013-10-10,69.4956,70.3042,68.9386,69.9718,1048574
2013-10-11,69.7741,70.0976,69.5495,70.0616,1039793
2013-10-14,69.4237,70.403,69.0823,70.3581,896655
2013-10-15,70.1874,72.0113,70.1155,71.2745,3033551
2013-10-16,71.7687,72.6042,71.4542,72.1281,1447957
2013-10-17,72.0562,73.2691,72.0203,73.1882,828826
2013-10-18,73.3769,73.6824,72.6582,73.323,1011258
2013-10-21,73.6105,74.0954,72.5773,72.9726,1033749
2013-10-22,73.314,74.3652,72.9457,74.1676,1223075
2013-10-23,73.6285,74.5359,73.4578,74.2125,1272184
2013-10-24,74.1226,74.2125,73.2871,73.8351,1644280
2013-10-25,69.4597,71.014,68.3905,70.0257,7566724
2013-10-28,69.9718,69.9808,68.0221,68.5163,3884666
2013-10-29,68.9655,70.5468,68.6421,70.4749,2569993
2013-10-30,70.6816,71.4902,69.837,70.43,1548310
2013-10-31,70.3312,71.3374,70.1784,70.7894,1609909
