date,open,high,low,close,volume
2018-06-05,54.5,54.74,53.21,54.25,2904786
2018-06-06,54.05,54.19,52.11,52.29,3642973
2018-06-07,52.25,52.56,51.74,51.93,2928630
2018-06-08,52.26,52.51,51.26,51.32,1830776
2018-06-11,51.46,51.76,50.89,51.57,2490703
2018-06-12,51.83,52.46,51.47,52.25,2956130
2018-06-13,52.4,53.12,51.67,52.18,2088989
2018-06-14,52.45,52.75,51.63,51.95,2494432
2018-06-15,52.06,53.16,51.65,52.78,5928826
2018-06-18,52.78,53.22,52.26,52.93,1874817
2018-06-19,53.24,54.0,53.09,53.97,2585688
2018-06-20,53.72,54.46,53.3,54.2,1355965
2018-06-21,54.39,54.77,53.91,54.17,1951191
2018-06-22,54.06,54.55,53.96,54.44,2453877
2018-06-25,54.36,55.09,54.03,54.91,2031643
2018-06-26,54.57,55.85,54.57,55.21,2018132
2018-06-27,55.1,55.81,55.01,55.46,1506724
2018-06-28,55.37,56.29,55.3,55.71,1226498
2018-06-29,55.54,56.25,55.07,56.15,2189669
2018-07-02,56.14,56.89,56.11,56.81,1952092
2018-07-03,56.81,57.07,56.26,56.55,849502
2018-07-05,56.55,56.735,55.96,56.56,1523880
2018-07-06,56.45,57.09,56.41,56.76,1242355
2018-07-09,56.7,56.74,54.6,54.77,1309031
2018-07-10,54.37,55.04,54.17,55.0,1776735
2018-07-11,55.18,56.14,54.93,55.97,1061935
2018-07-12,55.71,56.07,55.35,55.75,1423293
2018-07-13,55.8,56.07,55.55,55.91,888701
2018-07-16,55.76,56.09,55.55,56.0,740531
2018-07-17,56.24,56.4,55.8458,56.03,1213722
2018-07-18,55.83,56.03,55.18,55.55,680418
2018-07-19,55.65,56.58,55.65,56.15,874451
2018-07-20,55.77,56.16,55.561,55.71,817541
2018-07-23,55.79,55.8,54.93,55.05,1459946
2018-07-24,54.91,55.31,54.37,54.99,1560829
2018-07-25,54.95,55.53,54.84,55.04,1947552
2018-07-26,55.31,55.88,55.11,55.48,951611
2018-07-27,55.43,55.73,54.9,55.33,1013210
2018-07-30,55.3,55.89,54.8229,55.41,951443
2018-07-31,55.51,56.23,55.05,56.09,1155699
2018-08-01,55.81,56.04,54.94,55.6,914627
2018-08-02,55.54,56.12,55.38,55.82,1081343
2018-08-03,55.89,56.64,55.44,56.18,1089819
