date,open,high,low,close,volume
2013-08-07,104.2383,104.7401,103.7655,104.1997,1598258
2013-08-08,104.7691,105.4639,104.7015,105.2612,1596411
2013-08-09,104.7305,105.3577,104.1418,104.4313,1134165
2013-08-12,103.8138,105.4784,103.7076,105.2226,1720337
2013-08-13,105.0682,105.8885,104.412,104.8077,1603485
2013-08-14,104.8077,105.269,103.9488,104.827,1219169
2013-08-15,104.219,104.634,103.5822,104.2576,2224206
2013-08-16,104.2673,105.1454,103.669,104.8752,1782921
2013-08-19,104.5375,105.377,104.2576,104.8656,1804368
2013-08-20,104.798,106.0525,104.248,105.3867,1525904
2013-08-21,105.1744,105.2323,103.7462,104.2866,1555931
2013-08-22,104.441,106.9114,104.33,106.7377,1348706
2013-08-23,106.7377,107.0079,105.8788,106.8149,1194371
2013-08-26,106.921,109.3721,106.8728,108.1176,2503253
2013-08-27,106.6315,107.2298,103.9296,104.6533,2356335
2013-08-28,104.6533,105.5218,104.1515,104.7015,1119417
2013-08-29,104.7015,105.6665,104.4699,104.7787,927370
2013-08-30,104.9524,104.9814,103.0997,103.6015,1194387
2013-09-03,104.6533,104.9235,103.0418,103.833,1555053
2013-09-04,103.6787,104.1226,103.3699,103.8427,1665778
2013-09-05,103.7076,105.6376,103.7076,105.2323,1460548
2013-09-06,105.6575,106.0924,103.7829,104.5173,1511875
2013-09-09,104.7492,105.5126,104.0051,105.4256,2203030
2013-09-10,106.0827,107.7448,106.044,106.8654,1677340
2013-09-11,106.8074,106.9427,105.8315,106.5369,1356379
2013-09-12,106.3919,106.4113,104.1114,104.7395,2306456
2013-09-13,105.0584,105.2323,102.7972,103.6282,2974157
2013-09-16,105.184,107.2616,104.9038,105.8798,2674114
2013-09-17,106.189,107.7254,106.0924,106.9524,2562047
2013-09-18,109.3875,113.0112,108.7111,112.3348,6671025
2013-09-19,110.7694,113.4267,110.6824,112.8953,3291244
2013-09-20,113.5234,114.3254,112.7793,112.8953,2624805
2013-09-23,111.2912,112.0932,110.2765,111.0399,2022303
2013-09-24,110.9819,111.9773,110.7307,110.8563,1273709
2013-09-25,111.1656,111.2525,109.117,109.7451,2426138
2013-09-26,110.1316,110.8708,109.0686,109.7354,1660169
2013-09-27,109.2136,110.0929,109.117,109.9383,1052138
2013-09-30,108.7787,110.8853,108.6531,110.2669,1709851
2013-10-01,110.3925,111.4361,110.035,111.3781,1456290
2013-10-02,110.6534,111.4748,110.0833,111.3975,1198504
2013-10-03,111.0013,111.2912,108.0347,109.7257,2162843
2013-10-04,109.6194,111.1076,109.2232,110.866,1143050
2013-10-07,109.919,110.5085,108.8213,109.861,1264669
2013-10-08,109.7547,110.1606,108.1893,108.3052,1169206
2013-10-09,108.5468,109.3295,107.5032,108.7884,1518891
2013-10-10,110.0639,111.2332,109.4068,111.1849,1246884
2013-10-11,110.6051,111.9869,110.1702,111.9676,1041411
2013-10-14,111.4071,111.5907,110.4795,111.4844,899793
2013-10-15,112.9726,118.3743,112.9146,116.0358,6195473
2013-10-16,115.8329,120.162,115.6686,119.1087,4113568
2013-10-17,117.8718,121.051,117.4756,120.9737,4344837
2013-10-18,121.051,122.3652,120.5099,122.1816,2023856
2013-10-21,121.969,123.5615,121.6791,123.1189,2227813
2013-10-22,124.5298,127.8443,124.5201,125.3221,4792218
2013-10-23,124.3365,125.7183,123.9358,125.4478,2650117
2013-10-24,126.0855,127.5447,125.6877,127.1388,2299379
2013-10-25,127.5157,128.0858,126.7523,127.6123,2464148
2013-10-28,126.9939,129.1391,126.8103,128.0665,3100595
2013-10-29,128.8009,128.8975,127.5544,128.656,1826684
2013-10-30,128.569,129.3324,127.6703,128.3371,2302041
2013-10-31,127.5737,128.0955,125.4381,126.588,3417482
2013-11-01,127.3321,130.2021,127.1485,130.1151,3728567
2013-11-04,130.1151,131.4776,129.574,130.5693,2474472
2013-11-05,129.8445,132.2797,129.286,131.6419,2670629
2013-11-06,132.2024,132.3666,127.477,128.2984,5446007
2013-11-07,128.569,128.8588,125.8633,126.1532,2846382
2013-11-08,125.9019,128.2598,125.8923,128.1052,2676671
2013-11-11,127.535,128.6849,127.1678,128.0568,1805043
2013-11-12,127.3611,131.5163,126.4044,130.0958,4789034
2013-11-13,129.603,131.3133,128.8396,130.7335,3447565
2013-11-14,130.8495,131.9028,130.492,131.8448,3123693
2013-11-15,133.7968,135.2269,133.246,133.9804,3644926
2013-11-18,133.9224,135.0627,132.183,132.5212,2965703
2013-11-19,132.5502,132.6952,129.4194,129.487,2960557
2013-11-20,129.8252,131.1683,129.6706,130.0475,1716038
2013-11-21,130.7625,134.1833,130.6973,133.7195,2920799
2013-11-22,133.4489,133.791,131.3617,132.4536,1680372
2013-11-25,133.1687,133.333,132.1057,132.5985,1234503
2013-11-26,132.6759,133.9514,132.3956,133.1687,1494982
2013-11-27,134.0287,135.5554,133.8499,135.1496,1358731
2013-11-29,135.7198,135.8188,133.8451,134.0287,733085
2013-12-02,134.4635,136.2126,134.0577,135.4878,1953491
2013-12-03,134.7631,135.2849,133.0431,133.3909,1927332
2013-12-04,133.0237,135.2849,132.2024,134.0384,1187897
2013-12-05,133.2556,134.9622,133.0334,133.5649,1161216
2013-12-06,135.2753,135.4492,134.3862,134.6955,1217157
2013-12-09,135.111,135.2849,134.4249,135.1013,1349459
2013-12-10,135.1013,135.6044,133.7083,133.9695,1538715
2013-12-11,134.3468,134.4629,131.8994,132.0542,1451931
2013-12-12,132.1025,133.0409,131.822,131.8897,1795705
2013-12-13,133.5052,134.3468,132.5378,133.3988,2583749
2013-12-16,135.0336,136.3686,134.3468,135.2851,3549859
2013-12-17,135.2368,135.5947,133.9792,134.5499,2696985
2013-12-18,133.5923,135.6624,132.8764,135.1594,4825577
2013-12-19,135.053,135.4496,133.2634,135.1304,2688626
2013-12-20,134.9659,139.0385,134.6854,138.0518,3350161
2013-12-23,138.6322,138.758,136.9974,137.5488,1461570
2013-12-24,137.5971,137.7326,136.534,137.365,750606
2013-12-26,137.9937,138.8353,137.6842,138.6225,1246959
2013-12-27,138.6032,139.1642,138.0808,138.7483,923547
2013-12-30,138.7966,139.1836,138.1969,138.3807,889266
2013-12-31,138.342,139.4254,138.3323,139.0772,1103045
2014-01-02,138.2356,139.6769,135.0136,135.2077,3360745
2014-01-03,135.7495,136.5427,135.3432,135.4786,2779587
2014-01-06,138.0421,138.3323,133.747,134.192,2995143
2014-01-07,134.7918,136.3782,134.4532,136.0493,1702109
2014-01-08,136.4363,136.7652,135.4206,135.7882,1633507
2014-01-09,135.9236,137.1425,135.3819,136.8909,1476260
2014-01-10,136.5911,138.0808,135.8269,137.9744,1714724
2014-01-13,136.7362,138.0905,135.6624,135.9042,1565152
2014-01-14,136.3492,138.1679,135.169,138.0421,2344475
2014-01-15,138.1195,138.4677,137.3069,137.897,2692162
2014-01-16,137.2876,137.8486,136.3492,137.1812,1928072
2014-01-17,136.0203,137.2392,135.5173,135.9236,2293046
2014-01-21,137.0844,137.9647,136.2022,137.5101,2509051
2014-01-22,138.0905,138.1775,137.0071,137.6552,1337056
2014-01-23,136.9877,137.3553,134.8015,135.6624,1836493
2014-01-24,134.6177,134.8401,130.1775,130.1871,3094743
2014-01-27,130.2936,131.348,126.8014,127.643,4738834
2014-01-28,127.6817,130.2452,127.6817,129.955,3170162
2014-01-29,128.4943,129.6261,127.2561,127.5463,2647815
2014-01-30,128.7458,130.429,128.7168,129.4036,1936095
2014-01-31,127.5463,130.5547,127.4882,128.9683,1588549
2014-02-03,128.591,130.6515,124.8183,125.2149,3184469
2014-02-04,125.2536,126.6602,123.9864,126.1629,2387031
2014-02-05,125.6115,126.6466,124.9731,125.7276,2009408
2014-02-06,125.8921,127.5559,125.8147,126.5692,1908377
2014-02-07,127.614,128.7264,126.5934,127.4592,2404030
2014-02-10,127.0819,127.7465,125.1182,125.6406,3602483
2014-02-11,126.1533,129.4133,125.8824,128.8038,3257826
2014-02-12,128.8135,129.4423,127.4447,128.6587,1896262
2014-02-13,127.614,128.9876,126.724,128.7264,1783345
2014-02-14,129.2827,130.1581,128.533,129.5487,1439565
2014-02-18,129.9356,130.371,128.0106,128.4556,2360623
2014-02-19,128.0203,129.1521,126.7337,127.0626,2780910
2014-02-20,127.3915,129.1521,126.782,128.649,1786990
2014-02-21,128.8328,130.7966,128.7651,130.4967,1994230
2014-02-24,130.6805,132.5088,130.1098,130.4677,2243584
