date,open,high,low,close,volume
2013-08-07,17.0761,17.0938,16.9434,16.9965,6153252
2013-08-08,17.1115,17.1645,16.8992,17.0009,7554601
2013-08-09,16.9523,17.138,16.9523,17.0672,5324943
2013-08-12,16.9965,17.1822,16.9523,17.0407,3901014
2013-08-13,16.9169,17.0849,16.7754,16.8815,10036492
2013-08-14,16.855,17.023,16.8462,16.9258,6817461
2013-08-15,16.855,16.9346,16.7843,16.8373,6104650
2013-08-16,16.8727,17.0584,16.8285,16.9434,5672739
2013-08-19,16.9169,16.9346,16.7754,16.8108,6294936
2013-08-20,16.8462,16.9788,16.7135,16.855,7298832
2013-08-21,16.7843,16.9523,16.7047,16.74,7921143
2013-08-22,16.7754,17.0098,16.7489,16.9611,6032381
2013-08-23,17.0761,17.0849,16.8373,16.9788,3804952
2013-08-26,17.0142,17.0496,16.7931,16.7931,5896880
2013-08-27,16.6251,16.6781,16.2979,16.2979,10529666
2013-08-28,16.2095,16.3421,16.0503,16.2271,8269212
2013-08-29,16.0945,16.404,16.068,16.2625,4669145
2013-08-30,16.3156,16.3156,16.1122,16.1741,6179689
2013-09-03,16.3863,16.5013,16.0591,16.1918,7389376
2013-09-04,16.2448,16.3598,16.121,16.236,7631151
2013-09-05,16.2537,16.4792,16.236,16.3863,6300102
2013-09-06,16.4748,16.5057,16.2095,16.3333,5249508
2013-09-09,16.1387,16.3598,16.0326,16.2537,9006825
2013-09-10,16.4217,16.435,16.2625,16.3598,8942991
2013-09-11,16.3686,16.4659,16.2714,16.4305,5716101
2013-09-12,16.4482,16.4836,16.3509,16.3509,5754845
2013-09-13,16.3863,16.4217,16.2006,16.2537,10692372
2013-09-16,16.4924,16.519,16.3156,16.3509,8409226
2013-09-17,16.289,16.4482,16.2095,16.404,10143197
2013-09-18,16.3333,16.6339,16.2493,16.4659,13477328
2013-09-19,16.4748,16.5367,16.2095,16.3863,13397506
2013-09-20,16.2979,16.4129,16.2448,16.2634,10896074
2013-09-23,16.1918,16.2183,15.9972,16.0503,6913056
