date,open,high,low,close,volume
2013-08-07,52.0229,52.143,51.5424,51.718,1268447
2013-08-08,51.9027,52.0783,51.4501,52.0044,1108744
2013-08-09,51.9397,52.4848,51.7272,52.4294,989655
2013-08-12,52.2353,52.6788,52.1707,52.6603,922405
2013-08-13,52.6603,53.1684,52.2723,53.0668,1021930
2013-08-14,53.0022,53.0945,52.6141,52.8081,1080236
2013-08-15,52.2169,52.4016,51.9305,52.0229,1531619
2013-08-16,51.912,52.4571,51.8381,52.2908,946993
2013-08-19,52.0506,52.3832,51.6718,51.7642,722455
2013-08-20,51.7549,52.3924,51.5979,52.337,785274
2013-08-21,52.1614,52.3832,51.7734,51.9582,595394
2013-08-22,52.0783,53.1777,52.0367,53.0761,610160
2013-08-23,53.1592,53.2054,52.7712,52.9652,610146
2013-08-26,53.0206,53.2146,52.6603,52.8266,490203
2013-08-27,52.2538,52.531,51.5517,51.7642,889622
2013-08-28,51.6718,52.2538,51.42,52.106,716062
2013-08-29,51.912,52.5679,51.912,52.2169,421871
2013-08-30,52.2815,52.337,51.4039,51.5424,846839
2013-09-03,52.3092,52.6327,51.718,52.1799,1145154
2013-09-04,52.1614,53.5565,52.106,53.4918,1258217
2013-09-05,53.4548,54.3418,53.3809,53.7967,1457250
2013-09-06,53.963,55.3007,53.4964,54.5727,1787868
2013-09-09,54.7667,55.2656,54.7667,55.127,892142
2013-09-10,55.4781,56.6329,55.3211,56.5683,1419862
2013-09-11,56.5406,56.8547,56.1525,56.3281,1060550
2013-09-12,56.4666,57.0117,56.2172,56.7715,1102789
2013-09-13,56.9193,56.9193,56.3004,56.3558,906124
2013-09-16,57.1318,57.4644,56.6145,56.7715,1087617
2013-09-17,56.7715,57.0487,56.6514,56.8639,688045
2013-09-18,56.8362,57.9725,56.3373,57.8247,959597
2013-09-19,58.1481,58.6627,58.0557,58.4622,1203786
2013-09-20,58.7948,58.8502,57.9587,58.2682,1768176
2013-09-23,58.0187,58.2312,57.1457,57.7785,920089
2013-09-24,57.8247,58.3606,57.6122,58.0095,1018776
2013-09-25,58.0836,58.2688,57.4725,57.5095,1051834
2013-09-26,57.5558,58.0003,57.5419,57.9262,575056
2013-09-27,57.5651,57.8243,57.2595,57.5558,620511
2013-09-30,56.8429,57.8151,56.7317,57.7688,1227355
2013-10-01,57.6392,58.3429,57.6392,57.8243,904114
2013-10-02,57.528,57.5929,56.778,57.2595,1150669
2013-10-03,57.0558,57.4169,56.2873,56.8984,980553
2013-10-04,56.8706,57.3336,56.6484,57.1391,756507
2013-10-07,56.5651,56.778,56.3336,56.454,834567
2013-10-08,56.491,56.8706,55.6678,55.8243,981345
2013-10-09,55.9262,56.2132,55.4262,55.8891,1145689
2013-10-10,56.5188,57.4632,56.491,57.4447,932082
2013-10-11,57.2503,58.2225,57.1984,58.2132,1152961
2013-10-14,57.8429,58.741,57.7225,58.7132,913146
2013-10-15,58.5929,58.5929,57.491,57.7873,841138
2013-10-16,58.5929,58.5929,57.5558,58.0929,1205460
2013-10-17,57.9725,58.8151,57.7966,58.7966,925598
2013-10-18,59.3151,59.5651,58.8799,59.5188,766599
2013-10-21,59.6299,59.8428,58.9632,59.3614,984317
2013-10-22,59.6947,60.0743,59.241,59.5003,865074
2013-10-23,59.1669,59.3429,58.528,59.0003,1217705
2013-10-24,58.9817,59.3521,58.5558,58.7873,1966306
2013-10-25,61.6577,66.1947,60.9447,65.9447,4119593
2013-10-28,66.0559,66.1577,64.1299,64.6114,2268624
2013-10-29,64.741,65.6207,64.5836,65.491,1291555
