date,open,high,low,close,volume
2013-08-07,20.5183,20.6285,20.4124,20.6285,27965027
2013-08-08,20.7387,20.798,20.5268,20.62,22372476
2013-08-09,20.6285,20.7133,20.5183,20.5522,20763750
2013-08-12,20.459,20.5946,20.3912,20.5692,27365889
2013-08-13,20.5946,20.5946,20.4251,20.5099,28533713
2013-08-14,20.5099,20.5861,20.3827,20.3997,27987906
2013-08-15,20.3149,20.5607,20.2726,20.3404,39962617
2013-08-16,20.2387,20.3827,20.2217,20.298,36316557
2013-08-19,20.2556,20.3065,20.137,20.2132,32193865
2013-08-20,20.1454,20.2132,20.0268,20.1031,30446599
2013-08-21,20.1031,20.1624,19.9675,20.0098,31841702
2013-08-22,20.0522,20.1709,20.0098,20.1539,31032993
2013-08-23,20.1963,20.2132,20.0353,20.1539,20689585
2013-08-26,20.12,20.1624,19.9675,20.0098,25863585
2013-08-27,19.798,19.8234,19.5861,19.6454,51387293
2013-08-28,19.6285,19.8319,19.6285,19.6623,28862606
2013-08-29,19.6285,19.7471,19.5734,19.5861,22104575
2013-08-30,19.8658,19.9166,19.5267,19.6115,46268666
2013-09-03,19.7556,19.8742,19.425,19.5437,52050234
2013-09-04,19.4844,19.6454,19.4589,19.6369,31616824
2013-09-05,19.781,19.7895,19.5711,19.6285,30300761
2013-09-06,19.62,19.8149,19.4598,19.6285,36732273
2013-09-09,19.7047,19.8827,19.6454,19.8234,28179656
2013-09-10,20.0607,20.2895,20.0166,20.2302,35719052
2013-09-11,20.298,20.4166,20.1031,20.4166,34603826
2013-09-12,20.476,20.5099,20.1454,20.2132,30679556
2013-09-13,20.1497,20.2556,20.1285,20.1539,19071525
2013-09-16,20.3912,20.5353,20.281,20.459,36900464
2013-09-17,20.4505,20.7387,20.4336,20.7217,35753764
2013-09-18,20.7387,21.1116,20.6794,21.0692,51161406
2013-09-19,21.1803,21.2529,20.8386,20.8899,49720043
2013-09-20,20.9667,20.9753,20.497,20.5056,68006645
2013-09-23,20.6678,20.8216,20.6251,20.7362,41414740
2013-09-24,20.6849,20.9582,20.6849,20.7703,32414129
2013-09-25,20.7532,20.907,20.6678,20.6934,29437799
2013-09-26,20.7532,20.9326,20.4629,20.7105,34249065
2013-09-27,20.5824,20.5824,20.4458,20.5397,25677629
2013-09-30,20.3945,20.5653,20.3433,20.4031,35229335
2013-10-01,20.4458,20.6849,20.4116,20.6422,28985235
2013-10-02,20.6166,20.7959,20.5397,20.7789,34205773
2013-10-03,20.6849,20.7105,20.3604,20.5824,37466161
2013-10-04,20.6507,20.6507,20.4116,20.5397,33274615
2013-10-07,20.3604,20.608,20.3262,20.4458,28974564
2013-10-08,20.4287,20.4287,20.2152,20.2152,42610222
2013-10-09,20.3604,20.3604,20.07,20.1298,35095512
2013-10-10,20.4116,20.7105,20.3433,20.7105,38162745
2013-10-11,20.7703,20.9155,20.6678,20.8386,34175109
2013-10-14,20.6764,20.8216,20.6337,20.8216,22023311
2013-10-15,20.7276,20.8771,20.6251,20.6593,28352437
2013-10-16,20.7959,20.8386,20.608,20.8045,30116337
2013-10-17,20.8216,21.0778,20.6934,21.0778,45374889
2013-10-18,21.5304,21.9916,21.4279,21.8208,98515786
2013-10-21,22.0941,22.504,22.0258,22.3247,60783265
2013-10-22,22.3674,22.4101,22.188,22.2222,43281218
2013-10-23,22.1966,22.2051,21.8976,21.9489,39520302
2013-10-24,22.0685,22.2222,21.9233,22.1539,34619086
2013-10-25,22.2649,22.2734,22.0343,22.1026,27358600
2013-10-28,22.1026,22.3418,22.0001,22.282,31486723
2013-10-29,22.3674,22.4613,22.2649,22.3845,38421060
2013-10-30,22.4528,22.615,22.3674,22.5211,39812215
2013-10-31,22.504,22.5809,22.3076,22.3247,42831025
2013-11-01,22.2478,22.7474,22.2307,22.6663,55635425
2013-11-04,22.709,22.709,22.4699,22.5723,28167762
2013-11-05,22.4784,22.6492,22.4272,22.5638,24878895
2013-11-06,22.6065,23.0421,22.5894,22.9737,58645020
2013-11-07,23.0079,23.2214,22.7175,22.7175,59523373
2013-11-08,22.5638,23.1104,22.5467,23.1019,37709323
2013-11-11,23.0762,23.0933,22.9652,23.0677,23837715
2013-11-12,22.9908,23.1787,22.8969,23.1019,37560243
2013-11-13,23.0334,23.1873,22.8456,23.1873,34368845
2013-11-14,23.1873,23.23,22.9396,23.0506,32425183
2013-11-15,23.0677,23.4264,23.0335,23.23,51698463
2013-11-18,23.2983,23.4862,23.1531,23.247,39087309
2013-11-19,23.1702,23.341,22.9866,23.0848,35722019
2013-11-20,23.0506,23.2043,22.9567,23.025,30288795
2013-11-21,23.0762,23.0762,22.8542,22.9823,30369466
2013-11-22,22.9481,23.136,22.9353,23.1275,22050921
2013-11-25,23.1787,23.2043,22.8286,22.8286,32343094
2013-11-26,22.82,23.0122,22.82,22.8713,36555553
2013-11-27,22.914,22.9737,22.8456,22.914,22707733
2013-11-29,22.8456,22.9481,22.7432,22.7688,21405931
2013-12-02,22.7602,22.8328,22.6834,22.7688,34650696
2013-12-03,22.7175,22.7175,22.4955,22.6834,32748678
2013-12-04,22.4955,22.7709,22.3759,22.7517,44947108
2013-12-05,22.7432,22.7517,22.4998,22.5894,28459432
2013-12-06,22.8627,23.0421,22.7859,23.0079,25347275
2013-12-09,22.9994,23.341,22.9567,23.2214,30729948
2013-12-10,23.136,23.3888,23.1189,23.1787,30864694
2013-12-11,23.1531,23.1702,22.6663,22.7005,40161371
2013-12-12,22.6321,22.8029,22.615,22.6663,30960207
2013-12-13,22.709,23.0079,22.6407,22.9225,39833678
2013-12-16,23.0079,23.136,22.9481,23.0421,40160001
2013-12-17,23.1446,23.1787,23.0079,23.0848,36632649
2013-12-18,23.0848,23.4606,22.9225,23.4093,55268819
2013-12-19,23.3921,23.5901,23.0951,23.5212,50749383
2013-12-20,23.4782,23.6504,23.2629,23.5557,78154776
2013-12-23,23.616,23.6676,23.4782,23.5901,29903353
2013-12-24,23.5729,23.8139,23.5557,23.7709,15109682
2013-12-26,23.8312,24.0722,23.7623,23.9603,24768806
2013-12-27,23.9689,24.0549,23.9,23.9603,18992012
2013-12-30,23.9689,24.0895,23.9345,24.012,23839381
2013-12-31,24.0206,24.1842,23.9603,24.1325,30312595
2014-01-02,23.9861,24.055,23.5987,23.6762,41503781
2014-01-03,23.6934,23.7623,23.5987,23.659,27575932
2014-01-06,23.8139,23.8699,23.3749,23.4696,29366264
2014-01-07,23.659,23.6676,23.4265,23.4954,24745856
2014-01-08,23.5471,23.5557,23.349,23.4265,25872072
2014-01-09,23.5298,23.5557,23.1855,23.4351,31319824
2014-01-10,23.4093,23.4437,23.1252,23.2113,38856831
2014-01-13,23.2285,23.3318,22.9702,23.0133,34457965
2014-01-14,23.108,23.2457,23.0219,23.2199,24954330
2014-01-15,23.3749,23.5901,23.2543,23.5384,31886756
2014-01-16,23.4351,23.4782,23.3103,23.4179,32691427
2014-01-17,23.1424,23.1768,22.6258,22.8841,97353043
2014-01-21,23.0133,23.0219,22.4201,22.6344,59981683
2014-01-22,22.6431,22.6517,22.3762,22.3762,48771276
2014-01-23,22.3675,22.3675,21.9801,22.2298,58062966
2014-01-24,22.0146,22.0318,21.4808,21.4808,95835536
2014-01-27,21.7477,21.7735,21.4377,21.5841,60605337
2014-01-28,21.8079,22.0576,21.7821,21.9199,50485045
2014-01-29,21.8165,21.9715,21.6616,21.7735,39649968
2014-01-30,21.9543,22.0318,21.8079,21.9543,30138917
2014-01-31,21.7046,21.851,21.5884,21.6357,40348900
2014-02-03,21.6357,21.7046,20.9384,20.9642,75524630
2014-02-04,21.1192,21.3344,21.0072,21.1536,45872266
2014-02-05,21.0589,21.2139,20.9384,21.1106,40282070
2014-02-06,21.3516,21.6099,21.1967,21.4808,44732148
2014-02-07,21.696,21.7649,21.5238,21.6874,34938473
2014-02-10,21.8596,21.8596,21.4635,21.5669,33039861
2014-02-11,21.7046,21.9715,21.6616,21.894,32660957
