date,open,high,low,close,volume
2013-08-07,55.5882,55.9025,54.7284,55.6714,9420906
2013-08-08,55.9302,56.1891,54.8116,54.8209,8283679
2013-08-09,54.3772,55.6806,54.146,54.7377,5666363
2013-08-12,54.4141,54.673,53.9149,54.4511,6263592
2013-08-13,54.636,54.9595,53.8242,54.4788,4565899
2013-08-14,54.6452,55.0612,53.7485,53.7762,5155199
2013-08-15,53.0367,53.2955,51.7332,52.5929,7345196
2013-08-16,52.4727,53.3665,52.0012,52.6114,7598256
2013-08-19,52.5467,53.7392,52.4635,53.0089,5518008
2013-08-20,52.9812,54.1275,52.9812,53.6191,5353045
2013-08-21,53.3417,55.0426,53.0912,54.2569,10075735
2013-08-22,54.3124,55.4495,54.2662,55.4033,4749484
2013-08-23,55.4588,55.5789,54.978,55.1352,6224248
2013-08-26,55.3016,56.3832,55.0982,55.8563,6618983
2013-08-27,55.2831,55.3108,54.146,54.3032,6125282
2013-08-28,54.3864,56.4294,54.0813,55.8748,8862897
2013-08-29,55.5882,56.6536,55.3848,56.3277,5500127
2013-08-30,56.5404,56.5404,55.431,55.7176,5545431
2013-09-03,56.3,56.9471,55.6991,56.3185,7068665
2013-09-04,56.2076,56.8177,55.8008,56.4942,7264047
2013-09-05,56.5681,56.6698,55.9396,56.4572,4892509
2013-09-06,56.716,56.8362,54.9318,56.5034,8284709
2013-09-09,56.4664,57.9271,56.4664,57.9271,5751197
2013-09-10,58.3893,58.7591,57.7329,58.112,4835046
2013-09-11,58.3523,58.5187,57.4833,58.1767,5462408
2013-09-12,58.2414,58.6944,57.5758,58.4124,4853671
2013-09-13,58.7314,58.8146,57.9779,58.7314,3839784
2013-09-16,59.2398,59.36,57.8522,58.2599,7052772
2013-09-17,58.149,58.5927,57.6497,57.9548,5631420
2013-09-18,58.0842,59.6466,57.8531,59.4247,7916489
2013-09-19,59.739,59.85,58.8331,59.4617,5450493
2013-09-20,59.5449,59.6096,58.981,59.0364,9073833
2013-09-23,58.6389,58.8865,57.622,57.8531,5998763
2013-09-24,57.8993,58.3893,57.6497,58.001,5088850
2013-09-25,57.8993,58.001,57.0488,57.0673,5356777
2013-09-26,57.6405,58.4263,57.3632,58.0565,4673028
2013-09-27,57.6497,59.1012,57.4556,58.7406,5632358
2013-09-30,57.4557,58.8884,57.3169,58.1212,7892501
2013-10-01,58.2599,58.5742,57.5943,58.0565,6772972
2013-10-02,57.6682,57.9548,57.2245,57.6867,5045805
2013-10-03,57.585,57.9641,56.7345,57.0488,6714998
2013-10-04,56.9749,58.2969,56.9749,58.2784,6351233
2013-10-07,57.4556,57.8254,57.0026,57.1043,8070604
2013-10-08,57.169,57.206,54.8209,54.8948,9735014
2013-10-09,55.2923,55.6899,54.3679,54.4511,15301607
2013-10-10,56.9749,58.0565,56.5311,58.001,15240296
2013-10-11,58.1859,58.6851,57.6682,57.9548,8092446
2013-10-14,57.7468,59.0549,57.1413,59.0457,8669408
2013-10-15,58.6574,59.8361,58.6389,58.7961,8005591
2013-10-16,59.2213,60.7744,59.0272,60.6912,8336732
2013-10-17,60.7375,62.2906,60.3307,62.2721,7651900
2013-10-18,62.1889,63.2797,61.4678,63.0579,15446765
2013-10-21,62.9654,63.1873,61.5972,61.93,9685594
2013-10-22,61.9485,63.0948,61.6065,62.9469,6875502
2013-10-23,63.289,64.1118,62.8915,63.7974,9771675
2013-10-24,64.195,64.8375,63.743,64.5555,10481008
2013-10-25,64.8236,64.99,63.0486,64.4168,9467636
2013-10-28,64.7127,65.0824,63.4277,63.5395,7013251
2013-10-29,63.5941,64.3059,63.0764,64.2504,6265855
2013-10-30,66.4599,67.671,66.0346,67.181,16640223
