date,open,high,low,close,volume
2013-08-07,24.127,24.127,23.6937,23.7584,1092300
2013-08-08,23.878,24.0622,23.7734,23.878,1177006
2013-08-09,23.853,23.99,23.7385,23.7734,544672
2013-08-12,23.7086,23.8979,23.6339,23.7186,637360
2013-08-13,23.9178,23.9676,23.5592,23.7285,1275670
2013-08-14,23.3548,23.9129,23.3249,23.9129,1978446
2013-08-15,23.6488,23.8033,23.6139,23.7784,1317166
2013-08-16,23.7534,23.9229,23.7036,23.9079,1159248
2013-08-19,23.878,23.9926,23.7734,23.878,1500628
2013-08-20,23.8481,24.1596,23.6887,24.1023,1199704
2013-08-21,24.0175,24.2218,23.9179,24.1072,1012726
2013-08-22,24.0923,24.4112,24.0923,24.3614,519896
2013-08-23,24.4112,24.4162,24.2218,24.3962,754016
2013-08-26,24.4162,24.5956,24.3414,24.4212,980176
2013-08-27,24.2418,24.2941,23.883,23.9179,673536
2013-08-28,23.873,24.0674,23.8033,23.9976,537978
2013-08-29,23.9029,24.0375,23.8382,23.9428,1012470
2013-08-30,23.9677,23.9677,23.6937,23.7435,880122
2013-09-03,23.9478,23.9577,23.594,23.8431,3013860
2013-09-04,23.873,24.0026,23.8581,23.893,573724
2013-09-05,23.8431,23.946,23.7734,23.8083,912162
2013-09-06,23.9328,24.187,23.7584,24.0524,760714
2013-09-09,24.162,24.5109,24.162,24.4261,738096
2013-09-10,24.5657,24.6703,24.5109,24.5557,746370
2013-09-11,24.5607,24.765,24.5109,24.7351,631284
2013-09-12,24.745,24.8796,24.5806,24.6005,516090
2013-09-13,24.7052,24.7052,24.4411,24.6105,597360
2013-09-16,24.8048,25.049,24.7426,24.8746,1064418
2013-09-17,24.8746,25.0042,24.77,24.8796,947300
2013-09-18,24.7999,25.039,24.7052,25.0091,935060
2013-09-19,25.0689,25.1237,24.8646,24.8746,698844
2013-09-20,25.0091,25.1038,24.75,24.9045,1841364
2013-09-23,24.9045,24.9693,24.6304,24.6753,910452
2013-09-24,24.7899,24.9892,24.6005,24.7151,711914
2013-09-25,24.77,25.059,24.6703,24.8846,1045806
2013-09-26,24.9493,25.1761,24.8796,25.1237,960286
2013-09-27,25.1237,25.2882,24.9344,25.1586,1667406
2013-09-30,25.0889,25.637,24.9743,25.4526,2399738
2013-10-01,25.3629,25.637,25.1586,25.2633,4111118
2013-10-02,27.0372,28.6118,26.9076,28.1484,16312628
2013-10-03,28.1484,28.4573,27.8045,28.4125,3878406
2013-10-04,28.3726,28.4523,28.1484,28.3676,1867530
2013-10-07,27.8793,28.1185,27.2863,27.3212,2888440
2013-10-08,27.371,27.5703,26.5239,26.7781,2663852
2013-10-09,27.1717,27.1916,26.8329,27.0571,2291948
2013-10-10,27.3063,27.67,27.2764,27.4956,1579812
2013-10-11,27.5654,27.7149,27.381,27.5305,979754
2013-10-14,27.3511,27.6501,27.2774,27.6501,1089826
2013-10-15,27.5654,27.6401,27.4072,27.5803,1495438
2013-10-16,27.7647,28.1035,27.6949,28.0886,1847748
2013-10-17,28.0537,28.0711,27.7846,27.8793,1030198
2013-10-18,28.0487,28.3527,27.9366,28.3228,1354398
2013-10-21,28.3726,28.7737,28.3078,28.7114,1376580
2013-10-22,28.8509,29.5087,28.8011,29.4937,2886968
2013-10-23,29.2845,29.4987,29.125,29.3791,2143512
2013-10-24,29.5037,29.7728,29.2446,29.718,2306452
2013-10-25,29.6881,29.7578,29.3393,29.7479,1818776
2013-10-28,29.7827,29.9223,29.5486,29.8027,1587758
2013-10-29,29.9173,30.0219,29.6034,29.9073,2394734
2013-10-30,29.8575,30.0369,29.6233,29.7927,1289308
2013-10-31,29.6931,29.8425,29.5162,29.6382,1585812
2013-11-01,29.698,29.8226,29.4813,29.7479,1206178
2013-11-04,29.9023,29.9771,29.7827,29.9173,1155854
2013-11-05,29.7479,30.0269,29.5486,29.8027,1447638
2013-11-06,29.8675,30.1864,29.8475,30.1565,1175636
2013-11-07,30.2362,30.281,29.8555,29.8724,1773566
2013-11-08,29.8824,30.3159,29.7977,30.306,1007046
2013-11-11,30.2163,30.5352,30.1066,30.4206,697684
2013-11-12,30.3558,30.6548,30.2785,30.6249,1063872
2013-11-13,30.5152,31.0585,30.3562,31.0535,1646620
2013-11-14,31.3725,31.4473,31.0136,31.4224,2273092
2013-11-15,31.4024,31.6616,31.2644,31.6467,904600
2013-11-18,31.8411,32.1052,31.5968,31.7563,1463296
2013-11-19,31.7563,31.871,31.4523,31.6118,1528810
2013-11-20,31.6417,31.8112,31.2728,31.3077,1009750
2013-11-21,31.4224,31.7663,31.3376,31.6566,900280
2013-11-22,31.7314,31.7962,31.3825,31.4024,992488
2013-11-25,31.532,31.7788,31.3875,31.6716,1551866
2013-11-26,31.8012,31.8436,31.6168,31.6367,970928
2013-11-27,31.6517,31.6616,31.2255,31.4124,1629420
2013-11-29,31.4024,31.6841,31.3576,31.4274,428324
2013-12-02,31.4622,31.6666,31.203,31.2379,1185336
