date,open,high,low,close,volume
2013-08-07,7.6082,7.6347,7.4843,7.5374,6944430
2013-08-08,7.6259,7.6612,7.5197,7.6082,8360001
2013-08-09,7.5993,7.6347,7.5374,7.5639,8651606
2013-08-12,7.5286,7.6347,7.5197,7.5993,6622965
2013-08-13,7.5905,7.617,7.4932,7.5993,5942974
2013-08-14,7.5728,7.6612,7.5728,7.617,7866838
2013-08-15,7.5462,7.6082,7.4401,7.4932,7845211
2013-08-16,7.5109,7.6082,7.4843,7.5728,8324472
2013-08-19,7.5109,7.5728,7.4401,7.4755,8557999
2013-08-20,7.4578,7.6082,7.4489,7.5816,6995926
2013-08-21,7.5728,7.5993,7.4755,7.502,7231771
2013-08-22,7.5109,7.6966,7.5109,7.6259,6809378
2013-08-23,7.6789,7.6789,7.5639,7.6082,4856022
2013-08-26,7.5905,7.6126,7.4755,7.4755,5985806
2013-08-27,7.3958,7.4312,7.2012,7.2366,12061724
2013-08-28,7.2631,7.3428,7.2101,7.2631,10951841
2013-08-29,7.2543,7.3516,7.2366,7.3074,8081527
2013-08-30,7.3428,7.3428,7.2499,7.2897,6340582
2013-09-03,7.3693,7.4755,7.2455,7.2897,8365543
2013-09-04,7.2985,7.4224,7.2455,7.4224,9762496
2013-09-05,7.4047,7.5197,7.4047,7.4932,10048513
2013-09-06,7.5551,7.5551,7.3693,7.5374,21305210
2013-09-09,7.5641,7.6353,7.4841,7.6309,13302113
2013-09-10,7.6976,7.7599,7.6264,7.751,15560261
2013-09-11,7.7332,7.7777,7.5997,7.662,12195063
2013-09-12,7.6709,7.7154,7.5463,7.573,7592880
2013-09-13,7.5285,7.5997,7.5196,7.5819,8462773
2013-09-16,7.6531,7.662,7.5819,7.5997,7404244
2013-09-17,7.6264,7.7154,7.5819,7.7065,9325188
2013-09-18,7.7154,7.7688,7.6175,7.6175,13384676
2013-09-19,7.6264,7.6531,7.404,7.4138,16297458
2013-09-20,7.404,7.493,7.3862,7.4574,13294182
2013-09-23,7.4574,7.4574,7.3061,7.3239,8451407
2013-09-24,7.315,7.4129,7.2883,7.3506,8299610
2013-09-25,7.3506,7.4574,7.2972,7.4387,8644575
2013-09-26,7.4307,7.4752,7.3328,7.3595,6150140
2013-09-27,7.3239,7.404,7.2972,7.3239,6262357
2013-09-30,7.2349,7.3773,7.2082,7.3506,7884665
2013-10-01,7.3862,7.4663,7.3595,7.4307,7864104
2013-10-02,7.3862,7.4574,7.3506,7.4262,8633392
2013-10-03,7.3862,7.4307,7.3506,7.3951,10374476
2013-10-04,7.3951,7.5374,7.3951,7.5196,5597021
2013-10-07,7.4307,7.493,7.3506,7.3506,7976416
2013-10-08,7.3684,7.3951,7.1904,7.1948,9876726
2013-10-09,7.1904,7.2527,7.1548,7.226,16739449
2013-10-10,7.3239,7.4752,7.315,7.4529,12802589
2013-10-11,7.4574,7.5552,7.3595,7.5419,8204823
2013-10-14,7.5019,7.6086,7.4752,7.5997,5938262
2013-10-15,7.5908,7.6131,7.4752,7.4841,7315232
2013-10-16,7.5463,7.7065,7.493,7.6487,14650394
2013-10-17,7.7154,7.9201,7.5641,7.9023,19339992
2013-10-18,7.9557,8.0536,7.8044,7.9201,25049745
2013-10-21,7.9379,7.9824,7.8667,7.9023,9196709
2013-10-22,7.9023,7.9646,7.8578,7.9201,7582100
2013-10-23,7.8934,7.9468,7.8489,7.8578,6873195
2013-10-24,7.8934,7.9824,7.8578,7.9601,8362237
2013-10-25,7.9735,8.0536,7.9379,7.9468,12258331
2013-10-28,7.9468,8.0447,7.929,8.0002,8009573
2013-10-29,8.0625,8.0625,7.9646,8.0002,5009107
2013-10-30,8.0091,8.0269,7.9201,7.9379,8703817
2013-10-31,7.9468,7.9646,7.8311,7.8311,9794381
2013-11-01,7.9023,7.9023,7.8222,7.8712,10457396
2013-11-04,7.8667,7.9023,7.8044,7.8133,8081635
2013-11-05,7.7866,7.8578,7.7377,7.7866,8088077
2013-11-06,7.8133,7.9246,7.7777,7.8756,10515597
2013-11-07,7.9023,7.9468,7.751,7.751,7896737
2013-11-08,7.6976,8.0269,7.6843,8.0269,14150865
2013-11-11,8.0269,8.0269,7.8756,7.9201,9148420
2013-11-12,7.929,7.9557,7.7688,7.84,9048714
2013-11-13,7.8133,7.9557,7.7288,7.9468,10201177
2013-11-14,7.9824,8.0091,7.9112,8.0091,6092193
2013-11-15,8.0447,8.0447,7.9468,7.9735,8646514
2013-11-18,8.0091,8.0358,7.9112,7.9201,6887204
2013-11-19,7.8934,7.9557,7.8578,7.8934,12108945
2013-11-20,7.929,7.9468,7.7955,7.8489,13229158
2013-11-21,7.8845,8.018,7.8623,7.9868,6255909
2013-11-22,7.9913,8.1337,7.9468,8.1337,8867214
2013-11-25,8.1604,8.2227,8.1159,8.1515,6123360
2013-11-26,8.1426,8.1693,8.107,8.1248,4626814
2013-11-27,8.1337,8.2316,8.107,8.2227,9696563
2013-11-29,8.1871,8.2227,8.1159,8.1604,3430804
2013-12-02,8.1604,8.2494,8.0981,8.107,7711603
2013-12-03,8.0981,8.1247,7.9379,8.018,12810485
2013-12-04,7.9735,8.1337,7.9468,8.1159,13513908
2013-12-05,8.1159,8.1604,8.0091,8.018,8317562
2013-12-06,8.1159,8.2227,8.0981,8.2227,10959743
2013-12-09,8.2405,8.3028,8.2227,8.2761,11708226
2013-12-10,8.2761,8.4362,8.2316,8.4006,18720804
2013-12-11,8.4362,8.4451,8.2672,8.2761,10157349
2013-12-12,8.2583,8.4184,8.2494,8.3918,12030035
2013-12-13,8.3918,8.4006,8.2672,8.3295,6803500
2013-12-16,8.3918,8.5074,8.3651,8.4585,7882297
2013-12-17,8.4809,8.4809,8.3377,8.4003,7434102
2013-12-18,8.4451,8.5345,8.2796,8.5166,10365999
2013-12-19,8.4987,8.5703,8.454,8.5435,6164081
2013-12-20,8.615,8.615,8.5077,8.5524,10784478
2013-12-23,8.6061,8.6329,8.5435,8.615,5185512
2013-12-24,8.5793,8.6777,8.5793,8.6419,2230577
2013-12-26,8.6777,8.7045,8.624,8.6329,5579603
2013-12-27,8.6329,8.6419,8.5882,8.5972,3418942
2013-12-30,8.5972,8.624,8.5524,8.5703,3452064
2013-12-31,8.5703,8.6598,8.5703,8.6329,4262576
2014-01-02,8.5882,8.6419,8.5256,8.5345,7039144
2014-01-03,8.5793,8.6598,8.5703,8.5882,6096687
2014-01-06,8.6329,8.7671,8.5703,8.5703,9729579
2014-01-07,8.6061,8.7671,8.6061,8.6956,11770309
2014-01-08,8.7224,8.7582,8.6598,8.7224,9013707
2014-01-09,8.7671,8.8297,8.7045,8.7403,10238262
2014-01-10,8.7135,8.7761,8.6598,8.7582,9663011
2014-01-13,8.7671,8.794,8.624,8.6508,6751368
2014-01-14,8.6598,8.7492,8.615,8.7403,8115710
2014-01-15,8.7671,8.8655,8.7045,8.8566,13933188
2014-01-16,8.624,8.6777,8.4361,8.615,23518248
2014-01-17,8.6598,8.6956,8.5166,8.615,11801922
2014-01-21,8.6687,8.8297,8.6419,8.8297,10448449
2014-01-22,8.8208,8.8655,8.7492,8.8476,7915103
2014-01-23,8.8119,8.8119,8.6508,8.7224,9554757
2014-01-24,8.6508,8.6687,8.4272,8.4272,9839900
2014-01-27,8.4361,8.5077,8.3019,8.3556,10298444
2014-01-28,8.3824,8.4451,8.3422,8.3646,9215922
2014-01-29,8.3109,8.4316,8.2125,8.2304,16892471
2014-01-30,8.293,8.3288,8.1677,8.284,14176410
2014-01-31,8.1767,8.2304,8.1141,8.1141,11001093
2014-02-03,8.0693,8.1141,7.7473,7.801,31464969
2014-02-04,7.8188,8.0157,7.8099,7.9262,16996408
2014-02-05,7.8546,7.9799,7.8278,7.9083,13264637
2014-02-06,7.9173,8.0962,7.8994,8.0783,11272532
2014-02-07,8.132,8.1991,8.0157,8.0783,10834562
2014-02-10,8.0604,8.123,7.9978,8.0783,7357501
2014-02-11,8.0872,8.1856,8.0604,8.1677,5733705
2014-02-12,8.1767,8.293,8.1346,8.1588,7096706
2014-02-13,8.123,8.1588,8.0514,8.132,6460692
2014-02-14,8.132,8.2304,8.1096,8.1588,4534636
2014-02-18,8.1588,8.1856,8.0962,8.1051,9713058
2014-02-19,8.0514,8.0962,7.8904,7.9173,11171614
2014-02-20,7.9173,8.047,7.8457,8.0067,12283568
2014-02-21,8.0246,8.1856,8.0201,8.1499,10825280
2014-02-24,8.1409,8.3467,8.132,8.293,11593152
2014-02-25,8.284,8.3377,8.2304,8.3109,8380943
2014-02-26,8.3556,8.4093,8.2661,8.3646,9565335
2014-02-27,8.3735,8.4809,8.3288,8.4272,10420481
2014-02-28,8.4272,8.5793,8.4272,8.5256,10610365
2014-03-03,8.4987,8.5614,8.4451,8.5166,11803136
2014-03-04,8.615,8.6777,8.5793,8.6687,8564842
2014-03-05,8.6687,8.7045,8.5882,8.6329,9245813
2014-03-06,8.6598,8.7313,8.6329,8.6777,10814402
2014-03-07,8.6866,8.8655,8.6508,8.7671,13465570
2014-03-10,8.7582,8.8119,8.6956,8.7671,7253133
2014-03-11,8.785,8.8029,8.6419,8.6866,6946767
2014-03-12,8.6687,8.671,8.5703,8.6687,8656815
2014-03-13,8.7045,8.7313,8.5524,8.5972,8285281
2014-03-14,8.5882,8.7141,8.5792,8.6061,8564574
2014-03-17,8.6871,8.732,8.6421,8.6781,6632110
2014-03-18,8.7051,8.795,8.6781,8.768,5770446
2014-03-19,8.732,8.8669,8.6961,8.813,7724334
2014-03-20,8.75,9.0648,8.75,9.0018,13705266
2014-03-21,9.0018,9.0918,8.8669,8.8939,14938892
2014-03-24,8.9389,8.9659,8.831,8.9029,7060230
2014-03-25,8.9299,8.9749,8.849,8.9569,9033162
2014-03-26,9.0108,9.0513,8.8669,8.8849,12531582
2014-03-27,8.9119,9.0108,8.7051,8.731,11010759
2014-03-28,8.75,8.9074,8.7275,8.8669,9027430
2014-03-31,8.9029,9.0018,8.8849,8.9659,5255040
2014-04-01,9.0108,9.1637,8.9659,9.1367,11500079
2014-04-02,9.1817,9.2087,9.0558,9.1097,8433054
2014-04-03,9.1367,9.1817,9.0648,9.1727,5272684
2014-04-04,9.2177,9.2536,9.0063,9.0468,9989303
2014-04-07,9.0108,9.0288,8.813,8.8849,8416057
2014-04-08,8.8759,8.9659,8.822,8.9029,7772326
2014-04-09,8.9209,8.9569,8.804,8.8759,8046671
2014-04-10,8.849,8.893,8.4443,8.4713,23297411
2014-04-11,8.3723,8.5612,8.1835,8.4623,18919610
2014-04-14,8.5702,8.6106,8.3364,8.4263,9296303
2014-04-15,8.4623,8.5927,8.3274,8.5162,13231073
2014-04-16,8.5522,8.5882,8.2464,8.3723,20779553
2014-04-17,8.1835,8.3274,8.1115,8.2824,27894028
2014-04-21,8.3004,8.3768,8.2329,8.3094,7625324
2014-04-22,8.2914,8.4713,8.2464,8.4263,9516789
2014-04-23,8.4083,8.5072,8.3633,8.4982,7812797
2014-04-24,8.5162,8.5162,8.3633,8.3903,10052759
2014-04-25,8.3993,8.3993,8.2374,8.2419,11029028
2014-04-28,8.3094,8.3094,8.0936,8.1565,18352053
2014-04-29,8.2284,8.2376,8.0846,8.1385,22319894
2014-04-30,8.1025,8.2734,8.1025,8.2374,11595473
2014-05-01,8.2554,8.2824,8.1385,8.1655,9492557
2014-05-02,8.1835,8.3633,8.1655,8.2195,8506244
2014-05-05,8.2374,8.2554,8.1025,8.1925,6987896
2014-05-06,8.1295,8.1925,8.0936,8.1115,9044861
2014-05-07,8.1385,8.2374,8.0936,8.2284,10477086
2014-05-08,8.1925,8.3543,8.1835,8.2734,13286978
2014-05-09,8.2644,8.3184,8.1745,8.3094,10450204
2014-05-12,8.3274,8.4713,8.3094,8.4713,8896559
2014-05-13,8.4892,8.5162,8.4173,8.4263,7423614
2014-05-14,8.3993,8.4218,8.2374,8.2374,6905558
2014-05-15,8.1835,8.2015,7.9946,8.1295,11553285
2014-05-16,8.1295,8.152,8.0216,8.0936,9208026
2014-05-19,8.0306,8.2015,8.0216,8.2015,6563647
2014-05-20,8.1745,8.1834,8.0396,8.1115,9931479
2014-05-21,8.1745,8.2284,8.1295,8.1835,5571344
2014-05-22,8.2105,8.2195,8.1115,8.1475,8721932
2014-05-23,8.1295,8.2105,8.1205,8.1835,5803791
2014-05-27,8.2284,8.3184,8.1925,8.2464,8805260
2014-05-28,8.2464,8.4083,8.1925,8.2824,9315583
2014-05-29,8.3094,8.3184,8.215,8.3139,9149087
2014-05-30,8.2914,8.3813,8.2914,8.3364,5962068
2014-06-02,8.3454,8.4263,8.2824,8.4173,5490849
2014-06-03,8.3723,8.5162,8.3543,8.4263,6359674
2014-06-04,8.4083,8.4982,8.3993,8.4713,7502642
2014-06-05,8.4443,8.5792,8.4173,8.5612,6084858
2014-06-06,8.5882,8.6331,8.5477,8.5972,5998911
2014-06-09,8.6241,8.741,8.5972,8.741,6237348
2014-06-10,8.732,8.741,8.6421,8.732,5254057
2014-06-11,8.6781,8.6961,8.5522,8.5702,13723468
2014-06-12,8.5972,8.6241,8.4802,8.5252,7067124
2014-06-13,8.5433,8.6427,8.4981,8.5343,10214309
2014-06-16,8.5162,8.5433,8.4529,8.48,7095749
2014-06-17,8.4529,8.6789,8.4529,8.5704,13582374
2014-06-18,8.6066,8.6789,8.5704,8.6337,8966930
2014-06-19,8.6699,8.6789,8.5614,8.6337,5535165
2014-06-20,8.6518,8.7512,8.6518,8.697,8547191
2014-06-23,8.6789,8.7512,8.6518,8.7331,7891523
2014-06-24,8.6789,8.7874,8.6156,8.6337,5626049
2014-06-25,8.5885,8.6834,8.4981,8.6518,6702905
2014-06-26,8.6337,8.6879,8.5162,8.6608,5751437
2014-06-27,8.6247,8.6789,8.5885,8.6427,6577900
2014-06-30,8.6518,8.6789,8.5975,8.6247,4461592
2014-07-01,8.6427,8.7964,8.6337,8.7151,6797431
2014-07-02,8.7151,8.7874,8.6518,8.6699,5374528
2014-07-03,8.7241,8.7874,8.697,8.7693,3903341
2014-07-07,8.7512,8.7964,8.7151,8.7331,5195529
2014-07-08,8.7241,8.7331,8.5795,8.6699,8333439
