date,open,high,low,close,volume
2013-08-07,67.0451,67.9263,66.4393,67.5224,2475063
2013-08-08,68.2292,68.6882,67.394,68.2568,1893822
2013-08-09,69.3399,69.4317,68.2568,68.7433,3408709
2013-08-12,68.3761,69.138,68.2476,68.9636,2602063
2013-08-13,68.9911,69.2573,68.4771,69.037,2115820
2013-08-14,69.395,69.6887,69.0003,69.2757,1940484
2013-08-15,68.5321,69.1196,68.2384,69.0554,2677407
2013-08-16,68.7249,69.2848,68.3761,68.9085,3008596
2013-08-19,68.6056,69.138,67.2654,67.2746,2343728
2013-08-20,67.6509,68.3577,66.8707,67.6693,2493989
2013-08-21,67.5408,67.9722,66.6596,67.0359,2285835
2013-08-22,67.4031,68.7708,67.4031,68.3944,1754455
2013-08-23,68.5597,69.551,68.2568,69.4501,1626960
2013-08-26,69.5327,70.11,69.0186,69.2206,2423235
2013-08-27,68.4862,70.111,68.4862,69.2573,2609376
2013-08-28,69.652,70.7259,69.496,70.2028,2550455
2013-08-29,69.8448,69.8998,69.0003,69.5969,1922968
2013-08-30,69.6153,69.8998,68.6698,68.7065,3033304
2013-09-03,69.6887,70.1752,69.1655,69.753,1865289
2013-09-04,69.5694,70.4231,69.3674,69.8998,2919171
2013-09-05,70.0192,70.7122,69.9366,70.2487,2543348
2013-09-06,70.4965,71.7816,70.0008,70.9555,2537866
2013-09-09,71.478,72.141,71.4043,72.1318,2161292
2013-09-10,72.1042,72.1226,70.9255,71.6345,2793062
2013-09-11,71.7082,72.0673,70.8886,71.92,2602239
2013-09-12,71.5517,72.0581,71.0176,71.1373,3026671
2013-09-13,71.036,71.8648,71.036,71.5701,2085857
2013-09-16,72.1686,72.3528,71.3214,71.7543,2530931
2013-09-17,71.7082,72.0305,71.3859,71.6345,2968671
2013-09-18,71.3675,73.2092,71.0912,72.9514,2615338
2013-09-19,73.1632,73.992,73.1632,73.3381,2646392
2013-09-20,73.3381,74.0472,71.9845,72.4081,4256386
2013-09-23,72.1871,72.6107,71.3767,72.316,2324723
2013-09-24,72.3712,73.0711,72.0121,72.2976,2858847
2013-09-25,72.4817,73.0435,72.3436,72.4909,1740419
2013-09-26,72.804,73.0711,71.92,72.5554,1328485
2013-09-27,71.8555,72.4449,71.7174,72.1318,1184403
2013-09-30,71.3767,71.6437,70.5571,71.2201,1899548
2013-10-01,70.8794,72.6659,70.7505,72.4633,2178954
2013-10-02,72.0673,74.0012,72.0673,73.6328,2428501
2013-10-03,73.6144,74.701,73.2461,73.5684,3755559
2013-10-04,73.4579,74.2314,73.4487,73.7986,3172963
2013-10-07,73.2461,74.0656,72.9974,73.2461,2416216
2013-10-08,73.0803,73.9828,72.3252,72.537,2603508
2013-10-09,71.9476,72.8777,71.7819,72.316,2850812
2013-10-10,74.6274,74.8023,73.2369,74.3972,3704111
2013-10-11,73.8999,74.9589,73.6052,74.6826,3735979
2013-10-14,74.1577,75.0786,73.992,74.876,3135528
2013-10-15,73.9275,75.1799,73.9275,74.4156,3646286
2013-10-16,74.8852,75.9166,74.8852,75.7969,3995893
2013-10-17,74.9313,76.0547,74.9313,75.8705,2791001
2013-10-18,76.3126,77.4176,76.2573,77.4084,3568181
2013-10-21,77.4268,78.1359,77.0677,77.3531,3130047
2013-10-22,77.8412,78.4121,76.7362,76.948,4171927
2013-10-23,76.4323,76.4507,74.6458,75.4377,4200726
2013-10-24,75.7692,76.7362,75.272,76.5152,1883491
2013-10-25,76.819,77.1506,75.9074,76.6165,1548562
2013-10-28,76.7362,77.0124,76.1459,76.5796,2044345
2013-10-29,76.7085,77.169,76.4369,76.8927,1497659
2013-10-30,75.6587,76.1284,73.6328,73.9643,6151877
2013-10-31,74.434,75.4562,73.6512,74.7747,3306715
2013-11-01,74.7931,75.0418,73.7065,74.5261,3550418
2013-11-04,74.701,75.4663,74.609,75.2628,2202535
2013-11-05,74.9128,75.1523,74.0104,74.1209,2905995
2013-11-06,74.609,76.0271,74.1761,74.5905,3072592
2013-11-07,74.6182,74.9515,72.4541,72.5462,3303326
2013-11-08,72.6751,73.9736,72.6429,73.9459,2156651
2013-11-11,74.0196,74.8115,73.8446,74.4708,2127334
2013-11-12,74.5445,74.9036,73.4118,73.6144,2233675
2013-11-13,73.0895,74.48,73.0803,74.3879,1978151
2013-11-14,74.3695,75.3272,74.1209,75.2351,2215496
2013-11-15,75.4193,76.3034,75.0694,76.3034,3378353
2013-11-18,76.5704,76.727,75.1338,75.4285,2078086
2013-11-19,75.2812,75.76,74.5261,75.4101,1814758
2013-11-20,75.4193,76.2021,74.5813,74.876,1631525
2013-11-21,75.0049,75.958,74.7287,75.8153,1915794
2013-11-22,76.1192,76.7546,75.1431,76.7362,2224689
2013-11-25,75.714,76.6901,75.2351,76.0916,2001183
2013-11-26,76.2665,77.6578,75.6956,76.994,2394738
2013-11-27,76.9295,76.9295,74.6734,75.0326,2483964
2013-11-29,75.1615,75.981,74.6826,74.7102,1352494
2013-12-02,74.5997,75.1431,73.9736,74.5077,1959035
2013-12-03,74.2498,75.0878,73.8999,74.7287,3157327
2013-12-04,74.5721,76.11,74.5721,75.7048,2304512
2013-12-05,75.3549,75.8613,74.9589,75.0233,2106644
2013-12-06,75.9074,76.2389,74.0933,74.4616,2295565
2013-12-09,74.5077,74.7839,73.6881,74.1393,2083015
2013-12-10,74.2222,74.8668,73.2829,73.6144,2505541
2013-12-11,73.3658,73.5499,72.5738,72.6935,2470226
2013-12-12,72.6935,73.1448,71.7174,72.3436,2650006
2013-12-13,72.5191,73.2582,72.436,72.9348,2665700
2013-12-16,72.0572,73.6554,71.6138,73.3044,2789980
2013-12-17,74.9672,74.9949,72.9348,73.4522,3310458
2013-12-18,73.5353,74.7363,72.6762,74.6716,2749716
2013-12-19,74.2928,74.9025,74.0342,74.4037,2118172
2013-12-20,74.533,75.2166,74.0526,74.0619,3826528
2013-12-23,74.57,75.1982,74.0342,74.1081,2309002
2013-12-24,74.1358,75.0688,73.9233,74.958,1036126
2013-12-26,75.0873,76.5377,74.9764,76.3067,1548590
2013-12-27,76.4638,77.0365,76.0019,76.7409,1333525
2013-12-30,76.7409,77.1751,76.2975,76.316,1471358
2013-12-31,76.5839,76.9442,76.1635,76.6763,1489276
2014-01-02,76.6301,76.6763,74.5376,74.9395,2755967
2014-01-03,74.6993,75.4938,73.8771,74.1635,1922679
2014-01-06,73.4706,73.988,72.9718,73.8309,2680797
2014-01-07,73.8864,75.0411,73.8309,74.6993,2034396
2014-01-08,75.3922,75.5584,74.4406,75.4661,3145278
2014-01-09,75.6324,75.9003,74.6993,75.1427,2864205
2014-01-10,74.9303,75.2536,74.3667,74.7363,2363355
2014-01-13,74.5977,74.9303,72.7224,72.8609,2913171
2014-01-14,72.9071,73.6462,72.9071,73.4706,1817104
2014-01-15,72.6762,73.1473,71.7339,71.7524,5404808
2014-01-16,71.817,72.0849,71.2904,71.7985,3237933
2014-01-17,71.7985,72.3066,71.1611,71.2535,2650533
2014-01-21,71.8724,72.1311,71.3551,71.9833,2222632
2014-01-22,72.1958,72.6946,71.7989,72.1681,1893913
2014-01-23,71.8447,72.1126,71.0964,71.5029,1832907
2014-01-24,70.7084,71.1703,69.7662,70.4405,2682592
2014-01-27,70.3389,70.7454,69.4151,69.8216,1909013
2014-01-28,70.108,71.3089,69.9786,70.9486,2504426
2014-01-29,69.9971,72.8424,69.8216,71.1888,3896883
2014-01-30,70.8008,71.3551,70.2281,70.6992,3004571
2014-01-31,69.6553,70.4683,69.1749,69.7384,2722705
2014-02-03,69.7015,69.72,67.7707,68.2881,4349670
2014-02-04,68.4728,69.3966,67.9647,69.0641,4269914
2014-02-05,68.6761,69.3504,68.1689,68.9717,3079089
2014-02-06,69.3135,70.6253,69.1472,70.496,2082226
2014-02-07,70.8101,71.3274,70.3482,71.2997,2884753
2014-02-10,71.3736,71.4752,70.7731,71.1242,2377588
2014-02-11,71.1334,72.6762,71.1334,72.2882,2484227
2014-02-12,72.7224,72.7501,72.0119,72.0849,2310699
2014-02-13,71.6784,73.3228,71.466,72.6762,2337597
2014-02-14,72.8147,73.9048,72.6392,73.4429,3261484
2014-02-18,73.7478,74.5977,73.6508,74.3298,3585110
2014-02-19,74.0434,75.1243,74.0249,74.5607,2883859
2014-02-20,74.6162,75.7063,74.3667,75.3922,3536887
2014-02-21,75.5123,75.6416,74.6162,74.9857,2753721
2014-02-24,75.4199,76.1959,75.2351,75.2444,3576466
2014-02-25,75.4291,75.4291,73.8494,74.182,4361839
2014-02-26,73.988,74.2744,73.1011,73.2766,4147369
2014-02-27,73.2582,73.5907,73.0004,73.4429,2803260
2014-02-28,73.6277,74.3113,72.8055,73.9325,2632693
2014-03-03,73.4244,74.4868,73.2582,73.4244,1893257
2014-03-04,73.9787,74.667,73.5538,74.2282,2668509
2014-03-05,74.0434,74.6254,73.7755,74.5884,3018159
2014-03-06,74.7363,75.3275,74.5884,75.2351,1997621
2014-03-07,75.6785,75.7802,75.1704,75.6324,2298795
2014-03-10,75.3644,76.0573,74.0157,75.9742,1967541
2014-03-11,76.0665,76.0758,74.6993,75.0226,1538060
2014-03-12,74.1265,75.0504,73.5353,74.6531,1954531
2014-03-13,74.5053,74.8841,73.5907,73.7663,2057412
2014-03-14,73.8309,74.3021,73.4706,74.1635,2049599
2014-03-17,74.3852,74.9303,73.9695,74.2836,1556630
2014-03-18,74.5431,75.6273,74.2743,75.1176,1650866
2014-03-19,74.9971,75.6922,74.2095,74.7099,1731023
2014-03-20,74.5153,75.3678,74.0612,75.2288,1519335
2014-03-21,75.7941,76.5076,75.4049,75.9516,3738068
2014-03-24,76.2852,76.8135,75.4141,75.5995,1490472
2014-03-25,76.0721,76.4613,75.9349,76.0258,1522237
2014-03-26,76.3872,76.7301,75.2566,75.4049,2089949
2014-03-27,75.5717,76.4428,75.3307,75.9887,1539768
2014-03-28,75.8682,77.3268,75.8682,77.1193,2127187
2014-03-31,77.4343,77.4343,76.276,76.8042,3021412
2014-04-01,76.8505,77.805,76.4984,77.805,2569505
2014-04-02,77.9533,78.88,77.5733,78.7317,2862827
2014-04-03,78.7132,79.6677,78.4815,79.3526,2912725
2014-04-04,79.7233,80.2237,78.3888,79.0838,4198290
2014-04-07,78.9356,79.0282,77.4158,77.5826,2561683
2014-04-08,77.7309,78.3054,77.3787,77.8421,2577621
2014-04-09,78.1108,78.9634,77.4529,78.9634,2564135
2014-04-10,78.8522,79.3897,77.805,77.8606,3325483
2014-04-11,76.4706,78.259,76.4706,77.4529,1985145
2014-04-14,78.2776,79.297,78.0089,78.6946,1846068
2014-04-15,78.5927,79.7974,78.2684,79.7881,2551447
2014-04-16,80.2144,80.6129,79.6677,80.1959,2749988
2014-04-17,80.1125,80.9094,79.5287,80.8724,4177382
2014-04-21,81.0855,81.5488,80.8168,81.345,2016058
2014-04-22,81.0855,81.8222,80.687,81.5581,1944298
2014-04-23,81.7898,82.3551,81.6693,81.7064,2293946
2014-04-24,82.1327,82.4663,81.4654,81.8361,1775905
2014-04-25,81.6137,81.7527,80.7426,81.0206,1770561
2014-04-28,81.4469,81.5396,80.3719,80.8353,2200900
2014-04-29,80.9465,82.1605,80.9465,81.5674,2782072
2014-04-30,82.4755,83.671,81.6693,82.6238,4240073
2014-05-01,82.4848,82.9296,81.9566,82.3829,1911321
2014-05-02,82.4663,82.7999,81.9751,82.1697,1796104
2014-05-05,81.6137,82.4292,81.5442,82.0956,1816020
2014-05-06,82.1419,82.6498,81.623,81.6322,3519304
2014-05-07,81.5488,82.6794,81.5488,82.4107,1763709
2014-05-08,82.0863,82.5867,81.382,81.7435,2360496
2014-05-09,81.9566,82.0863,80.8538,81.1874,2079788
2014-05-12,81.66,82.2068,81.3172,81.8639,1672485
2014-05-13,82.0122,82.1883,81.7064,82.1697,2065502
2014-05-14,80.7241,83.013,80.7241,82.4941,1690300
2014-05-15,82.1049,82.2253,80.8168,81.7249,1828340
2014-05-16,81.5859,81.7249,80.5851,80.9928,2345063
2014-05-19,80.9465,81.9751,80.9372,81.4932,1900234
2014-05-20,81.382,82.04,81.104,81.5766,1765737
2014-05-21,82.0585,83.0038,81.9659,82.7535,1615806
2014-05-22,84.7089,85.1815,83.6617,83.671,4322666
2014-05-23,83.5505,83.949,82.8925,83.2725,2742071
2014-05-27,83.3188,83.4856,82.5126,82.874,2335874
2014-05-28,82.0122,83.9304,82.0122,83.3744,2642053
2014-05-29,83.4022,84.1343,83.1335,83.949,2933348
2014-05-30,83.7729,84.8293,83.7173,84.6069,2837673
2014-06-02,84.9683,84.9961,84.1528,84.6162,1528944
2014-06-03,84.5143,85.617,84.3382,85.617,3118815
2014-06-04,85.4595,85.9692,85.0703,85.5429,1344450
2014-06-05,85.4132,85.7746,85.1722,85.441,1975772
2014-06-06,85.7004,86.9885,85.6541,86.4788,2754335
2014-06-09,86.5993,87.4611,86.4232,87.2017,2133123
2014-06-10,86.97,87.6499,86.7939,87.3963,1908665
2014-06-11,87.2943,88.9624,87.1924,88.323,2430917
2014-06-12,88.5831,89.8746,88.453,88.7132,2292333
2014-06-13,88.9083,89.2985,88.2393,89.1499,1751354
2014-06-16,89.187,89.6609,88.8619,89.0941,2169488
2014-06-17,88.7039,89.2614,88.204,89.1406,1824404
2014-06-18,89.1406,89.7445,88.4623,89.4937,2028389
2014-06-19,89.1499,90.4414,89.1499,90.4414,1878688
2014-06-20,90.7759,91.0453,90.2927,91.0174,3626741
2014-06-23,91.1568,92.072,91.0174,91.4262,1928940
2014-06-24,91.4262,91.8165,89.5494,89.6516,1891960
2014-06-25,88.6946,91.3333,88.676,91.2218,2732125
2014-06-26,91.1382,91.3519,89.8932,90.6737,1591619
2014-06-27,90.3578,91.3705,90.2559,91.324,2393939
2014-06-30,91.4262,92.0673,90.8781,91.8815,2583314
2014-07-01,92.2625,92.8571,91.9837,92.5505,2335616
2014-07-02,92.1696,92.8107,91.9842,92.374,1683692
2014-07-03,92.4669,93.0151,92.281,92.8478,1500683
2014-07-07,92.5784,93.0058,91.8536,92.1696,1861803
