date,open,high,low,close,volume
2015-10-19,13.7454,13.7454,12.2445,12.2965,1581576
2015-10-20,12.0736,12.5789,12.0736,12.5343,709632
2015-10-21,12.8166,12.8909,12.1851,12.2445,78598
2015-10-22,12.4154,12.668,12.0662,12.5937,110000
2015-10-23,12.8166,12.8166,12.5194,12.6309,59910
2015-10-26,12.7126,12.7126,12.1182,12.1999,514799
2015-10-27,12.304,12.4451,11.5907,11.6873,636017
2015-10-28,11.8136,12.1479,11.7727,12.0959,296321
2015-10-29,11.8953,12.0885,11.5535,11.8507,290446
2015-10-30,11.8136,11.9622,10.9369,10.9369,2449278
2015-11-02,11.1376,11.2713,10.298,10.7661,40866212
2015-11-03,10.454,10.9295,10.1605,10.6695,40205820
2015-11-04,10.6918,10.7809,10.1122,10.1494,31525806
2015-11-05,10.1345,10.3203,9.7482,9.867,22190459
2015-11-06,9.7927,10.7586,9.7704,10.6992,30049954
2015-11-09,10.5952,10.7586,10.4986,10.5506,17528088
2015-11-10,10.4986,10.7289,10.4094,10.7066,14777765
2015-11-11,10.5506,10.6323,10.4689,10.4837,11009387
2015-11-12,10.2608,10.2683,10.0974,10.1791,20371666
2015-11-13,10.1122,10.2237,9.7704,9.9488,14924533
2015-11-16,9.9339,10.1122,9.763,9.9413,13781675
2015-11-17,9.9413,10.0231,9.7482,9.8225,12420759
2015-11-18,10.0156,10.2014,9.7991,10.1345,13020475
2015-11-19,10.0528,10.3203,10.0454,10.2385,13171491
2015-11-20,10.2385,10.8701,10.1642,10.558,18559394
2015-11-23,10.5283,10.558,10.0825,10.2905,15317345
2015-11-24,10.0899,10.4206,10.0305,10.1717,24110878
2015-11-25,10.3351,11.041,10.2831,10.4912,22677094
2015-11-27,10.4912,10.8775,10.4391,10.662,6041718
2015-11-30,10.5729,11.145,10.5357,11.041,29104253
2015-12-01,11.0558,11.7988,11.0335,11.5982,25106564
2015-12-02,11.4199,11.5462,11.0484,11.1078,12681142
2015-12-03,11.145,11.3976,10.8329,10.8627,18905240
2015-12-04,10.6918,11.3642,10.5803,11.3085,12001085
2015-12-07,11.1854,11.5434,11.1258,11.521,9546047
2015-12-08,11.2525,11.4017,10.9021,11.3122,11617601
2015-12-09,11.178,11.4762,10.9468,11.0736,14261925
2015-12-10,11.0288,11.0437,10.8349,10.9766,11350209
2015-12-11,11.178,11.4837,10.5441,10.5739,10614763
2015-12-14,10.6634,10.8126,10.3801,10.7678,11528144
2015-12-15,10.82,11.1705,10.8014,10.8573,12888739
2015-12-16,10.9021,11.0437,10.8499,10.9617,7840968
2015-12-17,10.8946,10.9766,10.6038,10.6709,7625458
2015-12-18,10.6411,10.7268,10.4397,10.559,19337615
2015-12-21,10.5292,10.738,10.3428,10.4546,9863255
2015-12-22,10.4696,10.5441,10.3801,10.4845,7292476
2015-12-23,10.5814,11.163,10.477,11.1183,11252128
2015-12-24,11.0437,11.3122,11.0289,11.2003,2178459
2015-12-28,11.1034,11.3942,11.0512,11.3569,5930636
2015-12-29,11.4017,11.5114,11.3196,11.3346,6275753
2015-12-30,11.4017,11.5434,11.2973,11.3942,6275778
2015-12-31,11.3569,11.4166,11.26,11.3346,6768073
2016-01-04,11.163,11.2973,10.9915,11.2824,15076835
2016-01-05,11.2824,11.3718,11.1407,11.2078,10328195
2016-01-06,10.9021,11.1854,10.82,11.0363,11315099
2016-01-07,10.8126,10.8573,10.1787,10.2235,19844662
2016-01-08,10.2682,10.4546,9.9252,10.0967,16431904
2016-01-11,10.0147,10.2235,9.7462,9.8879,15110848
2016-01-12,9.955,10.0072,9.7611,9.8879,12458450
2016-01-13,9.955,9.955,9.3436,9.5076,17720765
2016-01-14,9.5076,9.8208,9.433,9.694,13352501
2016-01-15,9.3958,9.5449,9.3137,9.351,19729482
2016-01-19,9.4554,9.53,9.0975,9.187,12925879
2016-01-20,8.9483,9.0975,8.6687,8.9931,16640055
2016-01-21,8.9483,9.351,8.8141,9.2541,16729584
2016-01-22,9.4703,10.0147,9.433,9.955,15269891
2016-01-25,9.9103,10.1042,9.7835,9.9476,11183427
2016-01-26,9.955,10.2347,9.955,10.1414,10726138
2016-01-27,10.0892,10.1489,9.6605,9.9849,18484506
2016-01-28,10.0296,10.216,9.7462,9.8357,9874424
2016-01-29,9.9998,10.3502,9.955,10.2608,11361905
2016-02-01,10.1936,10.3502,10.0892,10.2831,9549644
2016-02-02,10.216,10.4174,9.9625,10.0296,9677516
2016-02-03,10.1862,10.2682,9.7761,9.9699,7553022
2016-02-04,9.9252,10.3577,9.9252,10.3279,6499149
2016-02-05,10.2086,10.2533,9.7201,9.8432,13227678
2016-02-08,9.694,9.7313,9.2242,9.3286,14815851
2016-02-09,9.2242,9.5896,9.1795,9.4852,6686490
2016-02-10,9.5225,9.7462,9.4778,9.5896,5982701
2016-02-11,9.3734,9.4479,8.9595,9.2466,9834289
2016-02-12,9.3212,9.5374,9.0826,9.1646,10549410
2016-02-16,9.2541,9.3137,9.1497,9.1944,11976893
2016-02-17,9.2392,9.7947,9.2242,9.7089,8666214
2016-02-18,9.7313,10.216,9.7089,10.0892,11734114
2016-02-19,10.0743,10.2458,9.8805,10.1936,9414376
2016-02-22,10.2533,10.3502,10.1191,10.2906,10755568
2016-02-23,10.2309,10.3055,9.5747,9.7611,14646955
2016-02-24,9.694,10.1191,9.5598,10.0892,13226854
2016-02-25,10.0296,10.2235,9.873,10.2011,12079898
2016-02-26,10.2757,10.2906,9.8059,10.0221,10824943
2016-02-29,9.9252,10.052,9.8432,9.8954,12747283
2016-03-01,10.0072,10.0445,9.7611,9.9028,8354199
2016-03-02,9.9774,10.477,9.955,10.3652,10016741
2016-03-03,10.3726,10.4024,9.9028,10.1414,10029569
2016-03-04,11.1108,11.8118,11.0512,11.5135,33370453
2016-03-07,11.3227,11.9663,11.2703,11.9513,18478215
2016-03-08,11.7867,11.8166,11.3788,11.3975,12330490
2016-03-09,11.4798,11.8503,11.4499,11.5921,11069442
2016-03-10,11.637,12.1309,11.6146,11.8989,14285140
2016-03-11,11.9738,12.303,11.9738,12.2207,15684195
2016-03-14,12.1234,12.4003,12.0037,12.2806,9672404
2016-03-15,12.2432,12.6323,12.1609,12.55,13934243
2016-03-16,12.5051,12.8942,12.4228,12.8643,12513970
2016-03-17,12.8194,12.9691,12.6922,12.8419,10868207
2016-03-18,12.8493,13.1562,12.782,12.9691,30962871
2016-03-21,12.9691,13.4256,12.9466,13.2535,10730906
2016-03-22,13.029,13.5304,12.9766,13.1038,11318505
2016-03-23,13.1113,13.1487,12.7895,13.0664,11434939
2016-03-24,13.029,13.2011,12.8044,13.1487,8869974
2016-03-28,13.0813,13.2198,12.8868,13.1038,5532334
2016-03-29,12.999,13.231,12.8868,13.2086,5926601
2016-03-30,13.2609,13.4069,13.1936,13.3882,10552607
2016-03-31,13.3507,13.4406,13.1039,13.2684,10389804
2016-04-01,13.1786,13.8783,13.1412,13.7698,14849934
2016-04-04,13.8072,13.8072,13.4181,13.5004,7666968
2016-04-05,13.3732,13.4031,13.1412,13.1786,8299991
2016-04-06,13.2086,13.4555,13.0664,13.4406,10391874
2016-04-07,13.3133,13.5004,13.1898,13.2759,9413668
2016-04-08,13.3582,13.6913,13.3283,13.3882,7279983
2016-04-11,13.4331,13.5154,13.216,13.2684,5878459
2016-04-12,13.2535,13.2909,12.8568,12.9017,8787887
2016-04-13,12.9391,13.1038,12.8344,13.0963,8243231
2016-04-14,12.9915,13.0215,12.767,12.9167,6686197
2016-04-15,13.029,13.0813,12.6099,13.0215,11861987
2016-04-18,12.8793,13.0851,12.8269,13.0514,5661473
2016-04-19,13.0664,13.0813,12.8344,12.9017,6439694
2016-04-20,12.7745,13.0963,12.7745,13.0215,5440116
2016-04-21,12.9766,13.2759,12.9616,13.0664,5970372
2016-04-22,13.0514,13.246,12.9691,13.0888,7958001
2016-04-25,12.9915,13.029,12.5874,12.8793,5842139
2016-04-26,12.9092,13.0701,12.8942,12.9915,6285691
2016-04-27,12.9466,13.1113,12.9092,12.9541,6363648
2016-04-28,12.8493,13.0102,12.6623,12.7446,4787643
2016-04-29,12.6398,12.6548,12.3554,12.4677,7088889
2016-05-02,12.4677,12.535,12.1833,12.2731,8461206
2016-05-03,12.1459,12.1609,11.8091,11.9214,11065714
2016-05-04,11.8241,11.9738,11.7343,11.9214,6637875
2016-05-05,11.9363,11.9513,11.7044,11.7642,3519240
2016-05-06,11.6969,11.869,11.6445,11.8091,4983593
2016-05-09,11.7567,11.9438,11.7268,11.869,4943330
2016-05-10,11.8914,11.8989,11.6819,11.8914,4761698
2016-05-11,11.8914,12.2394,11.884,11.9887,6470157
2016-05-12,12.0411,12.0785,11.8641,11.8989,5418380
2016-05-13,11.8989,12.0598,11.7418,11.8016,6788966
2016-05-16,11.7942,12.0449,11.7567,11.9438,8819406
2016-05-17,11.884,12.1234,11.7418,11.8391,14592610
2016-05-18,11.8166,11.9214,11.6108,11.7268,6576502
2016-05-19,11.6071,11.8166,11.5098,11.8091,6684880
2016-05-20,11.7942,11.9663,11.7193,11.8765,8982944
2016-05-23,11.884,12.1758,11.8765,12.0262,8649851
2016-05-24,12.0486,12.2282,11.9663,12.1609,12562108
2016-05-25,13.7174,13.8447,12.8119,12.984,43848808
2016-05-26,12.7221,13.2385,12.6024,13.014,21733075
2016-05-27,13.0664,13.7249,13.0664,13.6651,22958541
2016-05-31,13.4705,13.8222,13.2909,13.8222,24952912
2016-06-01,13.7025,13.7549,13.5753,13.6875,12293056
2016-06-02,13.5753,13.8671,13.5453,13.8447,13663287
2016-06-03,13.7698,13.8447,13.68,13.7324,9285495
2016-06-06,13.7211,14.2391,13.7211,14.1865,12841306
2016-06-07,14.1415,14.4455,14.0889,14.3817,14286211
2016-06-08,14.4643,14.727,14.4117,14.5243,15820732
2016-06-09,14.5543,14.7495,14.5093,14.6744,9375374
2016-06-10,14.4943,14.5093,14.1865,14.3517,9830680
2016-06-13,14.2691,14.3742,13.9463,13.9613,10147166
2016-06-14,13.8638,13.9914,13.6724,13.7437,14356127
2016-06-15,13.8337,14.3066,13.8187,14.1115,11967601
2016-06-16,14.0214,14.134,13.9426,14.0064,12329670
2016-06-17,13.9538,14.2691,13.8788,14.2166,16641098
2016-06-20,14.4267,14.7195,14.3817,14.5468,15869472
2016-06-21,14.5693,14.8996,14.4567,14.8321,11557672
2016-06-22,14.757,14.8321,14.4042,14.4192,10573261
2016-06-23,14.5393,14.7795,14.5168,14.7495,10184380
2016-06-24,13.9689,14.3216,13.5935,13.6311,25420729
2016-06-27,13.511,13.5185,12.7341,12.9105,18517647
2016-06-28,13.1357,13.1957,12.8392,13.0606,13635793
2016-06-29,13.3158,13.4434,13.2145,13.3458,8259949
2016-06-30,13.4509,13.8863,13.4209,13.7136,12492682
2016-07-01,13.8638,13.9914,13.6236,13.8788,8928465
