date,open,high,low,close,volume
2013-08-07,26.8935,27.1248,26.7351,26.9963,909970
2013-08-08,27.1333,27.1505,26.9107,27.0134,686498
2013-08-09,26.9107,27.0648,26.8507,26.8678,1275812
2013-08-12,26.7308,26.9877,26.6366,26.885,884388
2013-08-13,26.885,26.9642,26.7651,26.8421,920987
2013-08-14,26.8421,26.9021,26.4653,26.4824,1203487
2013-08-15,26.2426,26.2726,25.309,25.3775,2926812
2013-08-16,25.2662,25.566,25.1891,25.4204,950845
2013-08-19,25.2919,25.3424,24.7609,24.7609,1428216
2013-08-20,24.778,24.8551,24.581,24.7866,2300400
2013-08-21,24.7438,24.8465,24.5211,24.5468,1353391
2013-08-22,24.581,25.0178,24.5553,24.9236,928878
2013-08-23,24.9579,24.9579,24.6153,24.8123,1188236
2013-08-26,24.8551,25.1549,24.7523,24.838,1253361
2013-08-27,24.5125,24.7095,24.2187,24.2384,1042919
2013-08-28,24.2384,24.3797,24.1185,24.1357,855454
2013-08-29,24.0586,24.307,24.0586,24.1185,823946
2013-08-30,24.1956,24.2384,23.8273,23.9044,1018104
2013-09-03,24.2127,24.4012,23.716,23.8787,2374493
2013-09-04,23.2107,23.8273,22.8938,23.7245,6678485
2013-09-05,23.8841,23.9099,23.2887,23.3318,3244976
2013-09-06,23.2455,23.4181,23.1765,23.2197,2497121
2013-09-09,23.2542,23.4785,23.1938,23.3577,1556021
2013-09-10,23.5475,23.6425,23.4095,23.5044,1438465
2013-09-11,23.5044,23.5389,23.2455,23.375,1557258
2013-09-12,23.375,23.6597,23.3146,23.3405,1108333
2013-09-13,23.3405,23.5648,23.2801,23.5044,776176
2013-09-16,23.6425,23.8323,23.4224,23.444,1526821
2013-09-17,23.444,23.6511,23.3751,23.6425,1734434
2013-09-18,23.5993,24.1688,23.5993,24.0998,3027704
2013-09-19,24.1084,24.2637,23.9617,24.048,2476458
2013-09-20,24.0739,24.1084,23.2801,23.3922,3181273
