date,open,high,low,close,volume
2013-08-07,36.2274,36.2585,35.0559,35.9997,3156275
2013-08-08,36.0756,36.5524,35.9044,36.424,2544520
2013-08-09,36.4006,36.5806,35.9297,35.9861,1034125
2013-08-12,35.7954,35.881,35.4179,35.6397,2144300
2013-08-13,35.6514,35.7312,35.3848,35.6125,1938675
2013-08-14,35.6047,35.7292,35.2797,35.4373,1505325
2013-08-15,35.1902,35.2602,34.7893,35.0968,2241920
2013-08-16,35.0578,35.4957,34.906,35.377,2342365
2013-08-19,35.1357,35.7428,35.1357,35.3517,2589405
2013-08-20,35.2953,35.7234,35.1454,35.6689,3915975
2013-08-21,35.5054,35.8791,35.305,35.3517,2264895
2013-08-22,35.4626,36.2371,35.3604,36.1009,2576225
2013-08-23,36.1583,36.2819,35.8129,36.0659,2836465
2013-08-26,36.0678,36.2897,35.6514,35.6845,2508125
2013-08-27,35.4003,35.5307,34.8866,35.0754,3242200
2013-08-28,35.2233,35.6066,34.8846,35.015,2283385
2013-08-29,35.0968,35.3556,34.8983,35.0812,2115385
2013-08-30,35.0559,35.1474,34.7504,34.98,2110660
2013-09-03,35.6183,35.8032,35.1882,35.3536,2583190
2013-09-04,35.3322,35.7292,34.9216,35.6027,2537880
2013-09-05,35.5482,35.6572,35.196,35.2233,3185995
2013-09-06,35.4081,35.4217,34.4954,34.9099,4139725
2013-09-12,35.412,35.412,34.9605,35.0286,2688625
2013-09-13,35.124,35.2207,34.7212,35.1318,2818235
2013-09-16,35.558,35.5599,35.1629,35.2369,2808435
2013-09-17,35.3069,35.4801,35.2408,35.34,2930425
2013-09-18,35.3069,35.4762,35.1785,35.3634,2742750
2013-09-19,35.4179,35.6436,35.2281,35.6066,2899690
2013-09-20,35.6455,35.9919,35.3303,35.4432,3189905
2013-09-23,35.2816,35.3653,34.9508,35.2505,1793470
2013-09-24,35.1785,35.4548,34.9975,35.1629,2017250
2013-09-25,34.9391,35.3439,34.7562,34.8652,2796205
2013-09-26,34.8224,35.1804,34.7582,35.0131,1951420
2013-09-27,34.8049,35.4179,34.7221,35.2777,1899180
2013-09-30,34.9255,35.3712,34.7192,35.305,2766800
2013-10-01,35.2408,35.8518,35.1882,35.7934,3542390
2013-10-02,35.1621,35.8285,34.8535,35.8285,5870600
2013-10-03,36.1476,36.6867,35.7643,36.5913,5790275
2013-10-04,36.7236,37.7103,36.5621,37.685,5951990
2013-10-07,37.3639,37.8193,37.2744,37.5585,3442995
2013-10-08,37.4612,37.6947,36.5232,36.9085,5485565
2013-10-09,36.9552,37.2082,36.459,36.7976,4722945
2013-10-10,37.1031,37.8893,36.9766,37.5896,4279610
2013-10-11,37.4748,37.9973,37.4028,37.8854,2995570
2013-10-14,37.7317,38.1827,37.5799,38.0761,1445665
2013-10-15,37.8952,38.1501,37.6402,37.7765,2420880
2013-10-16,38.0898,38.4303,37.8387,38.047,1834670
2013-10-17,37.9458,38.4537,37.7803,38.3856,2550785
2013-10-18,38.3525,38.6347,38.1365,38.5743,3185975
2013-10-21,38.6132,38.6132,38.2532,38.3856,1973775
2013-10-22,38.4303,38.621,38.0946,38.4284,1965065
2013-10-23,38.3564,38.3564,37.9185,38.1306,3684240
2013-10-24,38.1579,38.3038,38.0022,38.1812,2515920
2013-10-25,38.2201,38.3486,37.9956,38.1423,2161850
2013-10-28,38.2046,38.2046,37.5176,37.7161,3016200
2013-10-29,37.6772,37.9847,37.3211,37.5293,5115045
2013-10-30,37.5682,37.7161,37.0661,37.0915,4526895
2013-10-31,37.2588,37.7706,37.2442,37.506,4232550
2013-11-01,37.8854,38.2026,37.5702,38.0158,3568320
2013-11-04,38.047,38.154,37.4048,37.722,3493665
2013-11-05,38.6814,39.09,38.0372,38.5257,5027650
2013-11-06,38.6891,38.9129,38.3369,38.8818,3881285
2013-11-07,38.8818,39.3946,38.7145,38.9849,6506075
2013-11-08,38.9772,39.9424,38.9772,39.7381,3398950
2013-11-11,39.7381,40.0494,39.3664,39.45,1762735
2013-11-12,39.3897,39.5396,38.4926,38.4926,9424440
2013-11-13,38.5685,39.1971,38.4926,38.8896,3812825
2013-11-14,39.018,39.0316,38.2883,38.7573,4250590
2013-11-15,38.7261,39.5902,38.7261,39.38,4016100
2013-11-18,39.7634,39.8003,39.1684,39.5376,4738385
2013-11-19,39.6193,40.4464,39.6193,40.1701,8981645
2013-11-20,40.2732,41.4953,40.0883,41.4642,8406130
2013-11-21,41.8777,42.0422,41.4642,41.9779,7202945
2013-11-22,41.9779,42.4489,41.8164,42.3088,4623315
2013-11-25,42.4002,42.4333,41.9565,42.0967,3283090
2013-11-26,42.0344,42.156,41.5051,41.5051,6380040
2013-11-27,41.6335,41.9614,41.3949,41.7269,2292960
2013-11-29,41.8398,41.8962,41.4739,41.507,1023735
2013-12-02,41.6121,42.0266,41.3844,41.8184,4442295
2013-12-03,41.6744,41.7269,41.2803,41.3941,4221795
2013-12-04,41.0691,41.5829,40.9383,41.3143,3010825
2013-12-05,41.2112,41.5245,41.0516,41.3825,6011950
2013-12-06,41.7191,42.5209,41.5479,42.4625,4871390
2013-12-09,42.0811,42.6221,41.9799,42.301,3734060
2013-12-10,42.2854,42.4411,42.0231,42.1842,2631885
2013-12-11,42.4742,42.8264,42.1687,42.5209,5358205
2013-12-12,42.2017,42.7135,41.9896,42.3905,6980610
2013-12-13,42.5851,43.056,42.5345,42.8984,4657890
2013-12-16,43.0074,43.2779,42.8342,43.1709,5095550
2013-12-17,43.2584,43.4277,42.7719,43.2448,5851630
2013-12-18,43.1203,43.922,42.768,43.815,7343045
2013-12-19,43.7858,43.9569,43.2137,43.3246,4231085
2013-12-20,43.3966,43.9298,43.2234,43.6807,12577030
2013-12-23,44.0913,44.1089,43.5737,43.9921,3873125
2013-12-24,43.9824,43.996,43.5465,43.9824,1404015
2013-12-26,44.0252,44.1886,43.6068,43.7586,1745775
2013-12-27,43.7235,43.9084,43.5173,43.7352,2185900
2013-12-30,43.8598,43.922,43.181,43.4978,1718035
2013-12-31,43.4939,43.959,43.2896,43.7702,2211625
2014-01-02,43.6223,43.8812,43.2312,43.708,3833350
2014-01-03,43.708,44.1672,43.6827,43.9571,4864220
2014-01-06,44.1556,44.5292,43.9824,44.0699,3358730
2014-01-07,44.5331,44.6615,43.9901,44.3346,4282955
2014-01-08,44.2081,44.4105,43.7839,44.177,3239405
2014-01-09,44.3579,44.537,44.175,44.2782,2715040
2014-01-10,44.068,44.249,43.6009,43.85,3022975
2014-01-13,43.7858,43.8948,42.8147,42.912,3104340
2014-01-14,43.0191,43.0716,42.4781,42.7739,4922200
2014-01-15,42.7564,42.8108,40.5398,41.038,18126220
2014-01-16,40.6332,41.3844,40.497,40.7364,6980500
2014-01-17,40.676,40.9271,40.0942,40.2576,8568230
2014-01-21,40.5515,41.3202,40.4036,40.4776,7742765
2014-01-22,40.7033,41.0575,40.3549,40.8629,5814950
2014-01-23,40.5067,40.6702,40.0845,40.2615,5181935
2014-01-24,40.0883,40.2863,39.7653,39.7692,6572625
2014-01-27,40.5213,40.5213,39.4286,39.5357,7131565
2014-01-28,40.6722,40.6722,39.6991,40.2635,4005710
2014-01-29,39.5123,40.4055,39.5123,39.8509,4184355
2014-01-30,39.1173,40.7792,39.1173,40.7305,2908750
2014-01-31,40.0105,40.9154,40.0105,40.6313,4144415
