date,open,high,low,close,volume
2013-08-07,18.991,19.0313,18.8158,18.9506,1168627
2013-08-08,18.7619,18.9371,18.4588,18.8495,1881644
2013-08-09,18.836,19.1122,18.836,18.9977,1085234
2013-08-12,18.9506,18.9842,18.7687,18.8293,1209432
2013-08-13,18.8562,18.9236,18.6002,18.6811,1729391
2013-08-14,18.6743,18.7215,18.5531,18.6676,1004440
2013-08-15,18.5329,18.5868,18.223,18.2297,1088024
2013-08-16,18.1893,18.2567,17.9535,18.0546,843939
2013-08-19,18.0276,18.0343,17.748,18.0141,1454200
2013-08-20,18.0343,18.2095,17.9468,18.1758,740273
2013-08-21,18.1152,18.2095,18.0276,18.1219,921763
2013-08-22,18.1287,18.1623,17.9064,18.0007,1089590
2013-08-23,18.1017,18.2769,18.0882,18.196,1079919
2013-08-26,18.1826,18.324,18.1421,18.1826,1011022
2013-08-27,18.0007,18.0209,17.8659,17.9333,1464197
2013-08-28,17.9535,18.0546,17.8659,17.8929,1439628
2013-08-29,17.8255,17.9737,17.7514,17.7649,1121938
2013-08-30,17.7514,17.7716,17.327,17.3809,1506464
2013-09-03,17.4819,17.6099,17.2742,17.3741,1349342
2013-09-04,17.4011,17.7312,17.3876,17.7177,1388081
2013-09-05,17.711,17.7514,17.3337,17.3405,896156
2013-09-06,17.3809,17.4617,17.199,17.4078,993624
2013-09-09,17.4415,17.6908,17.4415,17.455,2075107
2013-09-10,17.583,17.6032,17.3809,17.4146,1454684
2013-09-11,17.428,17.5897,17.428,17.4415,1328053
2013-09-12,17.556,18.0007,17.5493,17.9064,3680625
2013-09-13,17.9737,18.0411,17.7986,17.9131,1135938
2013-09-16,18.0882,18.1489,17.9771,18.1085,2161612
2013-09-17,18.1152,18.3442,18.0546,18.3375,1609929
2013-09-18,18.3712,18.991,18.3577,18.9775,2601534
2013-09-19,19.0449,19.5905,19.0247,19.5501,2668230
2013-09-20,19.5636,19.6175,19.2335,19.3211,2519816
2013-09-23,19.2531,19.3279,18.9164,19.3211,2231491
2013-09-24,19.3347,19.6917,19.2939,19.6747,2889313
2013-09-25,19.6339,19.7631,19.049,19.0626,2227800
2013-09-26,19.0762,19.2259,18.879,18.9674,1493159
2013-09-27,18.913,18.9674,18.7635,18.8518,867774
2013-09-30,18.7158,18.7225,18.3418,18.3758,1520640
2013-10-01,18.3622,18.488,18.2669,18.3486,1124816
2013-10-02,18.2873,18.2873,18.0017,18.0833,1333857
2013-10-03,18.0289,18.0493,17.6617,17.6821,1247115
2013-10-04,17.6821,17.8317,17.5665,17.7501,1424473
2013-10-07,17.6345,17.9065,17.5774,17.8113,887806
2013-10-08,17.8249,17.9609,17.5869,17.5869,2188937
2013-10-09,17.5869,17.6481,17.3488,17.4713,877021
2013-10-10,17.6413,17.9677,17.41,17.5869,2243778
2013-10-11,17.2468,17.308,17.0224,17.206,2450713
2013-10-14,17.3556,17.4474,17.1176,17.3284,3666814
2013-10-15,17.3284,17.3692,17.1924,17.2672,3347405
2013-10-16,17.3352,17.444,17.2468,17.376,1846500
2013-10-17,17.3012,17.6821,17.2672,17.6685,2149265
2013-10-18,17.6753,18.0289,17.6345,18.0221,1741413
2013-10-21,18.0561,18.1717,17.9405,18.0561,1414595
2013-10-22,18.1105,18.335,18.0766,18.2465,837022
2013-10-23,18.1785,18.2329,18.0153,18.0561,731383
2013-10-24,18.0561,18.1989,18.0017,18.1921,659253
2013-10-25,18.2397,18.4438,18.1717,18.4438,900652
2013-10-28,18.4166,18.5118,18.0901,18.1105,988926
2013-10-29,18.1717,18.2669,17.9949,18.0561,697535
2013-10-30,18.0425,18.1037,17.886,17.9473,1106625
2013-10-31,18.7702,19.015,17.6447,18.0493,1475100
2013-11-01,18.0289,18.0357,17.5121,17.7569,2753200
2013-11-04,17.7909,17.8929,17.5325,17.6617,1394897
2013-11-05,17.6345,17.7025,17.3557,17.7025,1765301
2013-11-06,17.7297,17.9269,17.6481,17.8861,1443364
2013-11-07,17.8793,18.2261,17.8793,18.0221,1782518
2013-11-08,18.0221,18.3248,17.9677,18.3077,1366236
2013-11-11,18.2669,18.4268,18.2329,18.3622,830268
2013-11-12,18.3486,18.4166,18.267,18.3622,924035
2013-11-13,18.2601,18.3282,17.8895,17.9881,1700602
2013-11-14,18.0153,19.9195,17.9609,19.3755,5243072
2013-11-15,19.3959,20.6132,19.3483,20.5044,7287679
2013-11-18,20.5452,20.8785,20.2337,20.4364,2283903
2013-11-19,20.3888,20.4364,19.7563,20.1916,2436056
2013-11-20,20.2188,20.28,19.4775,19.5251,1653261
2013-11-21,19.5319,19.6815,19.3483,19.4299,2417717
2013-11-22,19.4163,19.4435,19.1817,19.3143,1064242
2013-11-25,19.3483,19.4435,19.151,19.2667,1103383
2013-11-26,19.3007,19.3143,19.015,19.0966,1286099
2013-11-27,19.1579,19.2803,18.913,19.1647,1754076
2013-11-29,19.1851,19.2735,19.0627,19.1238,432666
2013-12-02,19.1238,19.1987,18.9198,19.0558,1159347
2013-12-03,18.9538,19.1306,18.777,18.9266,864786
2013-12-04,18.8926,19.3823,18.7376,19.3211,2304575
2013-12-05,19.3279,19.6135,19.1374,19.2055,1457264
2013-12-06,19.3075,19.6136,19.2905,19.4843,1054768
2013-12-09,19.4775,19.6747,19.4163,19.4979,939944
2013-12-10,19.6339,19.7359,19.4027,19.4095,756739
2013-12-11,19.4095,20.0216,19.3619,19.8379,2520149
2013-12-12,19.7563,19.8719,19.5183,19.7563,1897778
2013-12-13,19.8039,20.144,19.7767,20.0556,1230931
2013-12-16,20.0692,20.2596,19.8923,20.076,1581559
2013-12-17,19.9195,20.0488,19.5387,19.6339,1548531
2013-12-18,19.6135,20.0964,19.4843,19.9603,1842496
2013-12-19,19.9603,20.1372,19.7699,19.8787,1179359
2013-12-20,19.9399,20.2868,19.8855,20.2732,2260256
2013-12-23,20.3208,20.6676,20.2596,20.4704,1598349
2013-12-24,20.4292,20.9919,20.2954,20.9645,1011850
2013-12-26,20.9988,21.136,20.7655,20.9919,1024904
2013-12-27,21.0812,21.0812,20.8067,20.9645,491368
2013-12-30,20.8959,21.088,20.8616,20.9233,796598
2013-12-31,20.9988,21.0743,20.6763,20.8272,775085
2014-01-02,20.7655,20.9165,20.0518,20.2371,1886423
2014-01-03,20.3057,20.4189,20.0792,20.1959,1073642
2014-01-06,20.2714,20.5047,19.942,20.093,1202144
2014-01-07,20.1341,20.2096,19.3999,19.743,3511697
2014-01-08,19.8253,20.0312,19.0911,19.3587,4142551
2014-01-09,19.3656,19.4205,18.8646,19.2146,2333352
2014-01-10,19.2215,19.242,18.9126,19.1185,2413404
2014-01-13,19.0636,19.1391,18.5489,19.0019,4228211
2014-01-14,19.0705,19.1391,18.8577,18.8646,2239431
2014-01-15,18.844,19.0499,18.7411,18.8646,7404158
2014-01-16,18.8646,18.9881,18.5009,18.8303,3517764
2014-01-17,18.8921,19.1666,18.8303,18.8783,2700922
2014-01-21,18.9126,18.9744,18.2264,18.8646,2571661
2014-01-22,18.947,19.2696,18.9401,19.1254,1663346
2014-01-23,19.0293,19.146,18.796,19.1322,1742948
2014-01-24,18.9675,19.0568,18.6587,18.8097,3826149
2014-01-27,18.8028,19.0911,18.6313,18.6656,2440373
2014-01-28,18.6382,18.8989,18.6011,18.6931,1783345
2014-01-29,18.5764,18.7411,18.3362,18.3499,1665752
2014-01-30,18.4529,18.5489,18.2813,18.3431,1064691
2014-01-31,18.1441,18.3019,18.0549,18.1235,2541658
2014-02-03,18.1715,18.2333,17.6671,17.7735,3231508
2014-02-04,17.9039,18.199,17.8421,18.1098,1965918
2014-02-05,17.9794,18.199,17.9588,18.1509,1619097
2014-02-06,18.1715,18.6519,18.1578,18.5352,2013234
2014-02-07,18.6656,18.8509,18.2813,18.3499,2605077
2014-02-10,18.4323,18.8097,18.3705,18.5146,3019198
2014-02-11,18.5146,18.7617,18.5078,18.6107,1479848
2014-02-12,18.645,18.7136,18.4872,18.6519,1179454
2014-02-13,18.5695,18.9607,18.5284,18.947,954285
2014-02-14,18.9264,19.2764,18.8646,19.2215,997114
2014-02-18,19.2283,19.4548,19.1254,19.393,1240257
2014-02-19,19.3038,19.6126,19.3038,19.4273,1087324
2014-02-20,19.4239,19.4959,19.2832,19.4205,1164891
2014-02-21,19.4548,19.7155,19.3244,19.6332,1457653
2014-02-24,19.6606,20.0312,19.5783,19.6401,1516906
2014-02-25,19.6195,19.8322,19.5508,19.7636,1274169
2014-02-26,19.8459,19.9008,19.5097,19.5783,982142
2014-02-27,19.5646,19.8459,19.4136,19.4959,2092010
2014-02-28,19.7979,19.9626,18.6107,18.6656,3258571
2014-03-03,18.4597,18.9195,18.2676,18.8372,2153612
2014-03-04,18.9401,19.1803,18.8646,18.9881,1436377
2014-03-05,19.0224,19.1528,18.8852,18.9607,895389
2014-03-06,18.9813,18.9881,18.7548,18.8852,1026932
2014-03-07,18.9195,19.2935,18.8921,19.0842,2247851
2014-03-10,19.0568,19.3347,19.0568,19.2969,1542275
2014-03-11,19.3107,19.4342,18.8852,18.947,1975524
2014-03-12,18.8577,19.0911,18.7411,19.0911,1063352
2014-03-13,19.1254,19.2345,18.8509,18.9264,1332742
2014-03-14,18.9195,19.1871,18.7823,18.8166,884386
2014-03-17,18.9264,19.0773,18.8783,19.0636,1011779
2014-03-18,19.0636,19.4959,19.0293,19.4685,1234319
2014-03-19,19.4754,19.5989,19.242,19.3862,1218869
