date,open,high,low,close,volume
2013-08-07,25.1005,25.2508,24.8089,25.1663,1212662
2013-08-08,25.3356,25.392,25.1193,25.3356,736269
2013-08-09,25.298,25.6177,25.045,25.5613,833908
2013-08-12,25.4202,25.5425,25.1193,25.2415,994002
2013-08-13,25.3074,25.486,25.2603,25.298,884373
2013-08-14,25.2321,25.345,25.1005,25.1287,793803
2013-08-15,24.8936,25.1099,24.7995,24.903,1205544
2013-08-16,24.8371,25.0346,24.7619,25.0064,1108284
2013-08-19,24.9218,24.9782,24.113,24.16,1213978
2013-08-20,24.1412,24.4045,23.9343,24.3199,779866
2013-08-21,24.2447,24.3199,23.9719,24.0472,774398
2013-08-22,24.1036,24.3481,23.9813,24.1036,813140
2013-08-23,24.2259,24.4986,24.019,24.461,574624
2013-08-26,24.4704,24.5644,24.1882,24.207,606439
2013-08-27,23.9249,24.0754,23.624,23.6334,640381
2013-08-28,23.6428,23.8215,23.3983,23.4171,1125960
2013-08-29,23.3512,23.6898,23.324,23.5863,672939
2013-08-30,23.6334,23.6334,23.3418,23.4453,893402
2013-09-03,23.6804,24.1036,23.6334,24.0001,1631897
2013-09-04,23.9719,24.7431,23.9061,24.6302,1481216
2013-09-05,24.6302,24.8748,24.6302,24.7713,1015456
2013-09-06,24.8842,25.1146,24.6396,24.9876,958410
2013-09-09,25.025,25.713,24.9873,25.6942,988488
2013-09-10,26.0147,26.3917,25.8733,26.3446,1379152
2013-09-11,26.3163,26.4011,26.0241,26.2409,1207140
2013-09-12,26.1466,26.3069,25.9204,25.9581,809991
2013-09-13,26.0524,26.3069,25.9393,26.2503,928755
2013-09-16,26.5237,26.7404,26.4011,26.6745,1217958
2013-09-17,26.6839,27.0939,26.2315,26.4388,2304554
2013-09-18,26.3823,26.3917,25.7885,26.0995,2139042
2013-09-19,26.1278,26.2597,26.0052,26.0241,1471213
2013-09-20,26.1372,26.2616,25.6989,25.7036,4261002
2013-09-23,25.5057,25.7319,25.3926,25.4868,1308001
2013-09-24,25.468,25.8073,25.3832,25.5245,1276168
2013-09-25,25.5622,25.8733,25.5528,25.713,948550
2013-09-26,25.7413,25.9204,25.6282,25.7979,662074
2013-09-27,25.5905,25.8544,25.534,25.7319,1069454
2013-09-30,25.4209,25.7413,25.3926,25.6753,1210753
2013-10-01,25.6942,26.1466,25.6376,25.8167,1636589
2013-10-02,25.6471,26.1372,25.5528,26.1372,1536825
2013-10-03,26.0524,26.0524,25.6848,25.7413,1487623
2013-10-04,25.713,26.0995,25.6094,26.0901,1428776
2013-10-07,25.8827,25.977,25.7413,25.779,1297653
2013-10-08,25.7225,25.9581,25.5811,25.5905,1577870
2013-10-09,25.6942,25.878,25.2795,25.8167,1285652
2013-10-10,26.1278,26.4577,26.1278,26.4577,2042247
2013-10-11,26.4765,27.1269,26.3917,27.1269,1528047
2013-10-14,26.9195,26.9478,26.5519,26.9195,740720
2013-10-15,26.863,26.8724,26.3022,26.4105,773152
2013-10-16,26.6085,26.9384,26.4954,26.8064,1062335
2013-10-17,26.665,27.0963,26.6368,26.797,929558
2013-10-18,26.8818,27.0562,26.8158,27.0515,760097
2013-10-21,27.0326,27.1269,26.9572,27.1269,586384
2013-10-22,27.2777,27.8621,27.1929,27.7867,1293300
2013-10-23,27.7019,27.7961,27.4474,27.6359,864905
2013-10-24,27.683,27.749,27.4615,27.6641,853734
2013-10-25,27.6453,27.7301,27.3343,27.4756,882411
2013-10-28,27.5416,27.5605,27.3531,27.4662,894265
2013-10-29,27.4756,27.6264,27.0892,27.1646,954344
2013-10-30,27.2117,27.4379,27.0986,27.1929,724771
2013-10-31,27.1929,27.2683,26.7122,26.7122,1022571
2013-11-01,26.797,27.108,26.7687,27.0609,5128825
2013-11-04,27.1269,27.5133,27.0892,27.4568,995743
2013-11-05,27.372,27.617,27.1834,27.4379,1038604
2013-11-06,27.4379,27.7584,27.3154,27.4097,733752
2013-11-07,27.5793,27.5887,26.7499,26.8253,822992
2013-11-08,26.7687,27.24,26.6933,27.2211,947040
2013-11-11,27.2211,27.2685,27.0044,27.0986,574867
2013-11-12,27.0609,27.0703,26.5048,26.5519,827218
2013-11-13,26.4294,26.4954,26.1796,26.4954,904389
2013-11-14,26.5991,26.6556,26.3163,26.4482,1047291
2013-11-15,26.3446,26.8535,26.3446,26.6462,1172518
2013-11-18,26.7593,27.0986,26.5708,26.6085,656940
2013-11-19,26.5802,27.1693,26.5331,26.7216,967329
2013-11-20,26.7216,26.8158,26.1561,26.2409,864926
2013-11-21,26.288,26.7216,26.2786,26.665,1163581
2013-11-22,26.7404,27.24,26.6273,27.2306,845817
