date,open,high,low,close,volume
2013-08-07,34.3755,34.3925,34.1623,34.239,9305078
2013-08-08,34.3669,34.4181,34.1282,34.2817,9481129
2013-08-09,34.3243,34.384,34.1537,34.2475,9021737
2013-08-12,34.1452,34.1964,33.8638,33.9661,13969971
2013-08-13,34.0514,34.1537,33.6847,33.8126,13548665
2013-08-14,33.7615,33.8382,33.5568,33.7103,13787785
2013-08-15,33.5142,33.5994,33.2754,33.3351,14228087
2013-08-16,33.2839,33.4118,33.011,33.301,20565970
2013-08-19,33.301,33.3351,32.994,33.0707,11913022
2013-08-20,33.1304,33.3777,32.9598,32.9598,10237963
2013-08-21,32.9428,33.0025,32.6187,32.6443,15799053
2013-08-22,32.6784,32.849,32.4908,32.6699,10307932
2013-08-23,32.9257,32.9257,32.7211,32.849,11300683
2013-08-26,32.9172,32.9172,32.4993,32.5079,12728551
2013-08-27,32.3885,32.6102,32.235,32.5335,16739463
2013-08-28,32.4567,32.8575,32.4482,32.704,19245219
2013-08-29,32.8063,32.8063,32.4908,32.4908,14215731
2013-08-30,32.542,32.6443,32.4055,32.559,14296781
2013-09-03,32.6358,32.7467,32.235,32.3203,19068692
2013-09-04,32.3031,33.0281,32.2435,32.866,19138461
2013-09-05,32.9428,32.994,32.4567,32.6102,14290879
2013-09-06,32.7296,32.9343,32.4908,32.704,13977544
2013-09-09,33.0879,33.1179,32.8731,33.0879,10608482
2013-09-10,33.3026,33.3112,33.0793,33.1824,11757481
2013-09-11,33.2253,33.3112,33.0965,33.3112,11996844
2013-09-12,33.148,33.1652,32.8817,33.0192,12114110
2013-09-13,33.1222,33.2769,33.002,33.2339,11623631
2013-09-16,33.526,33.672,33.2769,33.3799,13399779
2013-09-17,33.337,33.5818,33.3198,33.3198,12883282
2013-09-18,33.337,34.0156,33.1394,34.007,18075171
2013-09-19,34.0499,34.0757,33.629,33.7665,14254642
2013-09-20,33.7837,33.8438,33.3112,33.8438,30679567
2013-09-23,33.6376,33.6634,33.0192,33.1824,19016948
2013-09-24,33.2597,33.3885,33.0879,33.0965,14839000
2013-09-25,33.1995,33.2253,32.8989,32.9247,11446120
2013-09-26,33.062,33.2769,32.9762,33.2769,10939377
2013-09-27,33.1308,33.1394,32.7658,32.9848,12591018
2013-09-30,32.8044,32.8951,32.4265,32.5381,18101484
2013-10-01,32.6412,32.7185,32.3148,32.5983,13192358
2013-10-02,32.478,32.478,31.9626,32.1516,25664196
2013-10-03,32.1774,32.1774,31.8939,31.9197,14437045
2013-10-04,31.997,32.0142,31.7049,31.954,17217596
2013-10-07,31.851,32.1086,31.6362,31.8252,16707707
2013-10-08,31.8681,32.1344,31.6963,32.0227,20523044
2013-10-09,32.1086,32.143,31.7908,31.851,18999156
2013-10-10,32.4436,32.521,32.1645,32.4522,17174494
2013-10-11,32.5725,32.5725,32.2289,32.4436,14266861
2013-10-14,32.2633,32.5983,32.2203,32.5639,14201200
2013-10-15,32.7958,32.959,32.2976,32.3492,21584723
2013-10-16,32.6498,32.8474,32.4522,32.6412,17995183
2013-10-17,32.6928,33.1222,32.6498,33.1137,15887641
