date,open,high,low,close,volume
2013-08-07,40.2461,40.2963,39.6816,39.9952,4852875
2013-08-08,40.1708,40.4468,39.5688,40.3297,6248327
2013-08-09,40.2879,40.6433,39.8531,40.5722,4733585
2013-08-12,40.3464,40.5387,40.0788,40.2294,4973074
2013-08-13,40.1374,40.6809,40.0538,40.5555,6379294
2013-08-14,39.042,39.2594,38.5152,38.7409,17050217
2013-08-15,38.3396,38.8078,37.8462,38.7158,9928541
2013-08-16,38.5737,38.5737,37.6121,37.6204,7749226
2013-08-19,37.6873,37.9382,37.4616,37.587,4554357
2013-08-20,37.7124,38.2559,37.6204,38.1389,8227147
2013-08-21,37.9716,38.164,37.2609,37.5703,6897003
2013-08-22,37.6288,37.934,37.4616,37.587,2912242
2013-08-23,37.5619,37.6957,37.1605,37.4532,3713571
2013-08-26,37.4281,37.5452,36.9013,36.9264,5268398
2013-08-27,36.6254,36.7424,36.2742,36.3494,5329212
2013-08-28,36.3912,37.2734,36.2532,37.0602,7103248
2013-08-29,36.9682,37.7877,36.8847,37.3027,5705619
2013-08-30,37.3612,37.5117,37.0016,37.1522,3341296
2013-09-03,37.4281,37.6288,36.8679,37.0267,5274122
2013-09-04,36.918,37.6288,36.8929,37.4616,4902762
2013-09-05,37.4866,38.4901,37.4616,38.4817,6995038
2013-09-06,38.5486,38.6155,37.587,37.6957,6742446
2013-09-09,37.9924,38.3876,37.9882,38.1774,3125608
2013-09-10,38.3876,38.4212,37.3869,37.4878,6147457
2013-09-11,37.3365,37.3869,36.8992,37.1178,6781093
2013-09-12,37.0758,37.3112,36.5628,36.6049,6442744
2013-09-13,36.8487,37.5971,36.5796,37.5887,5980532
2013-09-16,37.8999,38.0428,37.698,37.8158,3413853
2013-09-17,37.8326,38.1017,37.82,37.883,3020058
2013-09-18,37.984,38.4969,37.4205,38.3287,4266038
2013-09-19,38.396,38.6651,38.1269,38.2194,3435700
2013-09-20,38.169,38.3203,37.4878,37.5215,5397753
2013-09-23,37.5215,37.6518,37.1472,37.5803,4426172
2013-09-24,37.4121,37.5215,36.4955,36.6469,7716418
2013-09-25,36.6721,36.7815,35.9069,35.991,6924837
2013-09-26,36.0667,36.4535,35.8901,36.4283,5070822
2013-09-27,36.403,36.8319,36.3443,36.5965,5397892
2013-09-30,36.2265,36.4703,36.0919,36.3862,3819107
2013-10-01,36.3526,36.8319,36.3316,36.5292,4646009
2013-10-02,36.3105,36.9833,36.1718,36.9749,5559932
2013-10-03,36.9665,37.4029,36.6469,37.1767,5835269
2013-10-04,37.2355,37.2355,36.773,37.059,4433027
2013-10-07,36.6805,36.6974,36.1508,36.1508,4639743
2013-10-08,36.2601,36.3274,35.6462,35.6967,5176473
2013-10-09,35.7976,35.949,35.4696,35.621,5073561
2013-10-10,36.176,36.4325,36.0415,36.3358,3451535
2013-10-11,36.176,36.1928,35.5033,35.8565,5182840
2013-10-14,35.6967,35.9195,35.5117,35.806,4611874
2013-10-15,35.8901,36.218,35.5453,35.7219,5411918
2013-10-16,35.8733,36.8866,35.8228,36.8235,8316011
2013-10-17,36.6805,37.471,36.588,37.3869,5699781
2013-10-18,37.429,37.5467,36.7478,37.328,5033594
2013-10-21,37.3953,37.4626,36.9076,37.2019,2858564
2013-10-22,37.1851,37.5971,37.0169,37.5046,4372436
2013-10-23,37.4626,37.6518,37.0674,37.4542,2830884
2013-10-24,37.4794,38.0092,37.1103,37.9251,3894113
2013-10-25,38.0428,38.0428,37.5719,37.7485,3580255
2013-10-28,37.3365,38.3868,37.143,38.211,5108897
2013-10-29,38.3876,38.9006,38.3876,38.7912,5080074
2013-10-30,38.8501,39.2958,38.623,39.0183,3696051
2013-10-31,39.1024,39.178,38.581,38.7744,3717272
2013-11-01,38.8333,38.9342,38.3119,38.6483,3165069
2013-11-04,38.9006,39.4051,38.9006,39.094,3296977
2013-11-05,39.2033,39.4556,38.5558,38.7996,4399612
2013-11-06,38.8333,39.464,38.6819,39.0183,3815512
2013-11-07,39.0435,39.2958,38.5558,38.6483,4771688
2013-11-08,38.5978,38.9426,38.3371,38.8333,5590690
2013-11-11,38.8333,39.7801,38.7795,39.5817,6284088
2013-11-12,39.5565,39.5984,38.9342,38.9594,7969973
2013-11-13,41.7512,42.8444,41.3644,42.6174,21929650
2013-11-14,42.6258,43.0042,42.096,42.6174,7244749
2013-11-15,42.3903,42.9622,42.2726,42.9622,7081247
2013-11-18,42.8865,43.0883,42.2558,42.4408,4476675
2013-11-19,42.4156,42.6258,42.1633,42.3903,4136387
2013-11-20,42.7519,42.8865,42.4408,42.8528,5262711
2013-11-21,42.794,42.9369,42.4997,42.7267,4171689
2013-11-22,42.8528,43.1976,42.5753,43.1051,4121714
2013-11-25,43.3406,44.089,43.2228,43.9628,5529824
2013-11-26,43.9797,44.686,43.9797,44.5178,6409965
2013-11-27,44.6272,45.1065,44.4926,45.0224,5095418
2013-11-29,45.4681,45.4681,44.6356,44.7869,3532085
2013-12-02,44.5599,44.9551,43.904,44.0974,6346033
2013-12-03,43.9712,44.4674,43.904,44.4085,4483609
2013-12-04,44.2319,44.3833,43.1976,43.761,5641036
2013-12-05,43.8367,43.8535,43.1051,43.3406,4089648
2013-12-06,43.6601,43.8956,43.0042,43.5844,4607674
2013-12-09,43.6433,44.215,43.6097,43.8872,3852727
2013-12-10,43.8451,43.9208,43.2733,43.5424,3150299
2013-12-11,43.7621,44.8099,43.6886,44.0071,5502550
2013-12-12,44.0663,44.1423,43.5339,43.6438,3293779
2013-12-13,43.8212,44.2944,43.348,43.441,4020848
2013-12-16,43.5677,43.9171,43.4832,43.61,2743942
2013-12-17,43.779,43.8297,43.3396,43.6607,3392681
2013-12-18,43.6607,44.0916,43.0945,44.0578,3471379
2013-12-19,43.9902,44.3493,43.8115,44.1339,2954573
2013-12-20,44.2691,44.5479,44.0578,44.1677,5741004
2013-12-23,44.3029,44.9873,44.286,44.6578,2823231
2013-12-24,44.4803,44.7845,44.2015,44.5395,1788958
2013-12-26,44.6493,44.9704,44.5733,44.6409,2280636
2013-12-27,44.793,44.9028,44.4888,44.531,1421862
2013-12-30,44.5986,45.5112,44.5986,45.3507,3055569
2013-12-31,45.3169,45.4014,44.8183,45.1225,2546845
2014-01-02,44.9282,45.5535,44.7423,45.1141,2972778
2014-01-03,45.0887,45.6295,45.0549,45.2408,2492194
