date,open,high,low,close,volume
2013-08-07,65.1404,66.0243,64.8231,65.6934,2895253
2013-08-08,65.8838,66.4368,65.7115,65.9835,2630651
2013-08-09,66.0107,66.3734,65.2582,65.7206,2050474
2013-08-12,65.2945,66.2192,65.0497,66.0561,2493310
2013-08-13,66.2555,66.7487,66.0923,66.6091,2363598
2013-08-14,66.6363,66.9899,66.2736,66.5456,2165577
2013-08-15,66.5003,67.1531,66.2283,66.7451,2576861
2013-08-16,66.6997,66.8357,65.7478,65.9382,2840042
2013-08-19,65.8838,65.9382,64.1612,64.3516,3232344
2013-08-20,64.2519,65.3489,63.8076,64.9137,2718897
2013-08-21,64.6961,64.8738,64.0434,64.0706,2189760
2013-08-22,64.3697,65.494,64.3516,65.2764,2164371
2013-08-23,65.4214,66.0787,65.0225,65.7659,1966492
2013-08-26,66.0017,66.6726,65.9563,66.4912,2915937
2013-08-27,65.8747,66.9989,65.7387,66.319,2977008
2013-08-28,66.2736,67.8784,66.1376,67.5066,3197712
2013-08-29,67.3616,67.6698,66.9808,67.3888,2739544
2013-08-30,67.3434,67.4885,66.9445,67.3616,2774621
2013-09-03,68.0778,69.3924,68.0778,68.6127,4592365
2013-09-04,68.5674,69.7913,68.377,68.9844,2992852
2013-09-05,69.1839,70.435,69.0751,70.2809,3842977
2013-09-06,70.6889,71.0515,69.882,70.7251,3153956
2013-09-09,71.1144,71.4783,71.0235,71.3327,2641758
2013-09-10,71.9877,71.9877,71.1599,71.5238,3619799
2013-09-11,71.5692,71.7694,70.7597,71.6147,1866925
2013-09-12,71.2691,71.4237,70.5323,70.9052,2531506
2013-09-13,70.8143,71.2236,70.5233,71.169,2663713
2013-09-16,71.733,72.024,71.2873,71.6147,2488544
2013-09-17,71.7966,71.9513,71.451,71.7694,2361302
2013-09-18,71.6966,72.5425,71.0689,72.3242,2118027
2013-09-19,72.3333,72.7608,72.1696,72.6153,2050549
2013-09-20,72.6881,73.0155,71.4965,71.6875,3987641
2013-09-23,71.3782,72.015,71.2054,71.4055,1477805
2013-09-24,72.7517,72.7881,70.9598,71.5692,3340962
2013-09-25,71.551,72.6608,71.551,71.9513,2335172
2013-09-26,72.1332,72.2515,71.7239,71.9695,2225597
2013-09-27,71.5419,71.5783,70.7788,70.9598,2805450
2013-09-30,70.3503,71.4283,70.223,71.0508,3586023
2013-10-01,70.9507,71.9422,70.9507,71.6784,1969338
2013-10-02,71.3782,72.306,71.1963,72.2151,2046068
2013-10-03,72.0422,72.2787,71.2327,71.6966,1994917
2013-10-04,71.6966,72.7245,71.3873,72.3515,1774935
2013-10-07,71.9604,72.2424,71.4146,71.4601,2814295
2013-10-08,71.4328,72.0604,71.0871,71.1144,2516210
2013-10-09,71.1144,71.1508,70.4595,70.7415,2568990
2013-10-10,71.3964,72.0968,71.2782,72.0968,2201326
2013-10-11,71.7785,72.2878,71.2236,72.1514,2221511
2013-10-14,71.7057,73.0065,71.5329,72.8427,2341429
2013-10-15,72.397,73.1338,72.1969,72.7245,2552025
2013-10-16,73.0519,73.9797,73.0519,73.816,3081345
2013-10-17,73.6796,74.0252,73.3339,73.6705,1980287
2013-10-18,74.3163,74.9803,74.3072,74.7347,2907289
2013-10-21,74.571,74.953,74.2253,74.4709,2265790
2013-10-22,74.6802,74.8985,73.8524,74.0434,2611976
2013-10-23,73.534,73.534,71.4146,71.6875,4636100
2013-10-24,71.3873,72.1969,71.1781,71.9786,4889591
2013-10-25,74.6165,75.2714,73.7978,75.2441,6260235
2013-10-28,75.1804,75.5625,74.6893,75.4169,3741521
2013-10-29,75.135,75.1623,74.0252,74.4073,3604458
2013-10-30,74.5892,74.8894,73.9161,74.3891,2360056
2013-10-31,74.289,74.6802,73.5522,73.8433,2821134
2013-11-01,73.8615,74.0889,72.588,73.5249,2981776
2013-11-04,73.816,73.9343,73.152,73.5977,1645257
2013-11-05,73.2884,73.816,72.5971,73.061,2347936
2013-11-06,73.3794,74.0771,72.9064,74.0434,2522563
2013-11-07,74.3618,74.3891,72.87,73.1429,2827000
2013-11-08,73.061,74.8166,73.061,74.7711,2899228
2013-11-11,75.1259,75.6716,74.5437,75.4715,2612736
2013-11-12,74.9167,75.6716,74.6618,75.0895,2186223
2013-11-13,75.044,75.1529,74.38,74.9712,2264872
2013-11-14,74.953,76.0446,74.1981,76.0082,3130600
2013-11-15,76.3902,77.0497,76.2629,76.6813,3317495
2013-11-18,76.7541,76.9451,75.5626,75.9081,3401380
2013-11-19,75.9536,76.1174,75.2441,75.6444,2777458
2013-11-20,75.7626,76.4039,75.5534,75.8263,2075538
2013-11-21,76.2447,76.5722,75.658,76.2811,2815379
2013-11-22,76.3539,76.4266,75.5534,76.0992,2274827
2013-11-25,75.608,75.9536,74.7529,75.1441,2668883
2013-11-26,75.135,75.2714,73.5158,74.3618,2972768
2013-11-27,74.1435,74.7247,73.5795,74.098,2062780
2013-11-29,74.3618,74.8075,74.0434,74.1344,1296561
2013-12-02,74.3527,75.0667,73.6978,74.3072,2520462
2013-12-03,74.0161,75.1895,73.6796,75.1532,2827708
2013-12-04,74.9798,75.4178,73.9578,74.6878,1959979
2013-12-05,74.414,74.6983,74.0239,74.4688,1962797
2013-12-06,75.2353,75.3265,74.2863,74.4505,1885917
2013-12-09,74.1403,74.2315,73.0225,73.173,4401296
2013-12-10,72.7259,72.7259,71.9047,72.2149,4072577
2013-12-11,72.4157,72.5083,71.4028,71.5123,2803489
2013-12-12,71.5488,72.2058,71.2659,71.6674,3501959
2013-12-13,71.7952,72.3235,71.4484,71.8499,2795665
2013-12-16,72.1054,72.1784,71.1884,72.0142,3993883
2013-12-17,72.2332,72.2332,71.234,71.3024,2713418
2013-12-18,70.9831,71.1382,69.8972,71.0926,5006347
2013-12-19,70.7549,71.1291,70.4173,70.9739,2461406
2013-12-20,71.2112,71.8134,70.9557,71.5123,3460771
2013-12-23,71.8226,71.8499,70.8736,70.9648,2524614
2013-12-24,71.1017,71.7496,70.9648,71.6583,1166369
2013-12-26,71.9503,72.078,71.7404,71.8773,1533623
2013-12-27,72.0872,72.6867,71.9959,72.4887,2173264
2013-12-30,72.6894,72.7524,71.7222,71.7952,1871556
2013-12-31,71.8591,72.6438,71.5397,72.5708,1848916
2014-01-02,72.4522,73.2369,71.8408,72.1054,2505462
2014-01-03,72.1328,72.8537,71.8499,71.8591,1916517
2014-01-06,73.2825,73.2917,72.0872,72.5343,3605777
2014-01-07,72.589,72.8902,72.2241,72.8263,2809978
2014-01-08,72.4613,72.4796,70.9922,71.3298,4266156
2014-01-09,71.4211,71.4211,70.2713,70.9648,3380948
2014-01-10,71.0013,71.5306,70.6363,71.2203,2615640
2014-01-13,71.0834,71.3298,69.8516,70.0249,4021553
2014-01-14,70.0706,70.8462,69.8698,70.7458,3127341
2014-01-15,70.9009,71.0834,70.1618,70.4264,3427395
2014-01-16,70.5633,70.6819,70.1071,70.4082,1865763
2014-01-17,70.8097,70.8097,70.0706,70.2348,2828315
2014-01-21,70.7549,71.1564,69.6873,70.3991,3661745
2014-01-22,70.5359,70.9192,70.3443,70.7914,2183718
2014-01-23,70.3991,70.3991,69.1763,69.4592,7956303
