date,open,high,low,close,volume
2013-08-07,37.6696,38.0319,37.5699,37.7783,5419298
2013-08-08,38.0502,38.5302,38.0501,38.4577,11208792
2013-08-09,38.5393,39.0693,38.3807,38.5212,7842461
2013-08-12,39.0013,39.0013,38.503,38.5302,6014323
2013-08-13,38.5212,38.7386,38.0872,38.3128,7211142
2013-08-14,38.4306,38.494,38.0319,38.349,9172741
2013-08-15,36.5915,38.186,36.4194,38.0772,13996871
2013-08-16,38.0954,38.4215,38.0319,38.2313,5902095
2013-08-19,37.9414,38.4215,37.9142,37.9504,4687122
2013-08-20,37.9051,37.9413,37.5699,37.8236,6072172
2013-08-21,37.4793,37.9866,37.425,37.6333,4250616
2013-08-22,37.742,37.9957,37.5699,37.887,3369822
2013-08-23,38.0501,38.1044,37.7058,38.0048,3728459
2013-08-26,36.9629,38.2584,36.9629,37.9142,4884190
2013-08-27,37.4612,37.7602,37.4068,37.5708,5792754
2013-08-28,37.6061,37.7692,37.3978,37.5337,3218080
2013-08-29,37.425,37.8689,37.4159,37.6877,3238894
2013-08-30,37.6877,37.887,37.4929,37.6333,2748189
2013-09-03,37.7058,38.1678,37.7058,37.887,5744593
2013-09-04,38.0501,38.4396,37.7783,38.1135,5427940
2013-09-05,38.0138,38.34,37.9142,38.1497,3360923
2013-09-06,38.186,38.3807,37.7511,38.2675,8196707
2013-09-09,38.8473,38.9379,38.3853,38.7386,5917117
2013-09-10,38.8292,39.2369,38.8201,39.0376,4123331
2013-09-11,38.9741,39.5811,38.9741,39.3456,4457284
2013-09-12,39.2278,39.6989,39.1825,39.5449,4545831
2013-09-13,39.6717,39.708,39.255,39.6536,4092068
2013-09-16,39.8529,39.871,39.1735,39.4543,4752173
2013-09-17,39.3909,39.8439,39.3728,39.6989,3130583
2013-09-18,39.7261,40.0885,39.5721,39.8529,3464332
2013-09-19,39.9526,40.4508,39.8982,40.1519,3659148
2013-09-20,39.9707,39.9707,39.11,39.1372,8750596
2013-09-23,38.9288,39.5132,38.9288,39.1916,3934794
2013-09-24,38.4759,39.3637,38.4577,38.8473,6571767
2013-09-25,38.9379,39.1417,38.6027,38.7114,6168939
2013-09-26,38.947,39.3003,38.8111,39.0738,4970729
2013-09-27,38.8473,38.9923,38.4759,38.5755,4011077
2013-09-30,38.1044,38.7658,38.1044,38.6118,4609536
2013-10-01,38.6571,39.0693,38.4849,39.0013,3880326
2013-10-02,38.7929,39.0874,38.5121,38.8111,3656873
2013-10-03,38.6933,38.8292,38.0501,38.1407,6358485
2013-10-04,38.1407,38.3853,38.1407,38.2947,4490728
2013-10-07,38.0863,38.2448,37.8145,37.9776,5508722
2013-10-08,38.1497,38.2766,37.6061,37.733,4797105
2013-10-09,37.7239,37.8326,37.3389,37.5156,5269865
2013-10-10,37.5971,37.8598,37.5065,37.6877,4727132
2013-10-11,37.5608,37.742,37.2619,37.6605,5854948
2013-10-14,37.3887,37.9957,37.3072,37.8055,4145560
2013-10-15,37.3797,37.5427,36.5462,36.8723,12023676
2013-10-16,36.972,37.0354,36.4646,36.6368,6689370
2013-10-17,36.3731,37.0096,36.1821,36.955,5787159
2013-10-18,37.0187,37.7734,36.8277,37.6188,4780076
2013-10-21,37.6552,37.9326,37.6279,37.8735,3279582
2013-10-22,37.2733,37.4188,36.7823,37.0187,7289175
2013-10-23,36.7823,36.7823,35.4001,35.5183,8840998
2013-10-24,35.6638,35.8638,35.5274,35.7274,2930192
2013-10-25,35.9821,36.0093,35.6729,35.8184,3713204
2013-10-28,35.9093,36.3094,35.491,36.0912,4959315
2013-10-29,36.3276,36.5686,36.0639,36.1594,4635178
2013-10-30,36.3185,36.3549,35.3273,35.4001,5010880
2013-10-31,35.2273,35.6911,35.1728,35.291,6123428
2013-11-01,35.4456,35.7184,35.3092,35.5865,4165572
2013-11-04,34.9909,35.491,34.9909,35.2364,4356737
2013-11-05,35.0545,35.2364,35.0091,35.0182,3781013
2013-11-06,35.0545,35.3637,34.8636,35.2546,4011542
2013-11-07,34.9727,36.0275,34.9636,35.8729,7632058
2013-11-08,36.0366,36.3094,35.7547,36.2912,4985194
2013-11-11,36.1457,36.3458,35.9457,36.2549,2856872
2013-11-12,36.3185,36.7732,36.1003,36.5549,5935502
2013-11-13,36.564,37.5552,36.1457,37.5461,7005731
2013-11-14,37.4006,38.8146,37.0278,37.346,10528518
