date,open,high,low,close,volume
2013-08-07,12.1845,12.1845,11.9979,12.1034,3135932
2013-08-08,12.152,12.2088,12.0628,12.0872,1628931
2013-08-09,12.0385,12.1277,12.006,12.079,6513965
2013-08-12,12.0304,12.1926,12.0223,12.1034,2883740
2013-08-13,12.1845,12.1845,11.9979,12.1196,2052938
2013-08-14,12.1115,12.1764,12.0223,12.1034,1834163
2013-08-15,12.0628,12.0872,11.9492,11.9898,2667738
2013-08-16,11.9736,12.1683,11.9736,12.1115,2794906
2013-08-19,12.0466,12.0627,11.8762,11.8843,2203820
2013-08-20,11.9087,12.0628,11.8762,12.0223,2020783
2013-08-21,11.9817,12.0304,11.86,11.8843,2296331
2013-08-22,11.8519,12.1439,11.8519,12.0953,1734527
2013-08-23,12.1196,12.1196,11.9655,12.0628,2595920
2013-08-26,12.0385,12.079,11.9411,11.9492,2045201
2013-08-27,11.8925,11.9087,11.568,11.572,3442853
2013-08-28,11.5923,11.7627,11.5274,11.5842,2882113
2013-08-29,11.568,11.714,11.5517,11.5923,2266100
2013-08-30,11.6815,11.6815,11.5031,11.5355,2483818
2013-09-03,11.6978,11.7789,11.5152,11.5761,2718196
2013-09-04,11.5599,11.7221,11.5517,11.6815,2233305
2013-09-05,11.6329,11.7627,11.6004,11.7464,2044937
2013-09-06,11.8032,11.8113,11.5599,11.5761,3053096
2013-09-09,11.6085,11.6897,11.5517,11.6613,2084165
2013-09-10,11.6978,11.714,11.6004,11.6572,3812375
2013-09-11,11.6572,11.7708,11.5923,11.7464,2448363
2013-09-12,11.7627,11.787,11.6897,11.7464,2230381
2013-09-13,11.7302,11.787,11.6897,11.7464,1691307
2013-09-16,11.8195,11.8681,11.7708,11.8195,2078919
2013-09-17,11.787,11.8925,11.787,11.8925,1422732
2013-09-18,11.8762,12.006,11.7951,11.8195,4369546
2013-09-19,11.8195,11.8762,11.5883,11.6045,4183899
2013-09-20,11.6004,11.7221,11.5923,11.6085,4291427
2013-09-23,11.5842,11.6166,11.5031,11.5517,2231591
2013-09-24,11.5517,11.7302,11.5193,11.6207,2513076
2013-09-25,11.6572,11.7464,11.5842,11.6734,2669267
2013-09-26,11.6653,11.7302,11.5761,11.6734,1709061
2013-09-27,11.5923,11.6815,11.5599,11.5842,1584654
2013-09-30,11.4706,11.6897,11.4138,11.6653,2862325
2013-10-01,11.6166,11.8113,11.6166,11.7951,3717064
2013-10-02,11.7059,11.8195,11.6815,11.8195,2823831
2013-10-03,11.7789,11.8235,11.7302,11.787,2905750
2013-10-04,11.7951,11.9411,11.7709,11.9006,1620615
2013-10-07,11.8195,11.8195,11.6572,11.6572,1436750
2013-10-08,11.6491,11.6815,11.5193,11.5761,2426003
2013-10-09,11.5923,11.6613,11.5144,11.6248,2454218
2013-10-10,11.7221,11.9249,11.7221,11.9241,2149822
2013-10-11,11.7627,12.006,11.7627,11.9898,1892157
2013-10-14,11.9574,12.079,11.8925,12.0466,3664483
2013-10-15,11.9087,11.9817,11.86,11.9209,3714610
2013-10-16,11.9492,12.1439,11.9249,12.0953,2537062
2013-10-17,12.0304,12.2575,11.9492,12.2251,3030361
2013-10-18,12.1683,12.2251,11.4301,11.6572,9811376
2013-10-21,11.495,11.6897,11.4625,11.6815,3955031
2013-10-22,11.6978,11.7708,11.641,11.714,4115225
2013-10-23,11.7059,11.8032,11.641,11.8032,3722763
2013-10-24,11.8438,11.8843,11.7708,11.8113,3143792
2013-10-25,11.8195,11.9411,11.7627,11.933,2809747
2013-10-28,11.933,12.006,11.86,11.9249,2844140
2013-10-29,11.9817,12.0136,11.8519,11.9006,3355979
2013-10-30,11.9436,11.9682,11.8206,11.919,2801568
2013-10-31,11.9272,11.9436,11.8288,11.8411,2708065
2013-11-01,11.8288,11.8821,11.714,11.7714,2320559
2013-11-04,11.8042,11.8124,11.7222,11.7468,2137206
2013-11-05,11.714,11.7632,11.6729,11.6729,2984455
2013-11-06,11.6975,11.7714,11.6729,11.7673,2638739
2013-11-07,11.8042,11.87,11.7468,11.7632,3598824
2013-11-08,11.7878,12.0667,11.755,11.9847,3941477
2013-11-11,12.0011,12.0585,11.9272,11.9929,2398531
2013-11-12,11.96,11.9847,11.8616,11.9026,2018810
2013-11-13,11.878,12.0257,11.8451,12.0175,1622862
2013-11-14,12.0011,12.1405,11.9929,12.0913,1905593
2013-11-15,12.0831,12.1405,12.0503,12.0995,2563271
2013-11-18,12.1569,12.1897,12.0749,12.0995,2461725
2013-11-19,12.0667,12.1897,12.0585,12.1077,2201473
2013-11-20,12.1159,12.1405,12.0503,12.0995,2145832
2013-11-21,12.1405,12.2225,12.0995,12.1569,3316834
2013-11-22,12.1815,12.2595,12.0995,12.2472,1511608
2013-11-25,12.2554,12.3784,12.2389,12.3292,2098840
2013-11-26,12.3128,12.3784,12.2964,12.362,2329783
2013-11-27,12.362,12.5014,12.362,12.4686,2131078
2013-11-29,12.444,12.4932,12.4194,12.4194,997376
2013-12-02,12.444,12.5096,12.4276,12.444,3105300
2013-12-03,12.3456,12.4358,12.1979,12.2472,3224165
2013-12-04,12.2389,12.2882,12.1651,12.2307,2392012
2013-12-05,12.2307,12.2307,12.0503,12.0503,3424049
2013-12-06,12.1815,12.2307,12.1323,12.1733,3502136
2013-12-09,12.1815,12.2225,12.0914,12.1651,3221798
2013-12-10,12.1651,12.2061,12.0913,12.0995,2441141
