date,open,high,low,close,volume
2013-08-07,32.4127,32.5059,32.0736,32.294,1198967
2013-08-08,32.3957,32.472,31.8533,32.0143,1743459
2013-08-09,31.955,32.7602,31.938,32.472,1814911
2013-08-12,32.2516,32.2856,31.6922,31.938,1727548
2013-08-13,31.9974,31.9974,31.4125,31.4803,1850116
2013-08-14,31.4464,31.5397,31.1582,31.3362,2221240
2013-08-15,31.1074,31.1074,30.4971,30.6497,2227550
2013-08-16,30.514,30.5734,29.7173,29.7342,2462540
2013-08-19,29.7427,29.8953,29.463,29.48,2708006
2013-08-20,29.5054,30.0648,29.5054,29.9292,3168912
2013-08-21,29.8275,30.5479,29.3274,30.0309,2768551
2013-08-22,29.9461,30.1241,29.7597,30.0224,1626341
2013-08-23,30.1496,30.6158,29.9631,30.5818,1477040
2013-08-26,30.5734,30.6836,30.336,30.4208,1390393
2013-08-27,30.0987,30.4208,29.802,30.3615,2085990
2013-08-28,30.3615,30.6665,30.1029,30.2259,2012038
2013-08-29,30.0394,30.2343,29.8444,30.1241,1059411
2013-08-30,30.2259,30.3445,29.7342,29.8699,2031790
2013-09-03,30.2004,30.2598,29.5054,29.9207,2507749
2013-09-04,29.9207,30.3149,29.6834,30.1665,1629519
2013-09-05,30.175,30.5818,30.0733,30.2428,2304602
2013-09-06,30.4717,31.3447,30.4632,30.9802,2687711
2013-09-09,31.2479,32.1019,30.9405,32.1019,2692973
2013-09-10,32.3239,32.4862,31.7005,31.8457,2766410
2013-09-11,31.8372,32.0165,31.5895,31.9653,1904364
2013-09-12,31.8799,32.008,31.4016,31.6493,2356889
2013-09-13,31.6237,31.7646,31.4785,31.5724,1408130
2013-09-16,31.914,32.8534,31.7261,31.8713,1998183
2013-09-17,31.9482,32.3325,31.8542,32.0677,1702372
2013-09-18,32.0763,33.622,31.6279,33.4427,4316779
2013-09-19,33.5195,33.938,33.1779,33.2121,2522573
2013-09-20,33.2206,33.3317,32.5289,32.5289,3326742
2013-09-23,32.5545,32.9132,32.3581,32.5801,2368161
2013-09-24,32.5887,32.8449,32.2983,32.3239,2757419
2013-09-25,32.3666,32.7509,32.1617,32.4435,2713031
2013-09-26,32.4093,32.8961,32.1958,32.879,2732188
2013-09-27,32.7595,33.0242,32.3666,32.7082,2254559
2013-09-30,32.5374,32.7424,32.0421,32.1275,3333103
2013-10-01,32.2642,33.1352,31.8628,32.6826,2698079
2013-10-02,33.6049,33.6306,32.7595,33.0925,4345013
2013-10-03,32.9303,33.1694,32.1788,32.6399,3040566
2013-10-04,32.5716,32.7424,32.1361,32.5374,2234222
2013-10-07,32.1958,32.5545,32.0592,32.23,1948732
2013-10-08,32.23,32.435,31.9482,32.0336,2038281
2013-10-09,32.1104,32.546,31.8799,31.9482,2503689
2013-10-10,32.2983,32.9644,32.2471,32.9474,1965480
2013-10-11,32.9474,33.4,32.6228,33.3914,1651218
2013-10-14,33.0755,33.3573,32.9644,33.2804,1951525
2013-10-15,33.1096,33.464,32.8534,33.3146,2680526
2013-10-16,33.3829,34.1686,33.3744,34.143,2288063
2013-10-17,34.0319,34.365,33.9978,34.1942,3346389
2013-10-18,34.16,34.2881,33.9636,34.0063,2267117
2013-10-21,34.0149,34.1088,33.8526,34.0746,1980161
2013-10-22,34.3052,34.8091,34.16,34.7408,3391708
2013-10-23,34.4504,34.8005,34.1771,34.2711,2644921
2013-10-24,34.4589,34.6383,34.0405,34.5187,1879272
2013-10-25,34.4846,35.0055,34.4034,34.9457,2693655
2013-10-28,34.8432,34.8432,34.254,34.6639,2661241
2013-10-29,34.6468,34.6468,34.3223,34.5358,2308524
2013-10-30,34.5102,34.7408,34.0576,34.1942,2682209
2013-10-31,34.2027,34.3394,33.7757,34.1173,2771783
2013-11-01,34.254,34.7408,33.938,34.6468,2056981
2013-11-04,34.7237,34.9201,34.4846,34.9116,1657360
2013-11-05,34.6639,34.7066,34.0063,34.0832,2025305
2013-11-06,34.2454,34.3394,33.8697,34.0661,1656563
2013-11-07,34.1003,34.1771,33.3786,33.511,2240574
2013-11-08,33.4085,33.7074,32.546,33.2633,2155989
2013-11-11,33.2206,33.6434,33.0071,33.3231,1480444
2013-11-12,33.3231,33.4427,32.6826,32.9388,2003172
2013-11-13,32.862,33.306,32.7168,33.1182,1809018
2013-11-14,33.3317,33.6647,33.1779,33.2975,1992148
2013-11-15,33.2377,33.5665,33.2377,33.4598,2222525
2013-11-18,33.4171,33.5537,33.1267,33.2377,2162514
2013-11-19,33.2206,33.3829,32.8193,32.9815,1932526
2013-11-20,32.9644,33.3231,32.3923,32.5289,1529010
2013-11-21,32.6826,33.0029,32.4435,32.8961,1865374
2013-11-22,32.8363,32.9047,32.593,32.8278,1232589
2013-11-25,32.8363,33.0328,32.6741,32.7595,1642081
2013-11-26,32.7082,32.8705,32.499,32.5033,2358178
2013-11-27,32.5887,32.8961,32.4905,32.8705,1787003
2013-11-29,32.973,33.1011,32.3752,32.3923,1239775
2013-12-02,32.3837,32.4435,31.9311,32.1104,2114085
2013-12-03,32.0507,32.1531,31.8713,31.9823,1968768
2013-12-04,31.7176,32.2898,31.598,31.8457,2118783
2013-12-05,31.7347,31.9994,31.4358,31.7859,2066253
2013-12-06,32.1788,32.3752,32.0549,32.3154,1560808
2013-12-09,32.3666,32.5204,32.008,32.3923,2007295
2013-12-10,32.3496,32.5204,32.2471,32.2556,1888443
2013-12-11,32.1873,32.2812,31.1027,31.1625,2093373
2013-12-12,31.0856,31.3675,30.7526,31.2308,3216439
2013-12-13,31.3333,31.7176,30.8422,30.9917,2339145
2013-12-16,31.0003,31.1638,30.7335,31.1036,2800518
2013-12-17,31.1294,31.4134,30.9831,31.2671,3776219
2013-12-18,31.2413,32.0245,30.9745,31.9814,5075440
2013-12-19,31.9126,31.9126,31.1466,31.6114,3082652
2013-12-20,31.4823,31.7921,31.4823,31.6974,2602413
2013-12-23,32.2052,32.2052,31.7663,31.8351,2201941
2013-12-24,31.7663,31.9427,31.5339,31.8179,929538
2013-12-26,31.947,32.231,31.8351,31.9556,2132072
2013-12-27,31.9728,32.0589,31.7921,32.0073,2480846
2013-12-30,32.0417,32.2655,31.9814,32.0073,1117794
2013-12-31,31.9987,32.1536,31.663,31.8007,2593215
2014-01-02,31.8351,31.8523,31.4564,31.7663,1985472
2014-01-03,31.706,32.1536,31.6974,32.0503,1840099
2014-01-06,32.3773,32.4806,31.9728,32.188,3030580
2014-01-07,32.2655,32.6355,32.188,32.472,2850112
2014-01-08,32.429,32.5667,32.0847,32.429,2382929
2014-01-09,32.4634,32.4806,31.6458,32.0159,2916914
2014-01-10,32.1794,32.4677,32.0933,32.3601,1721505
2014-01-13,32.1105,32.3085,31.4909,31.6286,2397424
2014-01-14,31.7663,32.1622,31.6854,32.0331,1597010
2014-01-15,32.0761,32.4118,32.009,32.2827,1909421
2014-01-16,32.2569,32.3429,31.9642,32.0933,2250449
2014-01-17,32.1579,32.2569,31.6802,31.8265,2432530
2014-01-21,32.0159,32.2999,31.7233,32.1364,1522324
2014-01-22,32.2741,32.6269,32.2138,32.4892,1995654
2014-01-23,32.2655,32.3773,32.0245,32.2052,2216822
2014-01-24,31.9556,32.0245,31.422,31.62,2855041
2014-01-27,31.5425,31.7577,31.2671,31.422,3319431
2014-01-28,31.4737,32.1278,31.4048,32.0417,2752921
2014-01-29,31.7146,32.0245,31.4349,31.8523,3230181
2014-01-30,31.4134,33.6855,31.4134,33.4015,4294299
2014-01-31,32.8679,33.7027,32.756,33.3585,4104532
2014-02-03,33.4101,33.4704,32.7087,32.8507,2916138
