date,open,high,low,close,volume
2013-08-07,68.0215,68.1108,67.4324,67.6555,1534480
2013-08-08,68.0037,68.4411,67.4324,68.0394,1776855
2013-08-09,67.9858,68.2893,67.5484,67.8073,1781090
2013-08-12,67.5038,68.3072,67.3743,67.9412,1643693
2013-08-13,68.0662,68.1019,67.3699,67.8251,1069595
2013-08-14,67.8787,68.3786,67.7269,67.7359,1475718
2013-08-15,67.1735,67.5751,66.5308,66.8789,1757975
2013-08-16,66.5576,67.2985,66.4683,66.87,2274806
2013-08-19,66.7361,66.8432,65.9684,65.9952,1574149
2013-08-20,65.9595,66.8298,65.8077,66.5843,1327043
2013-08-21,66.3612,66.9325,65.8256,66.4147,1565215
2013-08-22,66.4861,67.2003,66.3879,66.9414,1457077
2013-08-23,67.2271,67.2806,66.5486,66.9682,808171
2013-08-26,66.9592,67.0396,66.2273,66.2451,1310760
2013-08-27,65.4506,65.6113,64.3794,64.4866,1848024
2013-08-28,64.5133,65.3881,64.2455,64.7633,1480688
2013-08-29,64.5937,65.281,64.2724,64.7901,842692
2013-08-30,64.8883,64.9061,64.2433,64.5133,1383319
2013-09-03,65.2096,65.8613,64.2991,64.7008,1762527
2013-09-04,64.6651,65.1114,64.3973,64.7544,1990830
2013-09-05,64.7544,65.7095,64.4687,65.4774,1144726
2013-09-06,65.7006,65.772,64.2634,65.3346,2075173
2013-09-09,65.3703,65.4417,64.5937,65.1203,1872604
2013-09-10,65.5667,65.9238,65.4149,65.7452,1395289
2013-09-11,65.7006,65.8791,65.2364,65.6649,1573535
2013-09-12,65.7541,65.7988,65.1918,65.2632,1312298
2013-09-13,65.4149,65.5845,64.924,65.3881,1379577
2013-09-16,66.3612,66.5576,65.7452,66.2273,1388407
2013-09-17,66.2808,66.8075,65.7809,66.745,1986758
2013-09-18,66.7896,67.4324,66.3165,66.4147,3036079
2013-09-19,66.5665,66.7894,65.5399,66.1023,1936489
2013-09-20,66.1648,66.4951,65.8434,66.1023,2600046
2013-09-23,65.8613,65.9416,64.8525,65.1293,1659409
2013-09-24,64.9686,65.406,64.7365,64.915,2014154
2013-09-25,64.8704,65.7452,64.4696,65.2096,3092493
2013-09-26,65.281,65.5756,64.308,64.6651,2064895
2013-09-27,64.5044,65.0936,64.3437,64.8347,2070126
2013-09-30,64.2277,64.8793,63.8081,64.674,2040148
2013-10-01,64.6294,65.0846,64.4151,64.8704,2017325
2013-10-02,64.4776,65.1593,64.4508,64.8793,2526108
2013-10-03,64.6829,64.8972,64.2812,64.6472,2411406
2013-10-04,64.9775,65.3078,64.5937,65.1382,1645516
2013-10-07,64.5937,64.6196,64.0045,64.1652,1497444
2013-10-08,64.0581,64.2098,63.2973,63.3261,1914825
2013-10-09,63.4064,63.5582,63.0494,63.2636,2049356
2013-10-10,64.1439,65.3116,64.0631,65.2308,2423702
2013-10-11,64.9793,65.6799,64.4942,65.5362,1807779
2013-10-14,65.1769,65.644,64.8086,65.5542,2159541
2013-10-15,65.0422,65.7787,64.8356,65.132,2006958
2013-10-16,66.2548,66.8117,65.0601,66.3536,3450812
2013-10-17,66.0931,67.162,65.9584,67.0812,2655664
2013-10-18,66.9644,67.5034,66.3446,67.4045,3070381
2013-10-21,67.3866,67.5572,67.0093,67.4764,1854175
2013-10-22,67.4495,68.0782,67.18,67.8716,1989527
2013-10-23,67.5932,67.8537,67.4315,67.5842,1818365
2013-10-24,67.6111,67.674,67.0812,67.2069,2247550
2013-10-25,67.2069,67.701,67.0812,67.692,1816742
2013-10-28,67.6111,68.1411,67.3596,67.8177,1629327
2013-10-29,67.8986,67.9704,67.2069,67.5483,1607558
2013-10-30,67.6471,67.7728,66.9734,67.1979,1615509
2013-10-31,67.0183,67.2698,66.0482,66.0482,2181225
2013-11-01,66.129,66.4524,65.5631,65.9045,1796809
2013-11-04,65.9763,66.0931,65.5721,65.7248,1228709
2013-11-05,65.5272,66.4883,65.5003,65.8326,1939016
2013-11-06,66.4434,66.4704,65.9602,66.3626,1483120
2013-11-07,66.5512,66.6859,65.4374,65.4823,1917300
2013-11-08,65.8236,67.9704,65.5003,67.8357,3490167
2013-11-11,67.8357,68.0962,67.3956,67.7459,1563394
2013-11-12,67.5123,67.5572,66.3536,66.6321,2225383
2013-11-13,66.4255,66.7129,65.8685,66.7129,2426387
2013-11-14,66.3895,67.1261,66.0662,67.0812,2485908
2013-11-15,67.3147,67.9076,67.1171,67.4944,2082814
2013-11-18,67.5483,68.2669,67.3866,67.6471,1559087
2013-11-19,67.7638,68.177,67.5304,67.8177,1699803
2013-11-20,67.9974,68.1321,67.2159,67.5483,1813733
2013-11-21,67.7459,68.7878,67.5932,68.5633,1996139
2013-11-22,68.5723,69.1471,68.3859,69.0034,2259718
2013-11-25,69.1202,69.4615,68.4914,68.5543,1821707
2013-11-26,68.689,69.0304,68.4196,68.8148,2615110
2013-11-27,68.7609,69.6053,68.6172,69.5334,1834057
2013-11-29,69.749,69.9286,69.0933,69.1202,1015815
2013-12-02,69.0304,69.9735,69.0304,69.6142,2303379
2013-12-03,69.3627,69.4795,67.7324,67.9255,3207518
2013-12-04,67.8986,68.6621,67.5303,68.0154,2309177
2013-12-05,67.692,67.8357,67.189,67.3866,2031088
2013-12-06,68.2309,68.5624,67.7594,68.4196,1717262
2013-12-09,68.9585,68.9765,68.3252,68.5184,1402456
2013-12-10,68.186,69.0663,68.0962,68.7699,2867435
2013-12-11,68.6801,68.7699,67.5752,67.7998,2430018
2013-12-12,67.8088,68.3657,67.6022,68.1052,1884296
2013-12-13,68.0603,68.5094,67.4944,67.7099,1690112
2013-12-16,67.4584,67.9704,67.4495,67.7998,2370491
2013-12-17,67.7908,67.8177,66.8387,67.0542,2496100
2013-12-18,67.153,67.9525,66.3985,67.9435,3258328
2013-12-19,67.7099,68.5408,67.2878,68.2669,2535866
2013-12-20,68.5184,68.9316,68.4555,68.5992,2630133
2013-12-23,68.9226,69.5154,68.6082,69.1831,1553740
2013-12-24,69.246,69.4526,69.0394,69.2819,415414
2013-12-26,69.4526,69.5873,69.2819,69.3987,663373
2013-12-27,69.6232,70.3867,69.3359,70.243,2022019
2013-12-30,70.243,70.3239,69.4885,69.6232,1251165
2013-12-31,69.6502,69.8657,69.4795,69.6861,1292325
2014-01-02,68.3208,69.3627,68.3208,68.8058,1742055
2014-01-03,68.9944,69.3717,68.8687,69.1292,1362219
2014-01-06,69.4256,70.0095,69.0304,69.0394,2966276
2014-01-07,68.8867,69.8388,68.8867,69.5514,1997717
2014-01-08,69.6142,70.8089,69.6142,70.7101,2929352
2014-01-09,70.9167,71.2221,70.6472,71.1323,3017771
2014-01-10,71.0335,71.0874,70.252,70.755,1975876
2014-01-13,70.484,70.7731,69.7072,69.8879,1543088
2014-01-14,70.1137,70.6286,69.6259,70.4569,1673608
2014-01-15,70.5834,71.4686,70.5834,71.2157,2355835
2014-01-16,72.8868,73.4197,71.2157,73.1036,4537593
2014-01-17,74.2056,76.247,73.8533,74.305,4840211
2014-01-21,74.7476,76.1296,74.6256,75.9761,4349649
2014-01-22,76.0709,76.265,75.3799,76.0664,2679696
2014-01-23,75.5696,75.678,74.2779,74.6663,2985915
2014-01-24,74.1875,74.3321,73.1939,73.1939,2343394
2014-01-27,73.3023,73.763,72.4622,72.9862,3382784
2014-01-28,73.5191,73.6546,72.932,73.3836,2296289
2014-01-29,72.8055,73.4387,72.128,72.1461,3147981
2014-01-30,73.0765,73.8172,72.6519,73.7269,2028985
2014-01-31,72.5616,72.9862,72.0648,72.1551,2234925
2014-02-03,72.1551,72.6068,70.746,70.8453,3092913
2014-02-04,71.2428,71.7667,70.5969,71.2518,2527634
2014-02-05,71.2428,71.4777,70.484,71.1886,2453126
2014-02-06,71.2789,72.1461,70.9808,72.11,2213473
2014-02-07,72.2816,72.9862,71.8751,72.1642,1997367
2014-02-10,72.3448,72.5977,71.577,72.119,1702057
2014-02-11,72.1009,73.4107,71.9474,73.1668,2198011
2014-02-12,73.2933,73.8624,72.8236,73.1849,1395675
2014-02-13,72.67,73.3836,72.3629,73.2933,1589684
2014-02-14,73.1758,73.8895,73.1217,73.7269,1859022
2014-02-18,75.4521,75.4521,73.5372,73.6636,1551831
2014-02-19,73.3113,73.5823,71.7848,71.9654,2625875
2014-02-20,72.2364,72.5345,71.4144,72.2455,2147856
2014-02-21,72.2635,72.9591,72.0919,72.4713,1858854
2014-02-24,72.5164,73.9075,72.4622,73.4739,2518891
2014-02-25,73.4017,73.4739,72.5119,72.9049,2008677
2014-02-26,73.23,73.4739,72.408,73.2842,1185583
2014-02-27,73.1578,73.483,72.6248,73.4739,1643309
2014-02-28,73.6004,74.6573,73.5372,73.8714,2453025
2014-03-03,73.0042,73.352,72.5806,73.1488,1747994
2014-03-04,72.4893,74.2688,72.4893,74.0972,1991884
2014-03-05,74.1785,74.9553,74.1785,74.9192,2427158
2014-03-06,75.0095,75.5063,74.7114,74.8108,1950133
2014-03-07,75.3347,76.4638,75.2354,75.8586,2368598
2014-03-10,75.7141,75.9761,75.2896,75.958,1698118
2014-03-11,75.9309,75.9309,74.9102,75.1721,1236415
2014-03-12,74.7927,75.4521,74.5236,75.3889,1533601
2014-03-13,75.7322,75.9219,74.6392,74.7837,1703342
2014-03-14,74.7476,75.4702,74.576,74.8469,1587532
2014-03-17,75.2083,76.1296,75.2083,76.0303,1593820
2014-03-18,76.0574,76.509,75.678,76.4367,2130150
2014-03-19,76.5361,77.4981,75.7412,76.8342,3084277
2014-03-20,76.6084,78.4782,76.4819,78.2524,3300944
2014-03-21,79.1195,79.3092,78.2885,78.4692,4325197
2014-03-24,78.7943,79.1602,78.1819,78.5414,1798765
2014-03-25,78.7221,78.7266,77.8188,78.0627,2331151
2014-03-26,78.5775,78.5775,77.06,77.069,2211332
2014-03-27,77.0781,77.77,76.2832,76.9065,2380056
2014-03-28,77.3491,77.8368,76.8704,77.4394,1895027
2014-03-31,77.873,78.8485,77.8007,78.5866,2727491
2014-04-01,78.7492,79.0111,78.1711,78.8214,2418576
2014-04-02,79.0382,79.2911,78.8214,79.1376,2557970
2014-04-03,79.0834,79.1918,78.5595,78.9569,1580097
2014-04-04,79.3363,79.517,77.8639,77.9091,2331734
2014-04-07,77.7194,78.0356,76.4277,76.6174,3579300
2014-04-08,76.7258,76.8252,75.7954,76.4458,2302180
2014-04-09,76.5722,76.6897,76.1477,76.4096,2487022
2014-04-10,76.4277,76.6806,74.2508,74.2598,3505202
2014-04-11,73.5511,74.4415,72.5062,73.7238,3193912
2014-04-14,74.4415,74.6778,73.3512,74.1326,2072681
2014-04-15,74.3416,74.7777,73.4784,74.6414,2363534
2014-04-16,75.5682,76.9129,74.8686,76.6676,4320340
2014-04-17,76.2406,76.5404,75.5864,76.1134,2486492
2014-04-21,76.3314,76.8948,75.9316,76.0498,1733369
2014-04-22,75.9862,77.0311,75.7408,76.922,1938331
2014-04-23,76.7766,77.1583,76.6404,76.9856,1695636
2014-04-24,77.2673,77.3127,76.3587,76.5586,1715770
2014-04-25,76.5768,76.9856,76.0498,76.2042,1787597
2014-04-28,76.4223,76.495,74.9958,75.3774,2648599
2014-04-29,75.9044,76.3405,75.6318,75.7954,1665788
2014-04-30,75.8862,76.5313,75.7772,76.3587,2305563
2014-05-01,76.286,76.6494,75.7408,76.1134,1734635
2014-05-02,76.3859,78.0305,76.1406,76.9856,2950168
2014-05-05,76.7766,76.7766,75.8789,76.4677,2006942
2014-05-06,76.1043,76.1679,75.3501,75.3683,1564779
2014-05-07,75.6591,76.286,75.4864,76.1951,1669704
2014-05-08,75.9226,76.6948,75.8953,76.1951,1529748
2014-05-09,76.077,76.5131,75.7227,76.4859,1255375
2014-05-12,76.8402,77.8488,76.604,77.658,1903931
2014-05-13,77.7034,77.8488,76.9402,77.0311,1309669
2014-05-14,76.9856,77.2764,75.5046,75.6772,2678731
2014-05-15,75.4683,75.5955,74.1871,75.0866,2185384
2014-05-16,74.9776,75.3683,74.5415,75.2139,2184971
2014-05-19,74.9958,75.7499,74.9413,75.6045,1548135
2014-05-20,75.4137,75.6045,74.805,75.0776,1645691
2014-05-21,75.3683,76.5359,75.3683,75.8862,1593112
2014-05-22,75.9226,76.4132,75.7408,76.4041,1561339
