date,open,high,low,close,volume
2013-08-07,136.5482,137.4675,135.7132,137.1976,613207
2013-08-08,137.4506,137.847,135.3843,136.1855,491379
2013-08-09,136.0253,138.5386,135.9662,137.6025,545157
2013-08-12,137.1892,137.5012,135.4834,136.5313,293122
2013-08-13,137.0795,137.0795,134.4059,135.0891,422009
2013-08-14,135.2578,135.5361,134.2457,134.583,279478
2013-08-15,133.2589,134.0601,131.6901,132.7781,449968
2013-08-16,132.2299,132.7191,129.7503,129.8431,681515
2013-08-19,130.5515,130.9901,129.2021,129.3286,777457
2013-08-20,129.337,132.3986,129.337,131.9179,689327
2013-08-21,131.6142,134.6674,130.6106,132.4998,759609
2013-08-22,132.8288,133.0818,130.9817,132.6854,520465
2013-08-23,132.7528,133.5963,132.1962,132.989,505703
2013-08-26,133.0733,133.571,130.813,131.0913,521091
2013-08-27,129.9949,130.307,128.0297,129.725,722097
2013-08-28,129.6828,129.7925,128.0719,128.7466,589707
2013-08-29,128.5358,129.143,127.5068,128.8816,452285
2013-08-30,129.2443,129.6744,128.2912,128.7635,633127
2013-09-03,129.8178,130.5684,126.8996,128.5358,712540
2013-09-04,128.5527,129.6795,127.9159,128.6623,854651
2013-09-05,128.443,128.8732,127.3972,127.5743,343182
2013-09-06,129.0924,130.5768,128.2996,129.0587,538100
2013-09-09,130.1143,133.4043,129.8082,133.3873,669168
2013-09-10,133.8549,134.3225,132.8092,134.2119,494516
2013-09-11,133.7529,133.7529,132.4351,133.5828,404855
2013-09-12,133.5998,134.3565,132.0568,132.5712,529937
2013-09-13,132.3586,132.8432,132.0271,132.6477,264668
2013-09-16,134.9346,135.0961,133.2938,133.9824,494284
2013-09-17,134.1694,135.2619,134.0674,134.7815,353657
2013-09-18,135.0026,140.8941,133.7274,140.809,957419
2013-09-19,140.6135,143.0789,140.1969,141.1236,767526
2013-09-20,141.7187,142.3342,139.2788,139.2788,962494
2013-09-23,139.3043,139.3043,137.587,137.9271,753632
2013-09-24,137.9271,138.0716,136.2608,136.4223,763953
2013-09-25,136.6518,138.6072,136.4733,137.9526,559279
2013-09-26,138.3691,138.8707,137.6635,138.5817,335654
2013-09-27,138.2161,139.3213,137.5584,138.2246,418469
2013-09-30,137.6805,138.5307,136.0737,136.4903,658185
2013-10-01,136.8644,140.0086,136.3458,138.3606,609069
2013-10-02,137.893,139.2278,137.3745,139.1768,489464
2013-10-03,138.6667,139.3128,136.2693,137.7145,558907
2013-10-04,137.7655,139.2745,137.1194,138.3691,527044
2013-10-07,137.553,139.9589,136.2353,138.9217,512549
2013-10-08,138.8452,139.4403,137.4255,137.587,384230
2013-10-09,137.706,139.1343,137.1789,137.757,348388
2013-10-10,139.2788,141.4551,138.4286,141.3956,375815
2013-10-11,140.86,143.2234,140.5965,143.1724,300768
2013-10-14,142.7814,143.0279,141.6167,142.4583,451680
2013-10-15,141.7442,143.2915,141.5742,142.2458,400598
2013-10-16,143.1724,145.3573,142.7814,145.1788,651262
2013-10-17,144.2606,147.0491,143.8781,146.7005,525115
2013-10-18,147.6102,147.6102,145.6974,146.3605,578089
2013-10-21,146.1904,146.3435,144.0651,145.1533,587398
2013-10-22,145.0683,145.7994,143.8781,145.7399,685839
2013-10-23,145.1703,145.8079,144.0481,145.7739,381838
2013-10-24,145.7654,146.5135,145.4245,146.1224,421765
2013-10-25,146.4115,148.1458,145.6038,148.1458,651224
2013-10-28,147.8142,147.8142,144.7197,146.539,650257
2013-10-29,146.641,146.641,143.589,144.2011,547371
2013-10-30,144.2011,144.6602,142.1098,142.5093,735081
2013-10-31,142.5093,142.9344,140.8005,141.9482,934952
2013-11-01,142.8324,150.2031,141.6677,143.6655,634380
2013-11-04,143.487,144.3966,141.2426,143.3765,546686
2013-11-05,142.0843,142.6028,140.0609,140.469,625365
2013-11-06,141.0386,141.8122,139.7889,139.9929,746893
2013-11-07,140.0184,140.3755,136.1333,137.0344,1160652
2013-11-08,136.3755,136.4733,133.6678,135.9462,995570
2013-11-11,135.7252,137.0068,135.6062,135.9292,609103
2013-11-12,135.5297,135.8272,133.9314,135.2746,671548
2013-11-13,134.552,136.3118,134.3055,136.2438,685195
2013-11-14,136.6518,138.7687,136.3543,138.2926,961429
2013-11-15,138.3011,138.5901,136.7942,138.0716,633534
2013-11-18,137.876,137.9696,135.2831,135.5977,623723
2013-11-19,134.9176,135.7847,133.1748,133.4298,878732
2013-11-20,133.4043,134.0164,130.876,131.3895,743215
2013-11-21,132.1546,132.6647,130.9644,131.5425,755136
2013-11-22,131.619,131.874,130.5308,131.653,496095
2013-11-25,131.9761,132.3331,130.5138,130.6753,517517
2013-11-26,130.8029,131.2194,129.7317,129.7742,620307
2013-11-27,130.2588,131.2789,129.5574,131.0834,399911
2013-11-29,131.415,131.7975,129.7572,129.8167,289827
2013-12-02,130.0377,130.5308,128.6265,129.9017,649461
2013-12-03,128.9156,130.1024,127.7169,127.8784,807346
2013-12-04,126.6882,130.1653,126.2504,129.1621,1057994
2013-12-05,129.1706,129.6722,128.0059,128.499,600724
2013-12-06,129.5702,131.1089,129.1791,130.9219,859485
2013-12-09,130.9219,132.0696,130.3863,131.9421,910523
2013-12-10,131.9251,132.5372,131.0282,131.517,1107593
2013-12-11,131.783,131.8087,129.0891,129.1578,1189289
2013-12-12,128.969,129.6511,128.4028,128.4371,835197
2013-12-13,128.7631,130.4618,128.154,128.2913,749682
2013-12-16,129.235,130.05,128.2398,129.5524,917212
2013-12-17,128.5487,128.9347,127.1846,128.2741,870392
2013-12-18,128.094,130.7449,126.2323,130.5304,1036306
