date,open,high,low,close,volume
2013-08-07,41.4069,41.5382,41.1068,41.3788,805506
2013-08-08,41.6602,41.8946,41.1865,41.2756,683838
2013-08-09,41.2569,41.7352,41.2569,41.3319,753747
2013-08-12,41.1725,41.3319,40.7786,40.9755,960475
2013-08-13,41.1443,41.4538,41.0599,41.3319,772528
2013-08-14,41.36,41.4632,40.938,41.0037,687072
2013-08-15,40.591,40.666,39.9063,40.0845,819974
2013-08-16,40.0283,40.319,39.8032,40.0283,499341
2013-08-19,39.9251,40.0283,39.5593,39.5593,556381
2013-08-20,39.5968,40.1502,39.4488,39.9908,593249
2013-08-21,39.8501,39.9626,39.3999,39.4562,1296891
2013-08-22,39.3718,39.7188,39.0341,39.3061,1132609
2013-08-23,39.3811,39.3811,38.9591,39.2029,1848019
2013-08-26,39.2967,39.7563,39.2029,39.3342,664585
2013-08-27,38.9028,39.1748,38.7997,38.9122,1517103
2013-08-28,38.931,39.156,38.8653,38.9591,1116074
2013-08-29,38.8934,39.6061,38.8843,39.3718,512403
2013-08-30,39.4374,39.4562,38.9591,39.2311,818091
2013-09-03,39.6906,40.047,38.7715,39.1185,1202658
2013-09-04,39.0623,39.775,38.9966,39.5593,1109961
2013-09-05,39.5593,39.9157,39.4374,39.7281,486238
2013-09-06,39.8782,40.047,39.2592,39.7844,495956
2013-09-09,39.9251,40.2956,39.8338,40.2534,348628
2013-09-10,40.6285,40.8348,40.4784,40.7786,647330
2013-09-11,40.6473,41.0224,40.4691,40.938,483118
2013-09-12,40.9286,40.9943,40.6191,40.7504,528195
2013-09-13,40.7598,40.8536,40.516,40.7129,385096
2013-09-16,41.3131,41.3131,40.9568,41.0693,521291
2013-09-17,41.013,41.36,40.9005,41.3507,524227
2013-09-18,41.4538,41.9509,41.2569,41.6602,776883
2013-09-19,41.8571,41.8571,41.2287,41.2663,522826
2013-09-20,41.3694,41.7071,40.591,40.7598,1712160
2013-09-23,40.4222,40.5066,39.9626,40.0095,835313
2013-09-24,40.0564,40.2721,39.4749,39.7657,808850
2013-09-25,39.7657,40.1502,39.5124,39.7844,1038336
2013-09-26,39.6344,40.2909,39.5031,39.7375,1037719
2013-09-27,39.4646,39.6905,39.2859,39.4835,736228
2013-09-30,39.0412,39.2953,38.6836,39.2106,1002490
2013-10-01,39.3141,39.8598,39.2106,39.427,1206183
2013-10-02,39.1823,39.2294,38.3261,38.3449,2028040
2013-10-03,38.3261,38.4578,37.7991,38.0249,2210845
2013-10-04,38.072,38.7589,38.072,38.6178,861837
2013-10-07,38.3166,38.4201,38.1096,38.1379,743859
2013-10-08,38.1943,38.2696,37.6485,37.6768,779660
2013-10-09,37.912,38.6083,37.8744,38.2978,1303649
2013-10-10,38.9753,39.4646,38.7777,39.427,750871
2013-10-11,39.427,39.7563,39.1353,39.7375,675609
2013-10-14,39.427,39.9728,39.3799,39.9069,324528
2013-10-15,39.841,39.9634,39.5023,39.587,445597
2013-10-16,39.8316,40.5373,39.8316,40.4433,530950
2013-10-17,40.0857,41.0361,39.9116,41.0078,495532
2013-10-18,41.309,41.3278,40.8385,41.3278,418663
2013-10-21,41.2525,41.3466,40.8667,41.1678,364151
2013-10-22,41.2525,41.3936,40.9514,41.196,575105
2013-10-23,40.9137,41.1208,40.4433,40.8949,933549
2013-10-24,42.2687,42.5322,41.6477,42.09,1771068
2013-10-25,42.3158,43.1439,41.9112,43.1439,1319961
2013-10-28,43.1345,43.6896,43.0498,43.6802,1381701
2013-10-29,43.6896,44.1931,43.5391,44.1789,1361533
2013-10-30,44.1695,44.4142,43.0968,43.2097,881565
2013-10-31,43.2568,43.3038,42.8851,42.9557,778884
2013-11-01,42.9557,43.125,42.5887,42.9557,661854
2013-11-04,43.0027,43.0498,42.5416,42.6451,685038
2013-11-05,42.5416,42.8616,42.2876,42.8239,749381
2013-11-06,42.9933,43.125,42.6734,43.125,409531
2013-11-07,43.238,43.285,42.1652,42.2217,601059
2013-11-08,42.3158,43.5485,42.2217,43.5297,669975
2013-11-11,43.6049,44.0114,43.1721,43.4732,352103
2013-11-12,43.3885,43.4073,43.0027,43.2191,393803
2013-11-13,42.9463,44.0472,42.6922,44.0378,600180
2013-11-14,44.1507,44.1507,43.5673,43.9531,384164
2013-11-15,44.0943,44.2166,43.7461,44.1507,354829
2013-11-18,44.1883,44.2919,43.9061,43.9907,377307
2013-11-19,43.9249,44.2919,43.5344,43.6614,459444
2013-11-20,43.6896,44.4142,43.6238,44.226,502379
2013-11-21,44.4895,45.3552,44.0378,45.3552,1013233
2013-11-22,45.3552,45.4681,44.9599,45.4116,542887
2013-11-25,45.4493,45.948,45.2705,45.7692,818854
2013-11-26,45.6845,45.8256,45.2705,45.3269,570136
2013-11-27,45.4775,45.5434,44.9505,45.2987,435558
2013-11-29,45.3646,45.7127,45.2564,45.3363,316348
2013-12-02,45.3834,45.995,45.1105,45.5716,596949
2013-12-03,45.421,45.7033,45.0588,45.2234,654154
2013-12-04,44.9505,45.6375,44.8376,45.4493,655561
2013-12-05,45.741,46.1045,45.3175,45.7033,812580
2013-12-06,46.1079,46.3808,45.6375,45.948,837150
2013-12-09,45.9856,46.3526,45.8162,46.1268,503624
2013-12-10,45.9762,46.5502,45.7974,46.2397,756200
2013-12-11,46.3055,46.3244,45.5998,45.7033,783435
2013-12-12,45.7504,46.2444,45.6375,46.1079,912054
2013-12-13,46.2585,46.5314,45.9197,45.9574,481565
2013-12-16,46.1079,46.5502,45.7221,46.1832,553938
2013-12-17,46.155,46.2491,45.788,46.0703,737912
2013-12-18,46.1738,47.4159,46.0044,47.4159,483843
2013-12-19,47.35,47.7452,47.2183,47.6229,663991
