date,open,high,low,close,volume
2013-08-07,162.3236,165.7156,157.6939,158.7207,3095543
2013-08-08,159.6649,164.2855,158.7023,162.9103,1546270
2013-08-09,162.7361,164.2946,162.3052,164.0563,683054
2013-08-12,160.435,163.5704,160.16,163.2587,560935
2013-08-13,162.9103,164.1571,162.6536,163.6712,481499
2013-08-14,163.6804,163.9188,161.361,162.0485,523519
2013-08-15,160.4259,160.9392,159.124,159.9216,678792
2013-08-16,159.0965,160.1141,157.6939,157.758,885517
2013-08-19,157.7397,158.6015,156.007,156.062,834553
2013-08-20,156.8138,159.1699,156.5479,157.6572,464672
2013-08-21,157.483,158.6015,156.8229,157.5564,412686
2013-08-22,157.9047,158.9957,157.318,158.0147,390826
2013-08-23,158.2898,158.3539,156.5296,157.3638,386190
2013-08-26,157.2905,158.0606,155.952,156.0437,247220
2013-08-27,153.5867,155.842,151.8907,151.9824,614146
2013-08-28,152.0099,153.1192,151.5882,151.7715,651578
2013-08-29,151.7715,153.2017,151.7258,152.3124,398828
2013-08-30,152.7708,152.9542,151.2673,151.6432,313403
2013-09-03,154.0085,154.4668,151.8907,153.2109,753834
2013-09-04,153.33,154.0176,152.7158,152.7983,1012238
2013-09-05,152.2207,153.5501,151.689,152.1841,680694
2013-09-06,152.5783,152.8992,149.718,151.4323,1293309
2013-09-09,151.7074,152.4316,151.3865,151.9457,1804821
2013-09-10,152.4499,152.4591,149.0029,149.4704,2242926
2013-09-11,150.4697,150.9006,149.4338,150.2589,1476534
2013-09-12,150.0113,150.4972,148.7187,149.4888,1233346
2013-09-13,149.5988,152.945,149.5347,152.5049,869425
2013-09-16,154.6869,155.3103,153.0275,153.2934,779859
2013-09-17,154.0451,154.0451,152.5141,152.8075,410887
2013-09-18,153.1925,155.2094,151.9457,154.1276,831847
2013-09-19,154.1093,155.2553,153.9305,154.3018,725659
2013-09-20,154.1735,154.6135,153.1339,153.4034,936604
2013-09-23,152.9083,153.4676,150.2222,151.2673,771169
2013-09-24,151.5148,152.67,150.4055,151.4323,773105
2013-09-25,151.2302,152.333,148.8592,149.7966,782677
2013-09-26,150.7799,152.5903,150.4031,152.1216,734143
2013-09-27,151.0188,152.8339,151.0188,152.2135,800212
2013-09-30,150.3388,152.2319,149.3922,151.3864,684528
2013-10-01,152.2227,152.8476,150.7523,151.5702,557564
2013-10-02,151.028,151.0924,148.7857,150.7248,839677
2013-10-03,150.8534,152.7603,150.0263,151.1567,851337
2013-10-04,151.1475,153.9964,150.495,153.1877,547695
2013-10-07,152.0481,153.105,150.9453,151.0372,565842
2013-10-08,151.2302,151.6438,147.5427,148.0505,794751
2013-10-09,146.8742,150.8075,146.4422,149.2452,1071083
2013-10-10,151.9838,151.9838,150.1642,150.3847,717220
2013-10-11,150.3939,150.8075,148.1975,148.271,749972
2013-10-14,147.9034,149.2498,147.3245,148.0505,654892
2013-10-15,147.9126,148.5651,145.4865,145.8725,1922623
2013-10-16,146.286,146.8097,144.811,145.8265,1418887
2013-10-17,145.6335,148.8776,144.2918,148.5835,1353584
2013-10-18,148.8868,150.6604,148.6938,150.6237,637420
2013-10-21,150.9545,151.5059,149.8885,150.3572,398490
2013-10-22,150.8994,153.5736,150.3572,153.0406,915514
2013-10-23,152.6271,152.9579,149.9896,150.9086,541117
2013-10-24,150.8626,151.7632,150.688,151.3589,418579
2013-10-25,151.6346,152.186,150.6972,151.2118,445469
2013-10-28,151.1199,151.8367,149.8609,151.6805,533032
2013-10-29,152.3606,152.8054,151.221,152.1952,628198
2013-10-30,152.186,154.2445,152.1216,153.3071,679886
