date,open,high,low,close,volume
2013-08-07,31.5989,31.6269,31.146,31.2254,3647892
2013-08-08,31.5429,31.5429,31.2301,31.3421,2800566
2013-08-09,31.2207,31.3655,31.048,31.2861,1711670
2013-08-12,31.1647,31.6829,31.1367,31.6176,2270282
2013-08-13,31.6362,31.851,31.5009,31.6783,2444348
2013-08-14,31.4635,31.4635,30.9593,31.1133,3131188
2013-08-15,30.8145,30.8145,30.1833,30.2963,4364830
2013-08-16,30.2356,30.5414,30.1936,30.2356,3871644
2013-08-19,30.6558,30.8659,30.3943,30.4317,4251822
2013-08-20,30.9546,31.6176,30.9312,31.4588,6367772
2013-08-21,31.3001,31.7156,31.062,31.5429,5320578
2013-08-22,31.4775,32.7661,31.4261,31.9911,4708416
2013-08-23,33.0416,33.0836,32.3039,32.6167,7334602
2013-08-26,32.6821,32.6821,32.2012,32.2432,3757352
2013-08-27,31.9771,32.0278,31.6222,31.6222,3439196
2013-08-28,31.7576,31.8977,31.5569,31.6409,2309692
2013-08-29,31.4308,31.7483,31.3935,31.6503,1945890
2013-08-30,31.7156,31.739,31.3141,31.4028,2040546
2013-09-03,31.8744,32.2269,31.4261,31.8183,3571396
2013-09-04,31.9634,32.5485,31.8417,32.3379,3134578
2013-09-05,32.38,32.6702,32.2864,32.5578,2672784
2013-09-06,32.4689,32.6374,32.146,32.1834,2633780
2013-09-09,32.2255,32.3964,32.1647,32.3379,1490414
2013-09-10,32.5906,32.7357,32.4174,32.7029,2054356
2013-09-11,32.7638,33.1195,32.7263,33.0727,3202374
2013-09-12,33.0727,33.1406,32.834,32.937,2776400
2013-09-13,33.0914,33.0914,32.6234,32.834,1777898
2013-09-16,33.2318,33.2529,33.0165,33.1804,2471136
2013-09-17,33.171,33.5092,33.171,33.3114,1944044
2013-09-18,33.3723,33.9526,33.2412,33.8029,2617742
2013-09-19,33.7935,34.0931,33.7888,33.859,2330346
2013-09-20,33.9339,34.0135,33.4097,33.5033,5190916
2013-09-23,33.4144,33.6297,33.3788,33.5454,2308378
2013-09-24,33.6765,33.7186,33.288,33.5174,1717526
2013-09-25,33.9012,33.9012,33.3535,33.5782,2882948
2013-09-26,33.5876,34.0743,33.5829,33.8684,1859040
2013-09-27,33.728,34.0088,33.6484,33.9573,1659720
2013-09-30,33.6578,34.1679,33.5642,34.0743,2732096
2013-10-01,34.1679,34.6079,34.0884,34.5143,2505538
2013-10-02,34.196,34.6594,34.0252,34.6407,2981438
2013-10-03,34.3599,34.5892,34.0299,34.2428,2430374
2013-10-04,34.1352,34.4909,34.065,34.3926,1662896
2013-10-07,34.2101,34.2101,33.8497,33.8918,2211448
2013-10-08,33.3629,34.0603,32.3659,33.4425,2399546
2013-10-09,33.6016,33.646,33.3208,33.3582,2337466
2013-10-10,33.5267,33.9573,33.5103,33.8684,2958360
2013-10-11,33.5033,34.0509,33.4284,34.0509,2454292
2013-10-14,33.8029,34.2241,33.7898,34.1586,2233934
2013-10-15,34.0088,34.0837,33.8544,33.9292,2179026
2013-10-16,34.2148,34.6032,34.0229,34.5705,1963798
2013-10-17,34.4254,34.5284,34.1773,34.5049,3134426
2013-10-18,34.7343,34.8899,34.4722,34.7764,2045892
2013-10-21,34.2335,35.0151,34.2335,34.87,1978108
2013-10-22,35.3849,35.3849,34.7998,34.9683,3253930
2013-10-23,34.8841,35.4457,34.7671,35.4223,2640972
2013-10-24,35.4457,35.5534,35.1368,35.2445,2251646
2013-10-25,35.3474,35.5253,35.1462,35.5113,2114140
2013-10-28,35.5674,35.7781,35.4691,35.633,3768718
2013-10-29,35.7921,36.1151,35.7664,35.9278,3836924
2013-10-30,35.881,36.3912,35.8787,36.1151,3539010
2013-10-31,36.0729,36.2461,35.8857,36.204,2531800
2013-11-01,36.3912,36.7516,36.1361,36.335,2874160
2013-11-04,35.8951,36.2742,35.8951,36.2087,2832216
2013-11-05,37.0044,37.0044,36.0121,36.3116,2034696
2013-11-06,36.424,36.6112,36.2601,36.3865,1966306
