date,open,high,low,close,volume
2013-08-07,42.0526,42.2748,41.888,42.1184,621891
2013-08-08,42.2583,42.5217,41.9785,42.4394,488088
2013-08-09,42.4476,42.604,42.1678,42.3489,483406
2013-08-12,42.1925,42.2666,41.888,42.1184,456941
2013-08-13,42.1267,42.1267,41.7481,41.8057,318661
2013-08-14,41.7564,41.8386,41.3613,41.5177,362864
2013-08-15,41.2626,41.3531,40.8264,40.8593,394104
2013-08-16,40.7359,40.8676,40.0035,40.2586,582386
2013-08-19,40.1763,40.4067,39.7977,39.8389,396000
2013-08-20,39.8307,40.5713,39.7072,40.2504,450440
2013-08-21,40.1187,40.3409,39.5838,39.6825,403439
2013-08-22,39.6825,40.1269,39.5838,39.9376,323034
2013-08-23,39.9623,40.3738,39.806,40.2586,297578
2013-08-26,40.2586,40.3656,39.9541,39.9706,308204
2013-08-27,39.6661,40.1763,39.6661,39.88,507661
2013-08-28,39.88,40.0199,39.6578,39.8718,495743
2013-08-29,39.7648,39.9294,39.5262,39.6661,340204
2013-08-30,39.7484,39.8307,39.4274,39.6002,640459
2013-09-03,39.6167,39.987,38.8678,38.9254,933526
2013-09-04,38.9172,39.1229,38.4316,38.7032,802315
2013-09-05,39.1054,39.1553,38.6478,38.6811,593219
2013-09-06,38.4731,38.8308,38.315,38.4148,853074
2013-09-09,38.5313,38.6894,38.3067,38.523,621831
2013-09-10,38.6644,38.7768,38.4398,38.7227,585775
2013-09-11,38.7643,38.7892,38.1175,38.3067,833887
2013-09-12,38.4814,38.5979,38.0404,38.0487,751847
2013-09-13,38.2151,38.5646,38.1985,38.4731,604036
2013-09-16,38.8974,39.172,38.4398,38.5147,839749
2013-09-17,38.5147,38.8724,38.5147,38.6311,452679
2013-09-18,38.5563,39.9208,38.3316,39.7627,887527
2013-09-19,39.7877,39.9125,39.2801,39.3883,664635
2013-09-20,39.3966,39.4299,38.6977,38.6977,988394
2013-09-23,38.6977,39.5214,38.4816,39.2968,627356
2013-09-24,39.3051,39.4049,39.0888,39.2552,801052
2013-09-25,39.3134,39.3134,38.6894,38.6977,1095430
2013-09-26,38.8225,38.9723,38.5438,38.6311,722237
2013-09-27,38.5147,38.6145,38.2151,38.2983,777424
2013-09-30,38.0903,38.4523,38.082,38.3067,794428
2013-10-01,38.4731,38.498,38.1111,38.2817,862942
2013-10-02,38.1569,38.2401,37.8906,38.1486,886950
2013-10-03,38.0238,38.0238,37.458,37.7575,1310692
2013-10-04,37.666,37.849,37.4081,37.4413,842785
2013-10-07,37.2666,37.6494,37.2317,37.3249,618107
2013-10-08,37.3665,37.8823,37.2417,37.4663,806347
2013-10-09,37.5661,38.2318,37.4413,37.6494,1096000
2013-10-10,37.9156,38.3399,37.5162,38.2484,720182
2013-10-11,38.2651,38.4481,38.1735,38.3899,878654
2013-10-14,38.4148,38.4148,37.6161,38.0986,634793
2013-10-15,37.9905,38.2234,37.4247,37.4746,505177
2013-10-16,37.5745,37.9073,37.4829,37.899,670876
2013-10-17,37.8407,38.6311,37.641,38.6062,892160
2013-10-18,38.7809,38.9889,38.6395,38.7559,669509
2013-10-21,38.706,38.8808,38.4315,38.6311,435673
2013-10-22,38.706,39.38,38.6311,39.2718,648058
2013-10-23,39.2385,39.8459,39.172,39.2884,675353
2013-10-24,39.4632,39.4632,39.0056,39.122,505898
2013-10-25,39.1387,39.6545,39.0139,39.6213,464704
2013-10-28,39.4965,39.7627,39.2884,39.4632,520265
2013-10-29,39.5547,39.6055,39.1636,39.2552,518626
2013-10-30,39.2635,39.4465,38.8308,38.8558,682515
2013-10-31,38.9057,39.4632,38.2401,38.7976,676626
2013-11-01,39.0555,39.3675,38.7892,39.2801,813928
2013-11-04,39.38,39.7294,39.0888,39.6961,604578
2013-11-05,39.5797,39.8734,39.3217,39.38,788350
2013-11-06,39.4382,39.8209,39.3967,39.8209,506587
2013-11-07,39.9291,40.0649,39.1803,39.2468,645831
2013-11-08,39.1054,39.122,38.4231,39.0222,804387
2013-11-11,39.0222,39.2136,38.7643,38.9806,463155
2013-11-12,38.9889,39.0804,38.2734,38.4148,663410
2013-11-13,38.315,38.6977,38.0446,38.6894,758741
2013-11-14,38.8142,39.2052,38.6561,39.0222,603729
2013-11-15,39.0804,39.2884,38.8059,39.2801,641034
2013-11-18,39.3134,39.4382,39.1387,39.3467,830554
2013-11-19,39.3467,39.4465,39.2219,39.3301,716585
2013-11-20,39.3883,39.5048,39.0139,39.0388,691350
2013-11-21,39.172,39.6129,39.0305,39.355,813499
2013-11-22,39.2884,39.6712,39.2219,39.563,887998
2013-11-25,39.5797,39.6878,39.3717,39.3883,782289
2013-11-26,39.3883,39.5048,38.939,39.2052,1008200
2013-11-27,39.1886,39.4632,39.0347,39.3301,971328
2013-11-29,39.3717,39.5547,39.2384,39.2468,290790
2013-12-02,39.2385,39.4881,38.8808,39.147,986190
2013-12-03,39.0222,39.4216,38.9474,39.3717,810801
2013-12-04,39.1803,39.7294,38.9806,39.6129,989812
2013-12-05,39.5131,39.6629,39.2136,39.3966,906117
2013-12-06,39.5627,40.0673,39.3104,40.0673,723713
2013-12-09,39.9412,40.1094,39.7393,39.8403,977258
