date,open,high,low,close,volume
2013-08-07,64.192,64.2924,63.1971,63.2884,2271734
2013-08-08,63.6078,64.2102,63.3157,63.4435,1567550
2013-08-09,63.3614,63.6991,63.1697,63.2701,1666304
2013-08-12,62.8776,63.1058,62.4395,62.5673,2159518
2013-08-13,62.6677,63.5165,62.5947,63.188,1450530
2013-08-14,63.1423,63.6808,63.0328,63.2153,1425725
2013-08-15,62.6312,62.6768,61.7458,61.8828,1744880
2013-08-16,61.6728,62.4213,61.6546,61.9284,2094144
2013-08-19,61.6637,62.0836,61.431,61.5359,2550321
2013-08-20,61.5268,62.4395,61.3808,62.3026,1855266
2013-08-21,62.1201,62.7864,61.8371,62.257,2238081
2013-08-22,62.4486,63.8177,62.3939,63.6443,1936888
2013-08-23,63.8908,63.8908,63.3249,63.5896,1769578
2013-08-26,63.5439,64.2011,63.4253,63.4526,1680693
2013-08-27,62.5947,62.5947,60.9518,61.0339,2547352
2013-08-28,60.9244,61.4173,60.6688,60.9609,1670542
2013-08-29,60.8149,61.9193,60.6597,61.3351,1314054
2013-08-30,61.4081,61.4081,60.6688,60.897,1881362
2013-09-03,61.6181,62.3939,61.3808,61.6637,2217165
2013-09-04,61.6546,62.7225,61.4903,62.3026,2324109
2013-09-05,62.403,63.0693,62.2844,62.3482,1737033
2013-09-06,62.5399,62.5399,60.897,61.7276,1932492
2013-09-09,61.901,62.2205,61.545,62.1657,1904832
2013-09-10,62.6221,62.9963,62.4304,62.6586,2242870
2013-09-11,62.4121,62.8046,62.0653,62.33,1808548
2013-09-12,62.403,62.4578,61.8006,61.8828,1654473
2013-09-13,62.0471,62.4213,61.4629,62.1109,2249584
2013-09-16,62.7407,63.2153,62.2935,62.8229,1700872
2013-09-17,62.8229,63.2427,62.7498,63.0693,1520967
2013-09-18,63.0419,63.7812,62.8229,63.0054,3147502
2013-09-19,63.2701,63.4892,62.3117,62.6403,2310229
2013-09-20,62.6677,63.051,61.5359,61.7367,5425304
2013-09-23,61.2804,61.5907,60.5319,60.7784,2588401
2013-09-24,60.897,61.4447,60.322,60.6871,2578306
2013-09-25,60.7236,61.4538,60.3311,60.9061,2115731
2013-09-26,60.897,61.6363,60.8057,61.1252,1585729
2013-09-27,60.722,60.7862,60.2455,60.667,1587752
2013-09-30,59.9432,60.5204,59.8064,60.2455,1825046
2013-10-01,60.5113,61.1389,60.3372,61.116,1814575
2013-10-02,60.6304,60.7128,60.0256,60.4196,3810236
2013-10-03,60.4105,60.6484,59.8882,60.2455,3664457
2013-10-04,60.2181,61.0427,60.1539,60.8595,2429034
2013-10-07,60.1722,60.8869,60.1173,60.4288,1682706
2013-10-08,60.3921,60.5021,59.2468,59.2926,2646021
2013-10-09,59.4667,59.8424,58.8711,59.3568,2950363
2013-10-10,60.2455,61.51,60.1218,61.4917,2104512
