date,open,high,low,close,volume
2013-08-08,90.2488,90.4151,89.74,89.9846,1250019
2013-08-09,89.7889,90.5619,89.7889,90.4836,1069546
2013-08-12,90.0824,90.3956,89.6323,90.1999,884235
2013-08-13,90.1999,90.6793,89.6431,90.6598,871545
2013-08-14,90.5717,90.6793,89.9259,90.0824,1097755
2013-08-15,89.3388,89.7791,89.0061,89.3388,1335590
2013-08-16,89.0648,89.2153,88.419,88.7419,1246753
2013-08-19,88.6244,89.2106,88.37,88.4777,976968
2013-08-20,88.4972,88.7321,88.1156,88.3798,1030995
2013-08-21,88.3113,88.781,87.6166,88.1352,1732710
2013-08-22,88.1548,88.7027,88.0667,88.4092,1287412
2013-08-23,88.6147,89.0941,88.0178,88.8984,1220563
2013-08-26,89.0452,89.6225,88.419,88.419,1130654
2013-08-27,87.4698,87.4698,86.6283,86.9218,1892032
2013-08-28,86.912,87.2643,86.2369,86.9903,1017190
2013-08-29,86.7261,87.8808,86.5402,87.2545,856070
2013-08-30,87.3132,87.3622,86.6381,86.9218,964505
2013-09-03,88.0373,88.5559,87.4845,88.1841,1556855
2013-09-04,88.1058,88.9767,87.8318,88.8984,1265698
2013-09-05,88.9082,89.0012,88.3309,88.7321,858913
2013-09-06,88.9278,89.2311,87.7829,88.5657,1079187
2013-09-09,88.9671,89.6826,88.9182,89.3004,1130845
2013-09-10,89.6532,89.9767,88.7907,88.9671,2844002
2013-09-11,88.9769,89.1926,88.3006,88.9965,2226754
2013-09-12,88.6829,89.516,88.5751,89.2612,2152225
2013-09-13,89.2416,89.5258,88.7221,89.3004,1434963
2013-09-16,90.1825,90.4961,89.5552,89.9473,1351246
2013-09-17,89.9179,91.4567,89.8787,91.4371,2286499
2013-09-18,91.4273,92.4466,90.4177,92.378,1600352
2013-09-19,92.623,92.7701,92.035,92.3682,2183895
2013-09-20,92.5544,92.8583,91.6037,91.6331,2096423
2013-09-23,91.3489,91.8977,91.0548,91.4665,1013535
2013-09-24,91.5155,91.6037,90.6236,90.9764,1262287
2013-09-25,91.0744,91.0744,90.1139,90.5353,1183517
2013-09-26,90.6236,91.3979,90.5059,91.1626,1051218
2013-09-27,90.7902,91.4567,90.4569,91.1626,1124156
2013-09-30,90.3883,90.8294,90.1727,90.3197,1269952
2013-10-01,90.3785,91.4371,90.2021,91.0058,1059816
2013-10-02,90.2609,90.6726,89.6925,90.6628,1425737
2013-10-03,90.3981,90.4275,88.8103,89.5258,1353361
2013-10-04,89.7022,91.0352,89.516,90.5255,1278957
2013-10-07,90.1335,90.4961,89.6924,89.8983,1138652
2013-10-08,89.9277,89.9277,88.8201,88.8789,1491061
2013-10-09,88.9769,89.0651,87.9282,88.1438,2025907
2013-10-10,88.7221,90.5451,88.5751,90.4373,1593952
2013-10-11,90.2707,91.2312,89.9081,91.1136,1394759
2013-10-14,90.4569,90.9078,89.4474,90.8196,1784393
2013-10-15,90.5844,90.9372,89.8198,90.0159,1506325
2013-10-16,90.3295,91.9467,90.1923,91.6527,2242991
2013-10-17,91.2999,94.1619,91.045,93.7208,2110400
2013-10-18,94.2501,94.8676,93.7012,94.2109,1582441
2013-10-21,94.1913,94.7499,93.2797,93.3581,1789803
2013-10-22,93.4268,94.7303,93.1915,93.9168,2756790
2013-10-23,95.5831,95.9849,93.3386,95.5438,2098700
2013-10-24,95.8379,96.4064,94.9754,95.1028,1732709
2013-10-25,95.1028,95.8771,94.8774,95.8673,1216786
2013-10-28,95.8281,96.0829,95.5438,95.9261,907472
2013-10-29,95.8869,96.4946,95.5438,96.4652,1138953
2013-10-30,96.5436,96.5614,94.9852,95.5537,1050709
2013-10-31,95.6811,96.3623,94.3971,95.8379,2225043
2013-11-01,96.2299,96.5377,95.7007,95.9849,1731183
2013-11-04,96.3378,96.3378,95.5635,96.1025,1219548
2013-11-05,95.6125,95.8085,94.9068,95.1616,1406424
2013-11-06,95.3184,96.4554,95.24,95.6321,1164338
2013-11-07,95.8183,96.0633,94.1815,94.2501,1142043
2013-11-08,94.0736,96.279,93.6228,96.2201,1357206
2013-11-11,96.3182,96.4946,95.8477,96.4554,1024682
2013-11-12,96.1417,96.4946,95.3478,95.7497,1096503
2013-11-13,95.3576,96.8866,94.9558,96.8474,2310823
2013-11-14,96.8474,98.2196,96.4652,98.2196,1719843
2013-11-15,98.0236,99.5036,98.0236,99.3566,1720511
2013-11-18,99.3762,99.484,98.4549,98.7685,861085
2013-11-19,98.4157,99.0331,97.955,98.5137,1059601
2013-11-20,98.5039,99.5722,98.4745,99.0625,1060033
2013-11-21,101.0718,101.0718,99.3194,99.7976,1317125
2013-11-22,99.8565,100.1701,99.435,99.4938,1421253
2013-11-25,99.7878,100.5426,99.484,99.9643,1208983
2013-11-26,100.1897,100.4935,99.4154,99.435,1467016
2013-11-27,99.5036,99.6506,98.6215,98.9939,1579646
2013-11-29,99.2488,99.6114,98.6803,98.8469,854911
2013-12-02,99.0821,99.4742,98.6117,98.8273,1346439
2013-12-03,98.5039,99.0625,98.1609,98.9155,1390348
2013-12-04,98.5039,99.2194,97.1537,98.2294,1100991
2013-12-05,97.9844,99.0233,97.7688,97.9452,1245564
2013-12-06,98.5921,100.768,98.545,100.67,1840069
2013-12-09,100.9346,101.1306,99.8565,99.9937,1564151
2013-12-10,99.9153,100.4347,99.435,99.9055,1182532
2013-12-11,99.6408,100.1995,98.7391,99.19,1898275
2013-12-12,98.8366,99.1015,98.1985,98.385,1308924
2013-12-13,98.6795,99.7691,98.5715,99.4746,1030589
2013-12-16,99.7985,100.6231,99.2979,100.358,1658667
2013-12-17,100.5151,100.9666,99.6317,100.4366,1867744
2013-12-18,100.8488,104.5396,100.574,104.4611,3093709
2013-12-19,104.4513,106.2869,103.9801,106.1691,2573614
2013-12-20,106.6942,106.8562,106.1985,106.5715,2416868
2013-12-23,107.4844,107.4844,106.4439,106.8365,1841258
2013-12-24,106.7875,107.6415,106.6599,107.3961,458374
2013-12-26,107.7592,108.5347,107.6415,108.2402,995796
2013-12-27,108.3678,108.9862,108.3188,108.6329,899846
2013-12-30,108.7016,109.0402,108.0341,108.5543,875372
2013-12-31,108.8684,109.3838,108.6034,109.3003,1147867
2014-01-02,108.6525,109.1138,107.2783,107.612,2559028
2014-01-03,107.9359,108.4464,107.6513,108.0243,1486448
2014-01-06,108.5347,109.1531,107.612,108.0341,1891530
2014-01-07,109.0451,110.4095,108.7114,110.2427,2246999
2014-01-08,110.2623,112.039,110.2132,111.9408,2841941
2014-01-09,112.0684,112.6967,111.401,111.9016,2196355
2014-01-10,111.4893,112.5013,111.4804,112.3531,1492108
2014-01-13,111.9212,112.4807,110.6059,110.9102,2048786
2014-01-14,111.8034,112.7752,110.6451,112.6476,1693703
2014-01-15,113.001,113.5801,112.4807,113.3936,1537151
2014-01-16,112.7359,114.0218,112.7359,113.9727,1847809
2014-01-17,113.6292,114.3555,113.4623,113.7568,2549551
2014-01-21,114.1494,114.3555,112.4905,112.8341,2201626
2014-01-22,112.9519,113.2365,112.2746,112.5887,2012788
2014-01-23,112.304,112.4316,109.9286,110.7335,3400191
2014-01-24,111.0574,111.0574,107.9065,107.9261,3895608
2014-01-27,107.877,109.2513,107.0721,107.8476,2483881
2014-01-28,108.5543,110.3605,108.5543,110.2525,2526470
2014-01-29,109.1335,110.0758,108.3089,109.693,2906375
2014-01-30,116.675,119.0887,116.5568,118.7143,2126282
2014-01-31,112.5003,113.4132,111.4412,113.0206,3003668
2014-02-03,113.05,113.737,110.8218,111.0476,3775962
2014-02-04,111.6365,112.3138,110.4095,110.8807,3164042
2014-02-05,110.9102,111.185,109.1629,111.1163,2826445
2014-02-06,111.4795,112.6672,111.185,112.3237,2483966
2014-02-07,113.1089,115.7396,112.9224,115.6022,3180691
2014-02-10,115.1605,116.8095,115.0917,116.4267,4233031
2014-02-11,117.5555,118.9788,116.5641,118.7727,3766772
2014-02-12,118.8414,119.6856,118.5175,119.2831,3605738
2014-02-13,118.6451,121.158,118.3899,120.6377,2540570
2014-02-14,120.5298,121.7077,120.3727,121.4623,9596240
2014-02-18,121.4819,121.8844,120.412,121.2758,2845489
2014-02-19,121.2758,122.0807,119.3617,119.5678,2884510
2014-02-20,122.0414,122.7128,120.2353,122.4144,3456946
2014-02-21,122.4144,122.5518,120.8144,120.9126,2646185
2014-02-24,120.785,122.6019,120.785,121.0991,2880522
2014-02-25,121.2071,122.012,120.8242,121.531,2625867
2014-02-26,121.5899,122.8758,121.158,121.9923,2620037
2014-02-27,121.9433,122.9052,121.531,122.6107,2213893
2014-02-28,122.9837,123.504,121.3347,122.2476,3148056
2014-03-03,120.8046,121.6979,119.8917,121.0795,2106979
2014-03-04,122.2966,123.2684,122.2966,123.0426,2354751
2014-03-05,122.5715,123.9163,121.904,123.5923,2196087
2014-03-06,124.8095,125.2807,123.5334,124.0733,1649945
2014-03-07,124.6917,124.6917,123.3371,124.3383,1690797
2014-03-10,124.1518,124.3678,122.9445,123.9555,1766768
2014-03-11,124.0439,124.7114,123.4353,123.9064,1341705
2014-03-12,123.3371,124.25,122.7285,124.1617,3107276
2014-03-13,124.3681,124.6531,120.4763,121.125,2413780
2014-03-14,120.84,121.4591,119.7196,120.1422,2078566
2014-03-17,120.9579,122.1765,120.5058,120.8989,1254823
2014-03-18,120.8793,121.8424,120.781,121.5967,1209203
2014-03-19,121.695,122.1765,119.7009,120.6041,1532946
2014-03-20,120.4862,121.695,120.0341,121.4493,1352204
2014-03-21,122.6777,123.6998,120.722,120.781,4441581
2014-03-24,121.1839,121.4296,117.2922,118.5698,2763394
2014-03-25,119.13,120.3093,115.0637,117.2922,3971632
2014-03-26,117.6558,118.499,115.995,116.0048,2121614
2014-03-27,116.0441,116.5355,114.6093,115.6412,2192541
2014-03-28,115.995,117.931,115.5999,116.4569,1668918
2014-03-31,117.4003,118.4813,117.4003,118.1669,1530681
2014-04-01,118.4617,119.8769,118.4617,119.7786,1802632
2014-04-02,119.8179,120.4468,119.5525,120.0931,1480049
2014-04-03,120.211,120.6139,118.6287,119.7,2544722
2014-04-04,120.5156,121.2429,117.6362,117.8131,1861023
