date,open,high,low,close,volume
2013-08-08,28.083,28.3554,27.9146,27.9443,2446190
2013-08-09,27.9146,28.0731,27.657,27.7363,1310671
2013-08-12,27.4787,27.8997,27.4094,27.449,1745527
2013-08-13,27.558,28.6278,27.5283,28.4891,3671531
2013-08-14,28.3603,28.5585,28.0136,28.0434,1812833
2013-08-15,27.6967,27.8155,27.4688,27.5976,2253215
2013-08-16,27.4787,27.766,27.1617,27.34,2292708
2013-08-19,27.1915,27.2707,26.8844,26.9933,2454313
2013-08-20,26.9933,27.1915,26.9042,26.9438,1418474
2013-08-21,26.8844,27.34,26.7853,27.0032,2223392
2013-08-22,27.132,27.4193,27.1023,27.2905,953647
2013-08-23,27.35,27.5976,27.3004,27.4886,1326030
2013-08-26,27.5877,27.8353,27.3103,27.35,1125697
2013-08-27,26.9933,27.1617,26.3693,26.399,1648772
2013-08-28,26.3792,26.6466,26.29,26.5575,1724857
2013-08-29,26.4089,27.1518,26.4089,27.1518,2296825
2013-08-30,27.2311,27.2311,26.607,26.6863,1604122
2013-09-03,27.0726,27.3599,26.815,27.0231,1460060
2013-09-04,26.9537,27.34,26.815,27.2905,2071639
2013-09-05,27.2806,27.8155,27.2113,27.7957,1783880
2013-09-06,27.875,28.1672,27.4391,27.9047,1884294
2013-09-09,27.9831,28.8157,27.9831,28.7067,2614102
2013-09-10,28.8752,29.5493,28.8455,29.242,3514767
2013-09-11,29.2221,29.3114,28.9942,29.123,2008335
2013-09-12,29.1329,29.1528,28.0426,28.1813,3997977
2013-09-13,28.1318,28.4688,27.7353,28.4192,2593753
2013-09-16,28.8058,28.9743,28.6076,28.7959,1576899
2013-09-17,28.786,29.123,28.7265,29.0933,1559655
2013-09-18,29.0735,29.2221,28.7067,29.0536,1844617
2013-09-19,29.1627,29.1627,28.6175,28.7463,1770308
2013-09-20,28.7463,28.786,28.221,28.221,2537066
2013-09-23,28.221,28.221,27.8344,27.9633,1858626
2013-09-24,28.0723,28.6076,27.9533,28.0326,4298354
2013-09-25,27.9831,28.1417,27.3388,27.6461,3448941
2013-09-26,27.6262,27.7154,27.3883,27.6956,2862175
2013-09-27,27.4974,27.7749,27.3883,27.656,1377744
2013-09-30,27.2297,27.6163,27.1009,27.3685,1521744
2013-10-01,27.3586,27.7154,27.2793,27.6262,1755668
2013-10-02,27.428,27.428,27.0117,27.3883,1798033
