date,open,high,low,close,volume
2013-08-08,33.2741,33.3853,32.9804,33.2385,5256285
2013-08-09,33.2029,33.2741,32.9626,33.0783,6845867
2013-08-12,32.9804,33.1807,32.8558,33.0694,5349399
2013-08-13,33.0694,33.1584,32.8736,33.0249,6454955
2013-08-14,33.0605,33.105,32.8736,32.9003,5573831
2013-08-15,32.8558,32.927,32.5533,32.7224,5781743
2013-08-16,32.6512,32.927,32.6334,32.8558,6350574
2013-08-19,32.8113,32.8469,32.5889,32.6245,5119906
2013-08-20,32.5978,32.9849,32.5399,32.8024,5710947
2013-08-21,32.6957,33.0338,32.6423,32.7401,6431059
2013-08-22,32.7846,33.3364,32.749,33.283,7472718
2013-08-23,33.4432,33.4721,33.0605,33.2118,5205690
2013-08-26,33.3008,33.3008,32.8558,32.8558,4213148
2013-08-27,32.5711,32.6334,32.0638,32.135,7512602
2013-08-28,32.135,32.3441,32.0672,32.135,5331093
2013-08-29,32.0371,32.3842,31.9481,32.135,5760461
2013-08-30,32.1884,32.2151,31.9392,32.1528,6816223
2013-09-03,32.4465,32.58,31.9481,32.0905,6595552
2013-09-04,32.0371,32.2507,31.8814,32.1528,6143666
2013-09-05,32.1706,32.7713,32.1439,32.6601,8674760
2013-09-06,32.7313,32.8469,32.3041,32.4554,6171770
2013-09-09,32.4643,32.4821,31.9392,32.3219,6977932
2013-09-10,32.491,32.8024,32.491,32.669,6474414
2013-09-11,32.7224,32.758,32.4732,32.6423,5901702
2013-09-12,32.7135,33.2296,32.4242,32.8113,8241656
2013-09-13,32.8647,33.1317,32.8647,33.0516,7040648
2013-09-16,33.461,33.4877,33.194,33.3809,8675342
2013-09-17,33.4788,33.5144,33.2118,33.3898,6498491
2013-09-18,33.4343,34.0216,33.372,33.6746,10296060
2013-09-19,33.8526,33.8704,33.323,33.5589,11617819
2013-09-20,33.5945,33.7547,33.3987,33.6835,11089073
2013-09-23,33.5945,33.6034,33.0783,33.2474,7631084
2013-09-24,33.283,33.283,32.758,32.838,9818943
2013-09-25,32.8113,32.9715,32.5755,32.7135,9230110
2013-09-26,32.8299,32.9194,32.5702,32.7224,5592855
2013-09-27,32.5433,32.8208,32.5164,32.6866,5973401
