date,open,high,low,close,volume
2013-08-08,24.9869,25.1794,24.8864,25.1208,2288816
2013-08-09,25.0706,25.1125,24.6184,24.6603,3950423
2013-08-12,24.5849,24.6435,24.4258,24.4844,2745288
2013-08-13,24.4761,24.5096,24.2918,24.3002,2290959
2013-08-14,24.2584,24.2751,24.0239,24.116,1740818
2013-08-15,23.9234,24.0239,23.6806,23.6973,2930386
2013-08-16,23.6136,23.6638,23.3079,23.4042,3684949
2013-08-19,23.3707,23.555,23.1447,23.1949,2886752
2013-08-20,23.0023,23.4461,23.0023,23.2954,4203526
2013-08-21,23.1698,23.2786,22.8432,22.9772,4154460
2013-08-22,23.0609,23.3624,22.9772,23.1949,2594964
2013-08-23,23.1865,23.4461,23.0358,23.3791,2591470
2013-08-26,23.4126,23.421,23.153,23.2033,2200488
2013-08-27,23.0023,23.3121,22.9521,23.2033,2647002
2013-08-28,23.2368,23.4126,23.1112,23.3456,2999083
2013-08-29,23.3121,23.3875,23.1363,23.2786,4353222
2013-08-30,23.3289,23.4294,23.1949,23.3791,3259197
2013-09-03,23.4964,23.5801,22.973,23.0191,2905993
2013-09-04,23.0023,23.0274,22.7511,22.8935,4689990
2013-09-05,22.8767,22.9102,22.726,22.8348,2903754
2013-09-06,22.9269,23.1488,22.8348,22.9186,8580407
2013-09-09,22.9353,23.0777,22.8683,22.9939,8429804
2013-09-10,23.086,23.2117,22.9856,23.2117,9954011
2013-09-11,23.3791,23.3791,22.9772,23.1447,6417678
2013-09-12,23.1782,23.2786,23.0609,23.0777,4024513
2013-09-13,23.1447,23.2514,23.0693,23.1447,3220460
2013-09-16,23.3373,23.5298,22.9102,22.9437,6192904
2013-09-17,23.0706,23.0875,22.8676,22.9268,6013512
2013-09-18,22.8676,23.7812,22.7576,23.6374,9375996
2013-09-19,23.6459,23.7305,23.4767,23.5444,3384088
2013-09-20,23.6628,23.6628,23.3329,23.4767,7052739
2013-09-23,23.4344,23.9843,23.2739,23.8574,4369901
2013-09-24,23.8489,23.8912,23.6459,23.8066,3251329
2013-09-25,23.7728,23.832,23.5528,23.5697,2559893
2013-09-26,23.5613,23.7305,23.4767,23.5867,1680853
2013-09-27,23.4767,23.5951,23.3075,23.4259,2062515
2013-09-30,23.3413,23.4598,23.2398,23.3582,3242873
2013-10-01,23.4175,23.5909,23.3329,23.5105,2260030
2013-10-02,23.4428,23.4851,23.2229,23.4851,2663571
2013-10-03,23.3667,23.3921,23.0114,23.0621,3251895
2013-10-04,23.1129,23.206,23.0368,23.096,1063499
2013-10-07,22.9775,23.2229,22.9606,22.986,1344923
2013-10-08,23.0368,23.4851,22.986,23.3329,4726349
2013-10-09,23.3582,23.7474,23.3032,23.4936,3293385
2013-10-10,23.629,23.8574,23.299,23.8151,2434279
2013-10-11,23.7389,23.942,23.6966,23.9166,1737691
2013-10-14,23.8151,23.8489,23.409,23.722,2098215
2013-10-15,23.6036,23.6628,23.3752,23.4259,1993433
2013-10-16,23.5105,23.7051,23.4682,23.6966,2183603
2013-10-17,23.6374,24.1535,23.4851,24.1027,2077552
2013-10-18,24.0943,24.3113,24.0097,24.1958,3653565
2013-10-21,24.2381,24.2804,24.0562,24.1704,2338227
2013-10-22,24.1873,24.6949,24.1704,24.5934,3338188
2013-10-23,24.5765,24.8261,24.4242,24.5934,3900742
2013-10-24,24.8134,24.8303,24.2465,24.4327,3235410
2013-10-25,24.5426,24.6442,24.2719,24.6188,2552743
2013-10-28,24.6357,24.809,24.568,24.6019,2971816
2013-10-29,24.6695,24.7288,24.5596,24.6526,2412877
2013-10-30,24.7118,24.8726,24.4157,24.4496,2927164
2013-10-31,24.4665,24.5765,24.1027,24.4157,3095865
2013-11-01,24.4919,24.6357,24.3523,24.4665,2164066
2013-11-04,24.5342,24.5765,24.3058,24.5173,1634586
2013-11-05,24.4411,24.6103,24.2973,24.2973,3009618
2013-11-06,24.4073,24.4919,24.2804,24.4919,3025896
2013-11-07,24.6188,24.6188,24.1958,24.2212,2557351
2013-11-08,24.1366,24.1535,23.6543,24.1281,2787277
2013-11-11,24.0943,24.3212,24.0181,24.1958,1481241
2013-11-12,24.1112,24.2381,23.8828,24.0012,2737174
2013-11-13,23.8066,24.1281,23.722,24.1196,2292190
2013-11-14,24.1112,24.3015,24.0689,24.1873,3515208
2013-11-15,24.0773,24.3227,24.0773,24.1958,4316660
2013-11-18,24.2296,24.2804,24.1027,24.2127,3427763
2013-11-19,24.2296,24.2635,24.0689,24.1027,3315017
2013-11-20,24.1619,24.1704,23.7474,23.7728,5832397
2013-11-21,23.8574,24.0012,23.7136,23.8574,3950639
2013-11-22,23.8066,24.035,23.7982,23.9843,3876501
2013-11-25,24.0181,24.0773,23.8362,23.8658,4379411
2013-11-26,23.832,23.8489,23.612,23.7728,5529221
2013-11-27,23.832,23.8489,23.7051,23.7305,3885466
2013-11-29,23.7305,23.9081,23.6607,23.7051,1719596
2013-12-02,23.7643,23.8066,23.4851,23.6205,4130474
2013-12-03,23.3075,23.5951,23.2736,23.5867,7811157
2013-12-04,23.4851,23.7305,23.409,23.6713,7294508
2013-12-05,23.6882,23.8235,23.5782,23.7305,5642824
2013-12-06,23.8489,24.1619,23.8151,24.0689,4334039
2013-12-09,24.0604,24.145,23.7474,23.8405,4420833
2013-12-10,23.8574,23.8912,23.4936,23.6036,4315006
2013-12-11,23.612,23.7051,23.3117,23.3498,3788389
