date,open,high,low,close,volume
2013-08-07,41.3461,41.385,41.1419,41.2294,547037
2013-08-08,41.3461,41.6086,41.1954,41.5795,483524
2013-08-09,41.3461,41.6572,41.2099,41.3947,639898
2013-08-12,41.2683,41.7156,41.1613,41.5308,380235
2013-08-13,41.5114,41.7058,41.2683,41.5406,446268
2013-08-14,41.5697,41.6281,41.3753,41.5308,519808
2013-08-15,41.3364,41.453,40.8404,40.9863,1112754
2013-08-16,40.8696,41.0446,40.5487,40.821,775491
2013-08-19,40.8113,40.996,40.5487,40.6362,588061
2013-08-20,40.7821,40.7918,40.4418,40.714,549782
2013-08-21,40.4223,40.7529,40.1695,40.4418,702886
2013-08-22,40.4709,41.1322,40.432,41.1224,684091
2013-08-23,41.1516,41.3558,40.9289,41.103,674711
2013-08-26,41.0835,41.2877,40.9085,40.9377,641178
2013-08-27,40.6265,40.7529,40.4223,40.6751,925052
2013-08-28,40.8113,40.9766,40.5682,40.9474,701781
2013-08-29,40.6168,41.1905,40.5584,40.8842,565496
2013-08-30,40.9571,40.9766,40.7043,40.8307,945456
2013-09-03,41.2488,41.4044,40.6994,40.8404,1202977
2013-09-04,40.7626,41.2488,40.7626,41.0349,477582
2013-09-05,40.9766,41.278,40.9085,41.2586,439097
2013-09-06,41.5211,41.7739,40.928,41.6572,820328
2013-09-09,41.6767,42.3233,41.6475,42.1045,1235495
2013-09-10,42.2115,43.1936,42.2018,43.1547,1571671
2013-09-11,43.1158,44.1174,43.1158,43.9035,1131369
2013-09-12,43.6118,43.7965,43.2738,43.3006,709851
2013-09-13,43.4173,43.4173,42.8727,42.8922,482943
2013-09-16,43.4853,43.816,43.2422,43.3103,841308
2013-09-17,43.3687,43.4659,43.2228,43.2811,588847
2013-09-18,43.1839,43.3492,42.7852,43.2811,770926
2013-09-19,43.4756,43.6895,43.0575,43.0867,569752
2013-09-20,43.1742,43.1936,42.7463,42.863,963925
2013-09-23,42.6783,43.0186,42.4642,42.8825,661978
2013-09-24,42.9019,43.0769,42.5956,42.7074,644352
2013-09-25,42.7196,42.7878,42.2765,42.2911,864966
2013-09-26,42.4956,42.4956,42.2424,42.369,928387
2013-09-27,42.2327,42.3788,42.1159,42.2522,761040
2013-09-30,41.9503,42.3204,41.8529,42.2765,784014
2013-10-01,42.369,42.6222,42.184,42.4762,710061
2013-10-02,42.1256,42.7196,41.8627,42.7001,630663
2013-10-03,42.6027,42.6612,42.0477,42.0866,1009186
2013-10-04,42.7878,43.6349,42.3398,43.3233,1424409
2013-10-07,42.9923,43.3818,42.7683,42.7878,672784
2013-10-08,42.8072,43.226,42.3496,42.3885,1087175
2013-10-09,42.5346,42.6417,42.2717,42.3885,784173
2013-10-10,42.6904,42.9533,42.4177,42.9338,495750
2013-10-11,42.6709,43.4159,42.6514,43.4012,437823
2013-10-14,43.1578,43.5863,42.8851,43.557,460791
2013-10-15,43.4597,43.4597,42.9923,43.1286,718559
2013-10-16,43.3136,43.6812,43.2357,43.3331,915055
2013-10-17,43.1578,44.2679,43.1481,44.2192,1303272
2013-10-18,43.8492,44.7402,43.8492,44.5016,923165
2013-10-21,44.4529,44.8911,44.2484,44.5308,1267508
2013-10-22,44.8327,44.9009,44.3069,44.3555,490288
2013-10-23,44.2582,44.3653,44.0926,44.263,528064
2013-10-24,44.2484,44.2874,43.8102,43.82,711177
2013-10-25,43.9271,43.9271,43.6447,43.82,680481
2013-10-28,43.7031,43.9952,43.6301,43.8005,1039465
2013-10-29,43.82,44.56,43.4597,44.5114,1345705
2013-10-30,44.6574,45.7578,44.5114,45.5533,1027711
2013-10-31,45.5825,45.9915,45.3293,45.8698,881958
